gene	p-value	label
RPS2	8.151813420712815e-11	0
B2M	1.1828916697320694e-08	0
TBK1	1.3702188905211362e-08	0
AP3S1	3.895366742047685e-08	0
SNRPD2	6.442879460938203e-08	0
AP3B1	1.0196904429304809e-07	0
SLC7A8	1.3588487627145394e-07	0
VCP	1.739909952679714e-07	0
POLA2	1.957958597902147e-07	-1
SNAPIN	1.9838335500878482e-07	0
HSD17B4	2.461169255503369e-07	0
USP7	2.753074044521525e-07	0
EIF4A2	4.2680188416502694e-07	0
KRT8	5.000595187442456e-07	0
CCT7	5.165414405757341e-07	0
TTBK2	5.640843547297904e-07	0
PABPC1	5.68489239169341e-07	0
CCT4	5.994189528638972e-07	0
FTL	6.249193658858925e-07	0
EIF4A1	6.44801049273303e-07	0
DMPK	7.565586307057256e-07	0
CD40	7.689015837864792e-07	0
APC	8.337591113484359e-07	0
AXIN1	9.14050688233348e-07	0
RPS3	9.36957229986474e-07	0
INPPL1	1.222896957062509e-06	0
PDPK1	1.6556408189565212e-06	0
PI4KA	1.7492230833937044e-06	0
NOS2	1.8247055339132791e-06	0
DTNBP1	1.8446847747825849e-06	0
MED1	1.893763494611882e-06	0
COPB2	1.900189198325004e-06	0
EIF4G2	1.927513726461841e-06	0
KIT	2.259406239706456e-06	0
ACBD3	2.3111881540193344e-06	0
ILK	2.7742387013834537e-06	0
WASF1	2.9630590789610034e-06	0
ITK	3.2235574743556683e-06	0
CBR1	3.244789098191561e-06	0
AP4B1	3.4916905627758646e-06	0
FGFR4	3.659744400901072e-06	0
DVL1	3.728273087407012e-06	0
APOA1	3.951279722560719e-06	0
ERBB2	4.022190387897999e-06	1
AP4E1	4.384542295279718e-06	0
SMG7	4.415098335494928e-06	0
EIF3A	4.481599830936782e-06	0
PTGS2	4.5032853773746346e-06	0
SLC9A3R1	4.593366765970847e-06	0
PCBP1	4.78597194259129e-06	0
ACOX1	5.0577704989042615e-06	0
CSNK1A1	5.173839049867626e-06	0
