gene	p-value	label
MAPK14	2.0178760951196752e-15	0
MAP3K1	3.8974227445083744e-15	1
FOS	4.6857058389888016e-14	0
PRKAR1A	6.436910849637982e-13	0
PRKACB	7.789803961775555e-13	0
SSBP1	1.3242640495650397e-12	0
SHC1	3.6499618061937545e-12	0
PAK1	5.27180724159752e-12	0
PRKAR2A	5.550665247302277e-12	0
RELA	7.947925271381469e-12	0
NFKB1	1.0319644391894916e-11	0
MAP2K1	1.251951400571826e-11	0
PRKAR2B	1.5564461364783715e-11	0
MAP3K7	2.6113499581121297e-11	0
RAC1	2.6878133171517596e-11	0
JUN	3.018967385605477e-11	0
MAPK8	5.635318154396623e-11	0
UQCRC2	6.317097750513379e-11	0
PAK2	6.471249722998042e-11	0
EARS2	7.549651063921342e-11	0
NFKBIA	7.561445810844551e-11	0
CREBBP	2.5763503616617325e-10	1
GFM2	2.905506768437233e-10	-1
CDK1	5.526734909334195e-10	0
PRKAR1B	5.694128414203133e-10	0
PIK3R1	5.80032762717572e-10	1
LRPPRC	6.227186923917672e-10	0
LCK	6.860640468614074e-10	0
HSD17B4	9.050412172260955e-10	0
MRPS12	9.734932552687872e-10	0
MIPEP	9.82885619344892e-10	0
MET	1.2087347857355602e-09	1
SUMO1	1.4156692286908643e-09	0
NDUFB10	1.8359747990302003e-09	0
CRK	2.0847474988559276e-09	0
NDUFB9	2.316720794748713e-09	0
DLD	2.341662701222449e-09	0
FARS2	2.466309055077566e-09	0
MTG2	2.6285176092179924e-09	-1
ECSIT	3.236632896976356e-09	-1
MRPS11	3.427749178723759e-09	0
MRPL15	3.4282004385787483e-09	0
MRPL18	3.6998525509770275e-09	0
GFM1	4.2426602251081555e-09	0
HARS2	4.308661004155045e-09	0
TFB1M	5.124504528034959e-09	0
NDUFAF1	5.458883281463829e-09	0
ACAD9	6.194359132693287e-09	0
AP2M1	7.2938734717270014e-09	0
MRPS24	7.340281277575428e-09	0
CARS2	7.676434550979538e-09	0
LARS2	7.739927122113941e-09	0
RASA1	8.588741192945665e-09	0
APOA1	8.599200468591242e-09	0
FASTKD5	8.830648326999936e-09	0
MRPL21	9.273201836432384e-09	0
EP300	9.3767381458476e-09	1
B2M	9.568980598906414e-09	0
RTN4IP1	1.0624559179698656e-08	0
NOS2	1.082147728673364e-08	0
NDUFS5	1.1358268634959408e-08	0
COX5B	1.161032898771838e-08	0
MRPL47	1.2727970896591791e-08	0
DAXX	1.490750560307738e-08	1
SCO2	1.5237184184076676e-08	0
CAV1	1.529203024692379e-08	0
FOXRED1	1.5865659897606775e-08	0
METTL17	1.6748998576714104e-08	0
NDUFV2	1.7066587388186432e-08	0
ACTA1	1.7091561687994396e-08	0
MRPS16	1.7137600843848483e-08	0
MRPL46	1.7875188520763946e-08	0
NDUFS7	1.7924247689532377e-08	0
CYC1	1.8111907893230383e-08	0
MRPL2	1.8521733061568773e-08	0
MAP2K7	1.8988149479623624e-08	0
MRPL28	2.05750415472348e-08	0
RARS2	2.10343102888956e-08	0
NDUFA8	2.2069439757926188e-08	0
MRPS18B	2.2133487164267465e-08	0
TNFRSF1A	2.33817644272968e-08	0
GTPBP8	2.3451994089842454e-08	-1
WARS2	2.4372998353448137e-08	0
MRPL4	2.4960712770882146e-08	0
MRPL17	2.503141740625712e-08	0
MRPL20	2.5429001565268244e-08	0
NDUFS8	2.5957239103298436e-08	0
NCK1	2.8986894505666533e-08	-1
MRPS2	3.018862951792143e-08	0
TGFB1	3.0869626884555624e-08	0
PLK1	3.092738786242921e-08	0
MRPL40	3.094524720993028e-08	0
MALSU1	3.1907490315144425e-08	0
UQCRB	3.212296098248848e-08	0
MTRF1L	3.298436827933012e-08	-1
NDUFA10	3.304597753113777e-08	0
NDUFB8	3.3232194559499955e-08	0
