gene	p-value	label	index
MAPK14	2.0178760951196752e-15	0	5734
MAP3K1	3.8974227445083744e-15	1	5709
FOS	4.6857058389888016e-14	0	3667
PRKAR1A	6.436910849637982e-13	0	7879
PRKACB	7.789803961775555e-13	0	7875
SSBP1	1.3242640495650397e-12	0	9779
SHC1	3.6499618061937545e-12	0	9101
PAK1	5.27180724159752e-12	0	7051
PRKAR2A	5.550665247302277e-12	0	7881
RELA	7.947925271381469e-12	0	8407
NFKB1	1.0319644391894916e-11	0	6560
MAP2K1	1.2519514005718259e-11	0	5702
PRKAR2B	1.5564461364783715e-11	0	7882
MAP3K7	2.6113499581121297e-11	0	5720
RAC1	2.68781331715176e-11	0	8216
JUN	3.018967385605477e-11	0	4946
MAPK8	5.635318154396623e-11	0	5740
UQCRC2	6.317097750513379e-11	0	11080
PAK2	6.471249722998042e-11	0	7053
EARS2	7.549651063921342e-11	0	2933
NFKBIA	7.561445810844551e-11	0	6562
CREBBP	2.5763503616617325e-10	1	2247
GFM2	2.905506768437233e-10	-1	3899
CDK1	5.526734909334194e-10	0	1705
PRKAR1B	5.694128414203132e-10	0	7880
PIK3R1	5.80032762717572e-10	1	7456
LRPPRC	6.227186923917672e-10	0	5520
LCK	6.860640468614074e-10	0	5355
HSD17B4	9.050412172260955e-10	0	4553
MRPS12	9.734932552687872e-10	0	6147
MIPEP	9.82885619344892e-10	0	5973
MET	1.2087347857355602e-09	1	5894
SUMO1	1.4156692286908643e-09	0	9931
NDUFB10	1.8359747990302003e-09	0	6481
CRK	2.0847474988559276e-09	0	2259
NDUFB9	2.316720794748713e-09	0	6487
DLD	2.341662701222449e-09	0	2680
FARS2	2.466309055077566e-09	0	3438
MTG2	2.628517609217992e-09	-1	6218
ECSIT	3.236632896976356e-09	-1	2951
MRPS11	3.427749178723759e-09	0	6146
MRPL15	3.428200438578748e-09	0	6114
MRPL18	3.6998525509770275e-09	0	6117
GFM1	4.2426602251081555e-09	0	3898
HARS2	4.308661004155045e-09	0	4290
TFB1M	5.124504528034959e-09	0	10223
NDUFAF1	5.458883281463829e-09	0	6475
ACAD9	6.194359132693287e-09	0	82
AP2M1	7.293873471727001e-09	0	529
MRPS24	7.340281277575428e-09	0	6158
CARS2	7.676434550979538e-09	0	1406
LARS2	7.739927122113941e-09	0	5342
RASA1	8.588741192945665e-09	0	8285
APOA1	8.599200468591242e-09	0	564
FASTKD5	8.830648326999936e-09	0	3448
MRPL21	9.273201836432384e-09	0	6121
EP300	9.3767381458476e-09	1	3143
B2M	9.568980598906414e-09	0	917
RTN4IP1	1.0624559179698656e-08	0	8754
NOS2	1.082147728673364e-08	0	6687
NDUFS5	1.1358268634959408e-08	0	6492
COX5B	1.1610328987718381e-08	0	2190
MRPL47	1.2727970896591791e-08	0	6135
DAXX	1.490750560307738e-08	1	2474
SCO2	1.5237184184076676e-08	0	8882
CAV1	1.529203024692379e-08	0	1431
FOXRED1	1.5865659897606775e-08	0	3694
METTL17	1.6748998576714104e-08	0	5903
NDUFV2	1.7066587388186432e-08	0	6496
ACTA1	1.7091561687994396e-08	0	139
MRPS16	1.7137600843848483e-08	0	6150
MRPL46	1.7875188520763946e-08	0	6134
NDUFS7	1.7924247689532377e-08	0	6493
CYC1	1.8111907893230383e-08	0	2403
MRPL2	1.8521733061568773e-08	0	6119
MAP2K7	1.8988149479623624e-08	0	5708
MRPL28	2.05750415472348e-08	0	6124
RARS2	2.10343102888956e-08	0	8284
NDUFA8	2.2069439757926188e-08	0	6472
MRPS18B	2.2133487164267465e-08	0	6152
TNFRSF1A	2.33817644272968e-08	0	10521
GTPBP8	2.3451994089842454e-08	-1	4250
WARS2	2.4372998353448137e-08	0	11258
MRPL4	2.4960712770882146e-08	0	6129
MRPL17	2.5031417406257123e-08	0	6116
MRPL20	2.5429001565268244e-08	0	6120
NDUFS8	2.595723910329844e-08	0	6494
NCK1	2.8986894505666533e-08	-1	6434
MRPS2	3.018862951792143e-08	0	6154
TGFB1	3.0869626884555624e-08	0	10242
PLK1	3.092738786242921e-08	0	7581
MRPL40	3.094524720993028e-08	0	6130
MALSU1	3.1907490315144425e-08	0	5674
UQCRB	3.212296098248848e-08	0	11079
MTRF1L	3.298436827933012e-08	-1	6245
NDUFA10	3.304597753113777e-08	0	6465
NDUFB8	3.3232194559499955e-08	0	6486
COX10	3.3605341497939205e-08	0	2185
MTPAP	3.6271700525660646e-08	0	6241
PTCD3	3.7730796247648674e-08	0	8034
NDUFS1	3.853867078982917e-08	0	6489
MRPS31	4.1006778049375694e-08	0	6164
NDUFAF4	4.5737922390833705e-08	0	6477
MED1	4.7963865141695535e-08	0	5848
COA6	4.8581757386645536e-08	0	2093
NDUFA6	4.926790969209636e-08	0	6470
TIMMDC1	5.0038578558017166e-08	0	10322
NDUFS2	5.1491163332667243e-08	0	6490
NDUFAF5	5.249802693663015e-08	0	6478
MRPL14	5.283520956732008e-08	0	6113
MRPS18C	5.518084258504296e-08	0	6153
QRSL1	5.5421406002665216e-08	0	8141
