gene	p-value	label
PIK3R1	2.900569123609504e-32	0
GRB2	2.867250410318784e-31	0
ACTA1	1.3190490633183395e-25	0
MAP2K1	1.4800291211549665e-22	0
MAP3K7	4.874147902496881e-20	0
HRAS	2.2341131292465375e-19	0
RAF1	1.3112476513781893e-18	0
PIK3CG	3.478244871629768e-18	0
MAPK3	1.0148219287341133e-17	0
PIK3CA	1.6163235141241358e-17	1
PRKCA	2.7080831685576706e-17	0
MDM2	4.935676980847445e-17	0
ABL1	1.3547238476140687e-16	0
RPS6KB1	1.8897911078204961e-16	0
APC	2.1041343931637807e-16	0
LCK	1.0140803509454628e-15	0
FYN	1.1406265323833705e-15	0
ELK1	1.1931184509182742e-15	0
GSK3B	1.3066442441748898e-15	0
TGFBR1	3.898719073374395e-15	0
PLCG1	1.406932978370832e-14	0
CASP3	2.818280161595116e-14	0
MYC	6.5542813205666e-14	0
CDK1	9.257978031291133e-14	0
AKT1	1.270850524354566e-13	0
SP1	3.762429595878986e-13	0
ITGB1	7.534495165581136e-13	0
B2M	1.7534369964762608e-12	0
MAPK1	2.769983472415129e-12	1
PAK2	4.751705179358898e-12	0
SMAD1	4.915842749451884e-12	0
NR3C1	5.1423857964542906e-12	0
EGFR	5.596962761515153e-12	0
IKBKB	6.0629026926882055e-12	0
VARS2	7.2453015506676595e-12	0
CD3E	8.315201479110842e-12	0
HSP90AA1	1.109595132090657e-11	0
DAXX	1.3796042139441498e-11	0
LYN	1.8734117110241848e-11	0
ATF2	2.7566556808069368e-11	0
STAT1	3.423149747973168e-11	0
XIAP	3.5172751834907247e-11	0
TP53	3.6878656410854296e-11	0
RIPK1	3.7297975796979696e-11	0
MAP2K4	5.085113488808068e-11	0
PPP2CA	7.020092950583723e-11	0
TNFRSF1A	7.857581294600441e-11	0
PPP3CB	1.4066375638818946e-10	0
SOS1	1.4948944859328424e-10	0
CDKN1A	1.708001558709532e-10	0
CALM2	1.7843651941852715e-10	0
RHOA	2.2683584330739407e-10	0
CD247	2.3257904041311848e-10	0
BTRC	2.72207914517669e-10	0
ZAP70	2.8096979008984056e-10	0
CSNK1E	2.902532982004635e-10	0
TRADD	3.11978698840661e-10	0
FASLG	3.4240333567436907e-10	0
CRK	3.95609350942055e-10	0
CREB1	4.2012303705472705e-10	0
CALM1	5.353798128707331e-10	0
MAP2K6	5.807808490274707e-10	0
RPS6KA1	6.508104244245335e-10	0
RB1	7.225332452691426e-10	0
HSD17B4	7.29603835419261e-10	0
CASP8	7.371657493562484e-10	1
CSNK1A1	8.29158361937744e-10	0
MAP3K5	8.34907755390691e-10	0
RASA1	1.0339585892724503e-09	0
CSNK1G2	1.0703261650095274e-09	0
TGFBR2	1.2805017643516655e-09	1
CASP7	2.200966697282309e-09	0
MAP3K3	2.566024672577812e-09	0
MET	2.7514966569761237e-09	0
USP7	3.372869233686275e-09	0
NOS3	4.2942027695901445e-09	0
MAX	4.881525258610326e-09	0
PPP3CA	5.919487240685438e-09	0
