gene	p-value	label
DIRAS3	2.203272749101513e-13	0
ARAF	1.851224258887028e-12	0
DNAJC27	2.3699190592692094e-12	0
DNAJA3	7.593508952051265e-12	0
HNRNPC	1.6134694663400017e-11	0
QDPR	2.1303824687827415e-11	0
FNTB	2.186622259278145e-11	0
COL8A1	5.0426128876106635e-11	0
PHB	5.397004995590244e-11	0
SERPINB5	9.899533987855044e-11	-1
EPB42	7.269381458831325e-10	0
PKM	9.896304583993935e-10	0
RASSF2	9.992922614769412e-10	0
PNO1	1.053732724861053e-09	-1
NUP133	1.514150756403611e-09	0
CCT7	1.830353498532804e-09	0
RANBP10	1.865514008920815e-09	0
IGSF21	1.9482730378589007e-09	-1
GPSM3	1.986659337404381e-09	0
STX17	2.0002244509087366e-09	0
FUBP1	4.3929270478511774e-09	0
CDK8	6.770891129131773e-09	0
PCBP4	7.105610213408603e-09	0
TERF1	9.115828641935366e-09	0
ACP1	9.912166229948456e-09	0
IGFBP3	1.2312532988206334e-08	0
TNFSF13	1.3620909915011622e-08	0
FUBP3	1.4994756230460266e-08	0
XRCC6	1.710977040744326e-08	0
NOVA2	1.9976680029326727e-08	0
ANGPT2	2.1386465692036952e-08	0
TRIP6	2.1606928287302e-08	0
THRSP	2.518849898885872e-08	0
TIAL1	2.648051268490001e-08	0
FLNA	2.900752769265456e-08	0
BTRC	4.253503416782138e-08	0
ANGPT4	4.34967591734981e-08	0
PCBP1	4.9498582175157696e-08	1
PTBP1	4.9933047557433064e-08	0
QKI	5.50728167273684e-08	0
KRR1	6.026202198278411e-08	0
PDLIM7	6.236963300491291e-08	0
TUBB2A	6.386120038174168e-08	0
RALY	7.447215077781337e-08	-1
TCERG1	8.148433550519181e-08	1
PCGF2	8.528730604949434e-08	-1
PAICS	9.31509134426277e-08	0
FSCN1	1.0242638979660566e-07	0
PGGT1B	1.05087334605176e-07	0
DDX43	1.0575726269986581e-07	0
ERG	1.0608709447091637e-07	0
DEAF1	1.1102089142116757e-07	0
UGP2	1.1430709121800672e-07	0
KHDRBS2	1.1615578740578445e-07	0
ZNF189	1.2245198969987434e-07	0
SPATA20	1.243028051339935e-07	0
SRPK3	1.2961325485836742e-07	0
FRK	1.2981315268272446e-07	0
TDRKH	1.3189849878330808e-07	-1
GNB2	1.406984059298641e-07	0
PPIG	1.5509179226143522e-07	0
RGL2	1.8111704917240168e-07	0
EWSR1	2.025473747669761e-07	0
PCBP3	2.2078534994160163e-07	0
SNRPA	2.229339884358201e-07	0
WBP11	2.253394582683735e-07	0
TNKS	2.572136658552239e-07	0
TP53	3.354077832673403e-07	1
METTL3	3.39898500832065e-07	0
BCAS3	3.465003276959437e-07	-1
PIK3CA	3.553956954998297e-07	1
SRSF3	3.752606789705703e-07	0
AKT1	3.798519829410039e-07	0
MATR3	3.894334215052088e-07	0
TKT	4.3954433352390986e-07	0
XRCC5	4.62896284436455e-07	0
KHDRBS1	4.827018876987479e-07	0
EXOSC3	4.93392508454994e-07	0
RIN1	4.952587191528475e-07	-1
RB1	5.305028874061844e-07	1
TSC22D4	6.170591138265362e-07	0
PFKM	6.335969827963079e-07	0
SCMH1	7.372017935996247e-07	0
STIP1	8.187588849034596e-07	0
KRAS	8.251880113223211e-07	1
PRPF8	8.692452403986507e-07	0
VPS28	9.182890015047842e-07	0
BTG3	9.317181726075232e-07	0
HNRNPH1	9.677285315937776e-07	-1
ANXA11	1.1800099128930506e-06	0
HNRNPA2B1	1.1878022694565628e-06	0
EXOSC5	1.194170318727621e-06	0
PCBP2	1.215034159595709e-06	0
