gene	p-value	label
ZBTB8A	1.134823475370286e-08	0
PCID2	5.907089653699263e-06	0
YY2	1.032363967768856e-05	0
SMNDC1	1.4607221903627967e-05	-1
GLE1	2.3599801570447084e-05	0
PTHLH	6.11971002823018e-05	0
RANBP1	8.325245823486754e-05	0
FBXW2	9.998309912797308e-05	0
TM4SF19	0.000106563512551	-1
TTC27	0.0001102677585163	0
SPATA20	0.0001186798832803	0
MAP3K15	0.0002015025411046	0
SRPX	0.0002125681939223	0
TTC9C	0.0002171327162001	0
BORA	0.0002303314702268	0
RCOR3	0.0002458481478812	-1
CNTNAP2	0.0002899885518548	0
TTC9	0.0003026737207633	0
ANKRD52	0.0003160139101582	0
BTLA	0.0003511417942466	0
HECTD1	0.0003544940689231	0
DCTPP1	0.0003580400330863	0
PPP6R2	0.0003594508225271	0
TRERF1	0.000360579229741	0
PTTG1IP	0.0003704951838652	0
CEP97	0.0004059470118898	0
TTC9B	0.0004071805479174	0
PLSCR4	0.0004355686324475	0
TGFBRAP1	0.0004625157723398	0
MIER1	0.0004757923428985	-1
NET1	0.0005651268696627	0
MRM1	0.0005717449367321	0
SPAG1	0.0005725317369244	0
GYS1	0.0005804555240548	0
TTC13	0.000632489781513	0
VPS18	0.0006352338059111	0
ANAPC7	0.0006514235960012	0
BTBD9	0.0006570280791415	0
TOE1	0.0007014484046785	0
TMEM107	0.0007264961644264	0
LBP	0.0007661601782358	1
TTC16	0.0007683383473265	0
TTC7B	0.0008404210805723	0
APOL6	0.0008523650186975	0
DSTYK	0.0008895795540535	0
FRG1	0.0008957602752827	0
DNAJB7	0.0009784578836644	0
C7orf25	0.0010222866242772	0
ANKRD44	0.0010401147548372	0
PLCD1	0.0010745150959544	0
NRL	0.0010944360157264	0
SLFN11	0.001100542159645	0
VPS33A	0.0012572496109254	0
IPO5	0.0012615241218871	0
NFIX	0.0013576485545018	0
TTC28	0.0015100979369514	0
FHOD1	0.0015569655363181	0
CEP41	0.0015893292639756	0
DNAJC2	0.0016426887088693	0
SGSM2	0.001679814740767	0
TSTD2	0.0016831444281639	0
HSPB11	0.0017450093411628	-1
BICD2	0.0018201233548084	0
AP2S1	0.0018874668578483	0
NACA2	0.0019811579762812	-1
TTC7A	0.0020805736972392	0
TOP1MT	0.0021866168961893	0
ARHGEF17	0.0022002195797962	0
