gene	p-value	label
CDK1	2.73448994678951e-45	0
NOA1	1.6374595000123367e-36	0
CCNB1	5.020522097509704e-31	0
BTRC	1.4520965633250491e-27	0
RAD23B	1.1815636819999076e-26	0
FAS	7.139587020099706e-26	0
PDE12	1.464506397868236e-25	0
FAF2	4.045630236254089e-25	0
TOB1	4.573442616471061e-24	0
PHC2	4.7968940013704936e-24	0
CREBBP	6.6148852673754816e-24	0
PCNA	1.9770674409690044e-23	0
PDLIM5	6.962860061544562e-23	-1
FOS	1.2227846004173825e-22	0
BPTF	2.108694560937916e-22	0
MAP3K1	2.1915823860134466e-22	0
UBA2	4.72949469965883e-22	0
ADSL	5.718087240419983e-22	0
NFKBIA	5.4953482134248286e-21	0
MAP2K4	3.084908036505521e-20	0
TSG101	5.776926469227769e-19	0
MAP2K1	7.141841848339425e-19	0
RASA1	1.0174501165764961e-18	0
ELK1	1.085409149561286e-18	0
RFC2	8.097005614212028e-18	0
PPP3CC	9.029253371337473e-18	0
RPRD1B	9.123705552467085e-18	0
RAC1	1.0970803143452905e-17	0
TOB2	3.134661152994403e-17	0
RPRD1A	4.584372281186142e-17	0
PRKACB	4.922252329913957e-17	0
UBQLN2	1.9906170812283358e-16	0
MAP2K6	2.4516133584186677e-16	0
ITGA4	3.282998152046463e-16	0
LPP	1.3078227641480353e-15	0
CAMK4	1.5958003535925297e-15	0
SOS1	1.627907437489848e-15	0
RFC3	3.962987906427656e-15	0
PLCG1	4.33205345821364e-15	0
EPHA4	5.608110402721224e-15	0
RFC4	7.414481451086813e-15	0
SPRTN	8.398654940276613e-15	0
TGFBR2	1.513104976239591e-14	0
EZR	1.9407189666083582e-14	0
POLH	1.9541972757287224e-14	0
VAV1	3.467434976878436e-14	0
RAF1	4.713527456046479e-14	0
ULK2	5.462282533663833e-14	0
NFKB1	5.983909341505055e-14	0
UBXN6	6.362673282138465e-14	0
TGFB3	7.51742472240434e-14	0
JUN	1.4177551336309934e-13	0
CEP135	1.7964193856310948e-13	0
GLRX3	2.785783703836117e-13	0
RFC1	2.8328891060828764e-13	0
TYK2	4.4054513623335883e-13	0
NFATC4	4.579742849248993e-13	0
PPP3CA	6.244476762770885e-13	0
PRKAR1A	1.0114911157297128e-12	0
PPP3CB	1.7304940219437598e-12	0
ATXN3	4.117780140062046e-12	0
CDC25A	5.907470881159564e-12	0
NFATC2	6.488644446593611e-12	0
NFATC3	8.467311983539143e-12	0
PRKAR1B	1.1647772478335408e-11	0
SYVN1	2.6272522009114928e-11	0
ADCY1	2.7933039648118105e-11	0
MAPK14	3.7437554900006064e-11	0
NFATC1	4.458615122395271e-11	0
HSPA5	4.6687720439733806e-11	0
RFC5	5.72961144068426e-11	0
ITGB1	5.938233078587037e-11	0
ZAP70	9.318505536841483e-11	0
ICAM1	1.0092380771447452e-10	0
HRAS	1.220293720902764e-10	0
ZMYM4	1.9899091963859462e-10	0
RELA	2.0728365912170407e-10	0
MAPK8	2.819250452771154e-10	0
RPA2	3.2452527986432137e-10	0
KRI1	3.8695978583260805e-10	0
RAP1B	4.301798543741898e-10	0
VCAM1	4.6213630435895886e-10	0
PTPN7	5.89372624785744e-10	0
TGFB1	7.927030682157524e-10	0
FASLG	9.369508307192366e-10	0
TGFB2	1.0444709957046427e-09	0
METTL1	1.238771762090132e-09	0
CALM2	1.283966770601567e-09	0
NPLOC4	1.633133221150947e-09	-1
DR1	1.6623549815897003e-09	0
MAPK3	1.8875039893926804e-09	0
PRKAR2A	2.618440434774869e-09	0
ESF1	2.8087587891673123e-09	-1
TAP1	3.5934278803145323e-09	0
SCML2	4.129928910671586e-09	0
SAE1	5.157223649713001e-09	0
IL6	6.359794964852361e-09	0
PRKAR2B	6.61686354627775e-09	0
CEP350	7.446530645249371e-09	0
CD44	7.705132259106456e-09	0
UBXN1	1.0127889092021758e-08	0
VCPIP1	1.19182938652968e-08	-1
NEK4	1.2130014924969185e-08	0
SMAD3	1.389250678773422e-08	0
WDR4	1.6891485877670292e-08	0
