gene	p-value	label
VAV3	3.4776741254032104e-20	0
SH2B3	1.1999791519054389e-18	0
SH3BP2	1.755476326161053e-17	0
SPSB3	2.925220876506177e-17	0
PHLDA1	5.677183319330019e-17	0
RRAS	1.8059400915502252e-16	0
PDE6D	2.7137612973653593e-16	0
SHC3	1.984849600469557e-15	0
GAB2	3.5278749928433815e-15	0
PTPRO	5.405571378761862e-15	0
DBR1	6.211688610984833e-15	0
HPN	1.364226466140496e-14	0
DAPK3	2.1421699985845922e-14	0
MUC20	3.5809409951167856e-14	0
ARMC8	3.9926041588809774e-14	0
CAMK2D	4.1888559850246816e-14	0
HFE	4.541141547362148e-14	0
SHB	6.177708958298506e-14	0
SLA2	7.360944011085905e-14	0
SPINT1	1.379664804666336e-13	-1
PLXNB1	1.4711715186936112e-13	0
SH2B2	1.6140697779789438e-13	-1
PLXNB3	2.060007237567452e-13	0
ABL2	3.990418369733629e-13	0
SPRR1A	4.456218130225917e-13	0
VPS13A	5.553129714025814e-13	0
SEMA6D	7.59450738736572e-13	0
TNFSF13	9.972587868875859e-13	0
ZAP70	1.2728130863382285e-12	0
SERPINB7	1.4733322685464136e-12	0
DYRK4	2.7391756022566444e-12	0
RND1	3.0789585782226694e-12	0
PTPN12	3.668318664918971e-12	0
MARK3	3.851757275648556e-12	0
COL8A1	4.510158756645515e-12	0
TTBK1	5.091265634951271e-12	-1
HEY1	5.215879590217233e-12	0
ITK	5.292362032659287e-12	0
PKMYT1	5.325684048673242e-12	0
INPP5D	6.464357374398618e-12	0
SUSD1	1.0823556186922766e-11	-1
TXK	1.2180353230597119e-11	0
TNS3	1.2299090902082707e-11	0
SH2D2A	1.3766498597416936e-11	0
FGR	1.7027990565152902e-11	0
SOCS6	2.2808845314481088e-11	0
DYRK2	2.4360432868136604e-11	0
NELL1	2.5418116362211407e-11	0
SH3GL3	3.879560570483533e-11	0
FES	6.419365989823694e-11	0
ERN1	6.645584362765819e-11	0
MATK	7.751287658533464e-11	0
PTPRK	1.3238523446039068e-10	0
SHC2	1.3300221205894803e-10	0
ANGPT4	1.3811168354585866e-10	0
MUC1	1.4527932143579388e-10	0
PTPRD	1.4573132237949968e-10	0
LRIG1	1.528308498279365e-10	0
YTHDF1	2.2613917601788046e-10	0
WNK2	3.5829069340676743e-10	0
SPSB1	4.1722845526122246e-10	-1
PLXNB2	5.435939077874957e-10	0
ANO5	5.470845963045642e-10	0
APOB	6.636318316529151e-10	0
GLMN	8.684588171162965e-10	-1
PIK3R3	8.83233529237281e-10	0
IGFBP3	8.899962289652345e-10	0
HGF	9.452583276764223e-10	0
CDC42BPG	9.606608392389383e-10	0
CNR1	9.625337329372735e-10	0
QDPR	1.1049020180175799e-09	0
PTPRG	1.1282439455242846e-09	0
CSF1R	1.3085967567284635e-09	0
IGSF21	1.454041405249739e-09	-1
SPSB4	1.5658674858197982e-09	0
PTK6	1.757477166580475e-09	0
STX17	2.1180355247796404e-09	0
TTK	2.145978210355291e-09	0
SH3GLB2	2.318942125287848e-09	-1
EBF4	2.61780415809497e-09	0
PTPN1	2.78492137977887e-09	0
GRB7	2.950045270023824e-09	0
STAP1	3.2307928064927783e-09	0
SH3GLB1	3.660937497940828e-09	-1
CLK4	5.302996108304914e-09	0
CSTA	6.518878470890142e-09	0
TNS4	7.438153685658988e-09	0
BCAS3	8.351914391011961e-09	-1
PHKG1	1.0728478272601309e-08	0
SH2B1	1.1915825564515437e-08	0
DOCK1	1.327096910768892e-08	0
HGFAC	1.3403978265341793e-08	0
ACRV1	1.3753249323258664e-08	0
PASK	1.5002538252469638e-08	0
SOCS3	1.5267062455622973e-08	0
ATP2B4	1.6832714825044863e-08	0
SEMA4F	1.835345272974509e-08	-1
MAPKAPK5	2.0264953923012946e-08	0
WNT5A	2.238903002153408e-08	0
MKNK2	2.3877982784486345e-08	0
GRB14	2.6281266562480263e-08	0
LGALS9	2.781924456659042e-08	0
DNAJA3	2.9201795469743826e-08	0
SEMA6A	2.922636534723165e-08	0
RAP1B	2.9298852099914417e-08	0
DCN	3.4895892151317164e-08	0
TEC	4.149388237239992e-08	0
EBF3	5.0560267751667844e-08	0
VAV2	5.6504823163994666e-08	0
SH2D3C	6.017371844736556e-08	0
SHC4	6.142987301047775e-08	0
DNAJC27	6.889145402339151e-08	0
NCK2	6.91754392861583e-08	0
NRAS	8.360850499790479e-08	0
DIRAS3	8.574293792850175e-08	0
EBF2	1.0400305498676725e-07	0
PLG	1.433625526116103e-07	0
PTPRB	1.462564106319629e-07	0
DEAF1	2.6513804709095695e-07	0
PTPRC	2.697250214272609e-07	0
RANBP10	2.706807212195022e-07	0
BEX2	3.6059557009169604e-07	0
SOCS5	3.966274989423527e-07	0
RAP1A	4.914390040462292e-07	0
YES1	5.361352241311005e-07	0
NEDD4L	5.434618172531079e-07	0
HNRNPC	6.035727195593636e-07	0
CRKL	7.381909115688638e-07	0
SEMA6C	7.517907680663482e-07	0
ANGPT2	8.124142859373387e-07	0
PLXDC1	8.260079894710076e-07	0
ITGB4	8.430728635260394e-07	0
PDGFRA	1.129363878200625e-06	0
RASSF2	1.2223677909331349e-06	0
FAS	1.3518482138949718e-06	0
STK38	1.5413244826977428e-06	0
PTEN	1.5735760220881098e-06	0
STAT3	1.6064079554435909e-06	0
RIN1	1.826700564880352e-06	-1
PGGT1B	1.8384837314863293e-06	0
KRAS	1.8455617537610509e-06	0
GAB1	2.943388997219704e-06	0
RASGRP2	3.000671181340631e-06	0
MAP4K1	4.290215956510011e-06	0
DMPK	4.5606137237245705e-06	0
FNTB	4.717211509327352e-06	0
LATS1	4.749582221479613e-06	0
PTPRJ	4.847572567003715e-06	0
RALGDS	5.0787897401034736e-06	0
ZNF189	5.227656363154467e-06	0
ARAF	5.8287554159259465e-06	0
EPB42	5.832541929726303e-06	0
RASSF5	6.002196991503315e-06	0
SNX2	6.330531528434531e-06	0
EGF	6.4085565653034e-06	0
TWIST1	6.506113377263801e-06	0
SRC	6.850021102883377e-06	0
EIF2B4	6.8510362733297846e-06	0
PTK2B	7.289465930098072e-06	0
RAP1GDS1	8.887822291491222e-06	0
CSNK1G3	9.107567645974412e-06	0
SERPINB5	1.0686789121959882e-05	-1
ICOS	1.084398856522162e-05	0
ELK1	1.0951490985582722e-05	0
BTLA	1.457021798928214e-05	0
TBX2	1.4572755421983983e-05	0
CLK1	1.4870575896509397e-05	0
CBL	1.577525145764882e-05	0
TERT	1.70876895439141e-05	0
MET	1.8476068635747663e-05	1
LBP	1.982646996136307e-05	0
TTBK2	2.1320316021761205e-05	0
RAF1	2.9354601807775285e-05	0
TEP1	3.511478308038235e-05	0
CORIN	3.593434026664063e-05	0
SPATA20	3.900351221241622e-05	0
MAP2K2	3.980085465771983e-05	0
RASA1	4.114149177640883e-05	0
TFF2	4.1245435247754e-05	0
THRSP	4.4505714157510576e-05	0
SH3KBP1	4.741574765016581e-05	0
TERF1	6.753135509193189e-05	0
CSNK1E	7.274601279430289e-05	0
LATS2	7.79691160998396e-05	0
SOS1	9.426834469363572e-05	0
IL18	0.000165123978006	0
EGFR	0.0001666672065583	0
HRAS	0.0001717145471081	0
ANXA1	0.0001910172436681	0
CCT7	0.0001940783593604	0
IL7	0.0002129205424109	0
PIK3CA	0.0002232998667791	0
NUP133	0.0002893386288139	0
CSNK1A1	0.0003290879156668	0
MRAS	0.0003378163839317	0
PIK3CD	0.0003765281674742	0
XRCC6	0.0003860525840284	0
SHOC2	0.0003922983766961	0
ZBTB7A	0.0004171827988706	0
BEX1	0.000434248846404	0
IL24	0.0004342710488664	0
RGL2	0.0004383340656088	0
PHB	0.0004732672522866	0
SNAPIN	0.0005109351050284	0
CDK8	0.0005111952462085	0
CRK	0.0005168443408567	0
SPHKAP	0.0005529584324921	0
PIK3CB	0.0006229427060027	0
PRKCA	0.0007640754778903	0
PTPN7	0.0008569294966169	0
PIK3CG	0.0008669956718668	0
GAK	0.0009446257345883	0
TICAM1	0.0010747760970476	0
PAK1	0.001079934021366	0
TNKS	0.0011396353941896	0
S1PR1	0.0011687981666237	0
MAP2K1	0.0011740556723808	0
FCER1A	0.0011967925719095	0
MS4A2	0.0013087101555723	0
CD86	0.001457948532293	0
FOXO1	0.0014685188225804	0
FOS	0.0014751729171339	0
CAT	0.0017437013784951	0
GABRB1	0.0017681987348412	0
BTRC	0.0018019627023083	0
APPL1	0.0018050893725618	0
SGK1	0.0019116612177066	0
GRB2	0.0021239380530765	0
ITGB1	0.0022777993409978	0
IL6R	0.0024058312272014	0
IKZF3	0.0024115675618485	0
CHRNB1	0.0024684639745219	0
EIF2B1	0.0025292647677077	0
XRCC5	0.0029433646964515	0
IL7R	0.0029772374757575	0
FOXO3	0.003051577787535	0
MAPK8	0.0032839071377717	0
PDK2	0.0033251314644025	0
F2RL3	0.0034712030943863	0
CTCF	0.0034855322632685	0
UBTF	0.0035222347842677	0
RASGRF2	0.0035421181160006	0
HBEGF	0.003609617410219	0
GALNT12	0.003699750588879	0
CSF2RB	0.0037011134117227	0
CABIN1	0.0037112267822529	0
RASD2	0.003848974164464	0
AMBP	0.0040587483407256	0
EIF2B2	0.0040610692721306	0
HAND1	0.0040799672475382	0
ELAVL1	0.0041135615205303	0
TP53	0.0042374625698915	1
SMPD2	0.0045740360685091	0
FOXO4	0.0046982094149714	0
BCL2	0.0047032932440396	0
DUT	0.0050849647878893	0
TMOD1	0.0051331398036269	-1
JUN	0.0054986408504906	0
UBR3	0.0056547601998241	0
CD28	0.0057709259043465	0
PPP2CA	0.0058793963399429	0
DNAJB6	0.006306952013446	0
IL6ST	0.0063280344256284	0
MAPK1	0.0066483531571317	0
CXCR4	0.0066485798832277	0
FBP2	0.0076611666044158	0
POLR1D	0.0077578763393295	0
MAPK3	0.0080721156686133	0
ACTA1	0.008161323767737	0
RALA	0.0086932179366524	0
HSP90AA1	0.0087562695582392	0
GNA13	0.0093749490712792	0
PIK3R1	0.0096739636206336	0
CITED2	0.0096816257335221	0
APLP2	0.0099596673578538	0
GJA1	0.010084102600163	0
FABP1	0.0100935528954132	0
FGF2	0.0102413156623154	0
PIK3R2	0.0107636896167362	0
FZD1	0.0113811307233066	0
WNT1	0.0117712239093687	0
HAND2	0.0119608052905328	0
MYD88	0.0125372038623427	0
ADAP1	0.0135160315897292	-1
SMPD1	0.013827736153629	0
RASGRP3	0.0138910639135645	-1
PSMC3IP	0.0139280751042095	0
IL6	0.014004255635275	0
FLT4	0.0142744010109159	0
EIF2S2	0.014350692926703	0
RHEB	0.0145489504798214	0
ITIH1	0.0147310805316204	0
CAMK4	0.0148117256783063	0
EIF1AX	0.0149241560666859	0
SHD	0.0161634152243502	0
LAT	0.0164845898881713	0
TMEM30A	0.0173887442286789	0
SLC2A4	0.0175071571697101	0
TRIO	0.0176651107751226	1
EIF2S3	0.0180787996348012	0
SOD1	0.018970933306544	0
RPS20	0.0193034361068603	0
TFDP1	0.0202407480493215	0
GNA12	0.020394326102676	0
DGKZ	0.020560928121684	0
SLC9A3R1	0.0214054467897029	0
WASL	0.0218668972150988	0
DUSP1	0.0219974789875939	0
TREX2	0.0221135012380766	0
PTGS2	0.0229312560257882	0
NGFR	0.0234555788926037	0
F2R	0.0239073949713303	0
EDN1	0.0244418860037202	0
NGF	0.0244819150122354	0
EIF2AK3	0.0248743004342984	0
CD3G	0.0252548899712203	0
ARHGAP5	0.0257196803698148	0
RB1	0.026255949832339	0
EIF4G2	0.0271000553374556	0
MYC	0.0271049180470525	0
APAF1	0.0276377829784706	0
NMI	0.0287223286632702	0
EIF4G3	0.0290919695942422	0
CRYBA4	0.0292646254589693	0
ITGAV	0.0295531361262969	0
HIF1A	0.0304571705480384	0
PLD1	0.0308577193494805	0
NFATC3	0.0318055782516178	0
RAPSN	0.031818905486157	0
CAMK1G	0.0328224525133766	0
POLR1A	0.032990434297768	0
CCT4	0.0331877684217944	0
NTRK1	0.033990239126359	0
RPS6KA5	0.034016030618369	0
PCBP1	0.0343295895040324	0
BAX	0.0348654154650483	0
AKT1	0.0353106423696498	0
EIF2B3	0.0367834772582412	0
PLA2G4A	0.0377925480427495	0
CFLAR	0.0382162755179921	0
VAV1	0.0385932759703084	0
FTL	0.038673169595252	0
CD79A	0.0395360981538227	0
ERBB4	0.0406826404612103	0
SRA1	0.0412735221310058	0
DPF2	0.0424685737276068	0
KHK	0.0425008442625913	0
WASF1	0.0429180108905843	0
BIRC5	0.0431753717953238	0
GNAQ	0.0435009281246817	0
EML5	0.0438781027918718	0
CD3E	0.0442907561311844	0
CD40	0.0445824441289365	0
MAPK7	0.0456775827687989	0
PI4KB	0.0458214724071028	-1
EML2	0.0467247779116387	0
GHR	0.0469187186240366	0
CD79B	0.0471195272365743	0
PM20D1	0.0473510147675208	0
NFATC4	0.0483108834717152	0
CCND1	0.0484982557812546	0
IL2RG	0.0491258347710969	0
NFATC1	0.0492790266129607	0
EIF2AK2	0.0493542050533473	-1
JAK3	0.050216282273643	0
NR1H3	0.0511073000523005	0
ZNF131	0.0516670518677547	0
ENOSF1	0.0518327611186399	0
VARS2	0.0520448707267912	0
EIF2S1	0.053009748088925	0
ARFIP2	0.0531281820044114	0
NFATC2	0.0544677668708775	0
AXIN1	0.0548077690411539	0
DIAPH1	0.0552733588747044	0
BAD	0.0554322654403719	0
FOXA1	0.0558977686000593	0
MUSK	0.0561015735872085	0
SEMA3C	0.0566302131447029	0
NPNT	0.0573423133924789	0
AGT	0.0581598143918951	0
PPP3CC	0.0581764860008928	0
POLR1B	0.0590273340878069	0
TMEM186	0.0598063005445333	-1
ILK	0.059959878599061	0
PTPN6	0.0603096473305296	0
GRIN2B	0.0605890834091076	0
GNAS	0.0609604666965742	0
ZNF385C	0.06111030017067	-1
IRS1	0.0616032371631793	0
TSEN54	0.0617953524310717	0
CDK2	0.0618064009408424	0
SLC9A3R2	0.0623609595407387	0
PI4KA	0.063825351052719	0
ATP11A	0.0643541805647704	0
NFE2L2	0.0655226682328567	1
CDKN1B	0.0655602394101621	0
RALBP1	0.0666133469308052	0
CACTIN	0.0666631895681479	-1
PFKM	0.067531103510112	0
CALR	0.0675649602657642	0
TMEM107	0.070138766587777	0
NPPA	0.0720905152384805	0
ANKRD46	0.0724169713587693	-1
TSEN34	0.0726247107077271	0
ARNT	0.0739714285305459	0
ACOX1	0.0742647575068717	0
FLCN	0.0761529796645317	1
E2F1	0.0763626938803335	0
HDAC5	0.076746978597573	0
TASP1	0.0769710370205307	0
MRPL11	0.0779765728262974	0
UMPS	0.0784526233185981	0
CREB1	0.0791400492144961	0
JPH1	0.0796395447624933	0
NCOA1	0.0798273289697507	0
DVL1	0.0801523270768506	0
BTK	0.0811920866666017	0
NPDC1	0.0813804426463148	0
SDCCAG8	0.0814063607685112	0
ATR	0.081584450533644	0
CBFB	0.0819543971544855	0
HIVEP3	0.0819895875385349	0
MKNK1	0.08230095456235	0
HSD17B4	0.0841994919284006	0
ATP11B	0.0847667058615686	0
PPARA	0.0850617775352552	0
F2	0.0850955276301831	0
ATP8A1	0.0857870513606909	-1
SMAD5	0.0862487759494699	-1
SP6	0.0868040281764707	-1
CD247	0.086939759538431	0
CAMK1	0.0875252778025808	0
CASP9	0.0881318951068287	0
MED13	0.0882472491140105	1
ITGB3	0.089600515724868	0
NR0B2	0.0900881506286703	0
MAP2K3	0.0915436728895769	0
ATP8B4	0.0915550678960086	-1
GATA4	0.09355752474625	0
EIF4A2	0.0938848016282575	0
NKX2-5	0.0939665360201877	0
MAP4	0.0941013910404986	0
HNF1A	0.0956478476449781	0
PIGH	0.0976152157949597	0
INTS10	0.0985844007511853	0
SFXN2	0.0987058536676141	0
SCGB1D2	0.098835734196806	0
MAP2K7	0.0989594027061065	0
SETD2	0.0991731634075459	1
NOS3	0.1000915499093497	0
NCOR2	0.1007155036705128	0
TRIM37	0.1007747775376757	1
PPP3CA	0.1017486508028558	0
STX5	0.103039445455407	0
ROCK1	0.1030604574303907	0
CCNE1	0.1034585635843191	0
PBRM1	0.1038172821151231	1
PLLP	0.1038934584968321	0
CASP7	0.1050110405487392	0
CHN1	0.1057215031879674	0
HAUS5	0.1067126719435844	0
B2M	0.107484729269668	0
DCTN5	0.1075718131802647	0
PFKFB4	0.1084962115321357	0
PFKFB3	0.1087617379063843	0
SYK	0.1089305017647655	0
DYNLT3	0.108966419673792	-1
JAK1	0.1089768903590079	0
TGFBR2	0.1093937808855658	0
LCK	0.1094040677818488	0
INPPL1	0.109419497436489	0
MED1	0.1096863330700238	0
PI4K2B	0.1102840729340722	0
NEDD9	0.1105374264867286	0
ADCK1	0.1108026294096201	0
CALM1	0.1108456676119038	0
USP7	0.1112846652320176	0
CLDN1	0.111695699523531	0
MTOR	0.1119955971556166	0
DHX16	0.1124437498672496	0
KIT	0.1125618570958232	0
TECPR1	0.1130720083302799	0
RSPH3	0.1130763295676752	0
NXPE3	0.1132923741659285	-1
CARM1	0.1139636477585808	0
TESC	0.1146423336531112	0
EIF4A1	0.1160403913985573	0
PPP3CB	0.1160964310039233	0
OGFOD2	0.1163515440625747	0
PDGFRB	0.1185347297852478	0
SSTR1	0.1197525398941609	0
XIAP	0.1201042503864984	0
PFKP	0.1202131018556733	0
DSTYK	0.1204551452420181	0
IRS4	0.120497010661678	0
STAT5B	0.12062685876515	0
MAP2K6	0.1207355168324029	0
CALM2	0.1213735653312306	0
EML4	0.1220268302025061	0
ARHGEF1	0.1222373001678299	0
CDK4	0.1227905501991807	0
BCAR1	0.1232669791619157	0
CXCR1	0.1235017151979175	0
TBKBP1	0.1237139470229561	0
ACOT1	0.1237588479948467	0
GDPD4	0.1255783438617491	0
DUSP7	0.126927499966104	0
NCF2	0.1275109228277581	0
GBF1	0.1275153249878097	0
INTS7	0.1278393582076302	0
BCL2L13	0.1279908413315416	-1
MAP2K4	0.1284279914964008	0
DUSP5	0.130463914535516	0
STX2	0.1308762534463625	0
PLEKHG3	0.1313649195729084	0
ATG16L2	0.1316224944620625	-1
ZNF431	0.1319625316396164	-1
PRUNE2	0.1324964860300074	0
STAG2	0.132749359177108	1
ADCK5	0.1328348071518554	-1
ZMAT5	0.1340344090959987	-1
SRF	0.1340641808130532	0
INTS9	0.1340733144083482	0
ACOT4	0.1348029894232666	0
DIP2A	0.1350323580464725	-1
VPS33A	0.1356919570394145	0
CUL3	0.1357242235222044	1
ZBTB7B	0.1360135322934391	0
HABP4	0.1365099720860847	0
CDC14B	0.1368589530595049	0
KISS1	0.1370813063100311	0
VSX1	0.1383234683579873	0
CDK16	0.1385863912935001	0
EFNA1	0.1386367294892407	0
CLEC12A	0.1388537588057873	0
YWHAH	0.1391150167584506	0
CDK6	0.1400839993361847	0
NOS2	0.1408385963352327	0
PSIP1	0.1418933738380026	0
VPS18	0.1429877657492834	0
VRK3	0.143189620510827	-1
CEP70	0.1443237240160062	0
GRINA	0.1444492710379799	0
RPS6KA1	0.1447311264620849	0
STAT5A	0.1447519326155906	0
ADCY1	0.1453065659528862	0
PIGO	0.1457813276104212	0
PGAM2	0.1466308248579775	0
CASP3	0.1466782100262538	0
IPO4	0.1467204807355447	-1
DPY19L4	0.1467228135505333	0
IKBKB	0.1470030458324914	0
GAB3	0.1472553549510147	0
INTS5	0.1473511033402306	0
KEAP1	0.1475070985908043	1
UBN1	0.1479509155754275	0
COPS7A	0.1480291439044941	0
FADS1	0.1482315901870981	0
SYNRG	0.1485676906545343	-1
MPI	0.1490969377715492	0
RAB1B	0.1495959560189041	0
ASB11	0.1496657450058721	0
FPGT	0.149705735587864	0
MXI1	0.1500454340820987	0
GSK3B	0.1501578651218789	0
DUSP4	0.1511345004359526	0
APOA1	0.1519621880571456	0
PDPK1	0.1525786421652307	0
COMMD1	0.1530889123322953	0
MDM2	0.1531530292787618	0
PIGL	0.1531719929412062	0
PRKCSH	0.1531954943096518	0
ACOT13	0.1532450814225377	0
TRIB2	0.1532477164993534	-1
MYH2	0.1532539522912457	0
MAP3K7	0.1533752501356395	0
ZNF680	0.1534775039119645	0
ZIC1	0.1539137658840527	0
HSPB11	0.1540306217631677	-1
RALGAPA2	0.1544164824746388	-1
ARF5	0.1544443542809044	0
PHLDB3	0.1547879901061195	0
IRF9	0.1548557721727037	-1
PIGM	0.1552887335781486	0
PIGP	0.155559858363138	0
AKAP9	0.1556151537953822	1
SCGB3A1	0.1563210484603429	0
SMARCB1	0.156882862969684	1
SPCS2	0.1569089552432309	-1
PIGV	0.1574621568850456	0
ERBB2	0.1577022782455667	0
SPICE1	0.1578950245480868	0
STAT1	0.15794106470454	0
DUSP2	0.1581270004439938	0
BCL2L11	0.1592559582830672	0
CYHR1	0.1592975919043232	0
CDK5	0.159610331776675	0
ATP8A2	0.1597668923307368	0
CCHCR1	0.159941704021181	0
SPG21	0.1600500264035825	-1
TACO1	0.1601212151029832	0
IMMP1L	0.1601364981766178	0
PPP4C	0.1608865481570618	0
DPH1	0.1617064523564919	0
CMTM7	0.1618082063294746	0
