gene	p-value	label
AGBL2	1.373171028791332e-17	0
TWSG1	1.5276086335710826e-15	0
PTTG1IP	6.446610493383147e-14	0
NPRL3	4.921323518169188e-12	0
ARHGEF17	8.448675113854e-12	0
TRMT11	2.284098495793498e-11	0
TOP1MT	9.618466387653834e-10	0
IGSF21	3.935124815873716e-09	-1
MTHFSD	6.04257059352128e-09	0
CHRNB1	2.4526436782310773e-07	0
KRAS	3.218510927800461e-07	1
ITIH1	4.330896678102819e-07	0
NRAS	5.492940474663256e-07	1
ZNF189	1.037743840262859e-06	0
TANC2	3.1442646670247075e-06	0
CMIP	3.3778570868243683e-06	0
PGGT1B	3.861813851080728e-06	0
UBE3B	9.11164027260002e-06	0
IL24	1.3569793538815514e-05	0
ANKRD2	1.5885990255947586e-05	0
PADI1	1.867239764465477e-05	0
RASGRF2	2.427748660960176e-05	0
SLC30A4	2.504665554484512e-05	0
MR1	3.251733098940557e-05	0
OR51B4	3.292298021042571e-05	0
PXK	3.4706262273711046e-05	0
RPS20	3.971290815493942e-05	0
CABLES1	5.46975838084162e-05	0
BSDC1	6.122112935105563e-05	0
SHISA5	7.459654887214897e-05	0
ZBTB8A	8.372253257204519e-05	0
PIK3R3	8.799230556441402e-05	0
RCN1	0.0001301961170764	0
SPATA20	0.0001491660463971	0
DENND2C	0.0001668324061175	0
RASGRP2	0.0001781998992396	0
HSDL2	0.0001830696822851	-1
PNRC1	0.0001956087895721	0
ANXA3	0.0002192592674861	0
ZMIZ2	0.0002331907360342	0
PPARA	0.0002513867008421	0
DNAJC27	0.0002793896177197	0
KIR2DL1	0.0002902205482337	0
DPH1	0.0003104323800591	0
TUBB4B	0.0003187899359984	0
PIK3CA	0.0003422686183598	1
ERI1	0.0003526669387397	-1
HMSD	0.0003658001870323	0
RPLP2	0.0003672601174512	0
IGFBP3	0.0003784852309647	0
SMIM14	0.0003874467474587	-1
TNFSF13	0.0004194451590511	0
ANGPT4	0.0004209685769668	0
CAPG	0.0004328089369688	0
COL8A1	0.000436713742021	0
FAM216A	0.0004391408331928	0
DCK	0.0004409758295365	0
S1PR1	0.0004517370009714	0
SERPINB1	0.0004567412031956	-1
NQO2	0.0005020034328527	0
PDE6D	0.0005432538380522	0
BEX2	0.0005754906912916	0
PPP1R3D	0.0005946679950038	0
QDPR	0.0005958250180036	0
CCR2	0.0006005404073197	0
RNF34	0.0006727749001702	0
C10orf90	0.0006840201225452	0
PHACTR2	0.0006934809368068	0
RALGDS	0.000694767339484	0
EIF2B1	0.0007121203515414	0
CTCF	0.0007129353212199	0
YY2	0.0007666317887395	0
TUBB2A	0.0008009700673244	0
RAP1GDS1	0.0008050107570164	0
SERPINI1	0.0008167553678274	0
REEP4	0.000825544296867	0
SPPL3	0.0008260605167626	0
SERPINB6	0.0008261821620853	0
GGH	0.0009267778283493	0
CLCC1	0.001015038055329	0
PID1	0.0010466660885708	0
BTLA	0.0010641757371937	0
ICOS	0.0010835613207956	0
SHROOM1	0.0011237313355911	0
SIRT6	0.0012115822274226	0
RNF115	0.0013434390300467	-1
PAGR1	0.0013676689396625	0
FAM3C	0.0014006631524663	0
KIAA0930	0.0014307431505332	0
ATP6V0A1	0.0015621673205984	0
SERPINB8	0.0015868602205717	0
DUSP26	0.0016055099405449	-1
OLFM1	0.001606250835432	0
DHRS4	0.0016284362647392	0
TUBG1	0.0016803625978883	0
C1orf198	0.0017503528622879	0
TBX2	0.0017657038856275	0
CA12	0.0018973197633897	0
RAG1	0.0019152260110078	0
NRG1	0.0019988911252088	0
CEP70	0.0020003904699136	0
THRSP	0.0020645209160325	0
PDCL3	0.0021538143729626	0
JOSD1	0.0021882520128212	0
CABLES2	0.0021906262214739	0
TXNDC9	0.0022055846717499	0
VGLL1	0.0023258439641233	0
BANF1	0.0023356718836099	0
CEP95	0.0025206995287697	-1
AIFM2	0.0025953418836041	-1
EPB42	0.0026474342383557	0
NSMCE4A	0.0027274853020525	0
PPP1R32	0.0027602029475126	0
CORIN	0.0027878118868806	0
FOXJ2	0.0029559015155976	-1
SMTN	0.0029956445560457	0
KRT79	0.0030463799575456	0
SSTR2	0.0030953802859784	0
TIMP3	0.0031211104404053	0
LGMN	0.0031261841067691	0
SLC52A3	0.0031655543136051	0
TNK1	0.0031918263692113	0
EIF2D	0.00357803073457	0
IGF2R	0.0036041157042057	0
DCAF12	0.0036605477892131	-1
ATP6AP1	0.0037217456743553	0
MZT2B	0.0037382718144884	-1
EIF2B4	0.0037790439504442	0
PTEN	0.0038013839396287	1
TFF2	0.0038110139332254	0
EIF2B3	0.0039271942771977	0
CHRM3	0.0039661524227771	0
LBP	0.0039679528035516	0
ANKRD11	0.0040025109128752	0
RAB11FIP2	0.004287273169531	0
CRABP2	0.0043048025310148	0
UBA3	0.0043290417511357	-1
SLC30A9	0.0043879836535495	0
MSMO1	0.0045424892990309	0
MKRN1	0.0046299621824661	0
SCG2	0.0047226533009683	0
PKP2	0.0047307502153672	0
SERPINE1	0.0048553668730539	-1
WDR6	0.0049050098570498	0
VGLL2	0.0049324649863049	0
PPEF2	0.0049384235080236	0
PADI4	0.0049677898471126	0
CYP2E1	0.0050523698549178	1
PIK3R2	0.0050632424345866	0
BAIAP2L2	0.0051419907914975	0
ANXA6	0.0051923927977393	0
MYH15	0.0052078799016374	0
RASSF2	0.005371803323432	0
NMI	0.0054172356594574	0
FRMD4A	0.0055187811954502	0
TEP1	0.0058245849172239	0
COL6A6	0.0058485483471579	0
ECE1	0.0058592116721779	0
TERT	0.0059453524745664	1
TMEM218	0.0059483059343272	-1
ANGPT2	0.006058241282116	0
RRM2B	0.0060687361844737	0
PATZ1	0.0060927922581874	0
CINP	0.0061044225552508	0
FEM1A	0.0061648401090271	0
SUOX	0.0062658777745943	0
HSD17B10	0.0062796010079762	0
ZNF146	0.0063153722659682	0
ZNF292	0.0063503879647613	0
AMZ2	0.0063814639404755	0
TCHP	0.0063866324006046	0
EXOG	0.0065604827854456	0
PRDM1	0.006671567327463	0
ACTBL2	0.0067073160488295	0
ZNF653	0.0067351694521826	0
AXIN1	0.0068885601796035	1
MRC2	0.007006077391824	0
RBP1	0.0070067694249717	0
FNDC3A	0.0070383157162283	0
MTHFR	0.0070490239477271	0
SLC30A10	0.0071869994767106	0
GGT7	0.0072246758307102	0
TUBA1B	0.0073265187764922	0
SMURF2	0.0073533788425946	0
WASF1	0.0073802554572451	0
HERPUD2	0.0075333624366065	-1
GPX4	0.0076763458386875	0
HNRNPC	0.0077267832683201	0
ITPKC	0.0078007331077921	0
UCHL5	0.0082621333318951	0
B2M	0.0082937343667186	0
STAG2	0.0085647911841352	0
BCAN	0.0086680566201647	0
ACTR3B	0.0086922930293736	-1
INPPL1	0.0087331921020808	0
ATP6AP2	0.0087738949207921	0
FAM178B	0.0089906570868191	0
PSMD2	0.0090601468119123	0
MAP2K3	0.0091046827718738	1
CD200	0.0092675519561624	0
HSD17B4	0.0093616125127593	0
EI24	0.0094071054720742	0
PDK4	0.0094746481723489	0
NFE2L2	0.0095860406460711	1
CCT7	0.0096113349119713	0
GPRIN2	0.0096667324077858	0
WWOX	0.0096921371133783	0
TIMM17B	0.0097899822969016	0
NT5DC3	0.0098506571813297	0
SGSM3	0.0098720236389835	0
SMPD2	0.0100263307918444	0
NR6A1	0.0100295918261917	-1
HSPA9	0.0100668203812829	0
ATP6V1A	0.0101618381456918	0
WWP1	0.0102542694500978	1
SLCO4C1	0.0102842427634746	0
EID3	0.01030668115256	0
TP53	0.0105465615537937	1
SLC30A6	0.0106401749432491	0
DUS3L	0.0107304747817591	0
EDN1	0.0108475796076246	0
SLC35E1	0.0108789203836356	-1
MYOF	0.0110358647612022	0
ACTG1	0.0111386924746046	0
DOCK1	0.0112624037451965	0
IL7	0.0112774587706615	0
RPL41	0.0113498621033275	0
EIF4G3	0.0113594599056462	0
PTBP2	0.0114065876069638	0
DHCR24	0.0114358684998241	0
SLC46A1	0.0115444683587247	0
SLCO4A1	0.0116426292729972	0
HNF1A	0.0116498939036113	1
FCHO2	0.0118434545380024	0
ARHGEF16	0.0118622247386778	-1
RASGRP3	0.0118743702098717	-1
TMEM107	0.0119305178564906	0
AWAT2	0.0119485205043238	0
TUBA8	0.0119915753823222	0
