gene	p-value	label
MRPL3	0.0001238436682589	0
NDUFB6	0.0001627966987331	0
MRPS16	0.0001843307535969	0
MRPL49	0.0001900652526582	0
MAP3K11	0.0002024768398111	0
MRPL20	0.0002382371114104	0
NDUFB4	0.0002570294916721	0
CBX5	0.0003275896561285	0
NSUN4	0.0003827642802567	0
RBBP7	0.0004065865684562	0
MRPS7	0.0004288251225499	0
LRPPRC	0.0005500281371885	0
MAP3K8	0.000562490817353	0
CCNA2	0.0005790080399937	-1
EIF4G2	0.0005995488763134	0
SPAG5	0.000649950956077	0
TADA2A	0.0008132034952119	-1
HARS2	0.0008151108040695	0
MRPL48	0.0008213836641522	0
QRSL1	0.0008500844703387	0
XRN1	0.0010332696342246	1
MTA2	0.0011175253228951	0
MRPL2	0.0011699782627706	0
MAX	0.0012347522153618	0
ZMYM2	0.0015207602897751	1
FOXRED1	0.0015362983617765	0
GTF2H1	0.0015519693330512	0
RTN4IP1	0.0016843177442178	0
PTEN	0.0017173786744577	1
MRPL9	0.0018094639813449	0
CARM1	0.0018563840567081	0
SARS2	0.0018607323073638	0
RUVBL1	0.0018917305313035	0
CHEK1	0.0019349954259222	0
GTF2F1	0.0020110643513334	0
PPP2R1A	0.0020907560885495	1
DAXX	0.00214144379238	0
SUPT6H	0.0021924212196263	0
CCT5	0.0022137849109762	0
DDB2	0.0022221009933758	0
FANCM	0.0023039199814325	1
BNIP1	0.0023259607197588	0
RPRD2	0.0023415135262349	0
COQ7	0.0024496135597191	0
CUL3	0.0025689120737697	1
PSMA4	0.002662537060161	0
RBFOX2	0.0026627760658467	0
ATM	0.0027386639711524	1
INTS5	0.0027590511123359	0
INTS10	0.002778082125204	0
MAP4K4	0.0028426573563445	0
PRMT5	0.0029052300830881	0
PAXIP1	0.0029117462330652	0
ELL2	0.0029715336617786	0
PARS2	0.0030389414985714	0
RB1	0.0030697432873588	1
MAPK7	0.0031085778505784	0
PABPC1	0.0032996103388724	0
TOX4	0.0033548239677208	0
ASPM	0.0035715987736472	1
CNOT7	0.0036928305525721	0
TOP1	0.0037361473603354	0
FBXW7	0.0037398119000866	1
UQCRC2	0.0037474570478	0
NUTF2	0.0037557573786224	-1
NDUFS1	0.003760850833246	0
MED21	0.0037798998551178	0
NDUFS3	0.003785918557781	0
G3BP2	0.0038359257121748	-1
EGFR	0.0038726310172858	1
PEBP1	0.0038849103431986	0
POLR2M	0.0039819221291089	0
MORF4L1	0.0041480066176299	0
EIF4B	0.0041748227457926	0
MRPL1	0.0043816066800913	0
PA2G4	0.0044299396539597	0
FGFR4	0.0047011027316752	1
SMARCA4	0.0047020113186841	1
INTS3	0.004729182278458	0
HNRNPA1	0.0048674740207135	0
UBE2R2	0.0048855359619797	0
RELB	0.0051298828000583	0
NCBP1	0.005147662129789	0
RPAP2	0.0052688677092657	0
PLSCR4	0.0053544671490443	1
PDGFRA	0.0055129458836239	1
MAPKAPK3	0.0055522920880883	-1
SKP2	0.0055530720882184	0
EIF3A	0.005650061630683	0
TRAF3IP1	0.0057282729018601	0
KEAP1	0.0058866114452697	1
YEATS4	0.005917111161085	0
PRPF8	0.0059323276902347	0
CLSPN	0.0059493359300504	-1
APC	0.0059795500906168	1
PTTG1	0.0060153939309402	0
