gene	p-value	label
BSDC1	3.944938312789519e-16	0
POLR3G	2.562998601541117e-15	0
TRAM1	9.957388472954291e-15	-1
RNF34	1.0605667795729785e-14	0
BRF2	8.568696955762474e-14	0
BRF1	4.5289671251033243e-13	0
GTF3C5	2.7661013658221747e-12	0
TMX1	2.8542546531180152e-11	-1
GTF3C6	3.6632934122237547e-11	0
GTF3C2	3.7478489085772286e-11	-1
C1orf198	5.222156213004789e-11	0
DENND2C	8.413634895284552e-11	0
BDP1	2.1568619036930468e-10	0
LGALS7B	2.5589581710522877e-10	0
SAMD3	3.9907880248741085e-10	0
KCNJ3	1.8403119765988182e-09	0
POLR3C	2.5355666042746e-09	0
POLR3GL	3.210405964692202e-09	0
SLC25A42	1.6951491471424027e-08	0
RPRM	2.371215768056012e-08	0
ARPC5	4.0414710880581886e-08	0
KLHL23	5.9029818620444746e-08	0
TCHP	6.011331986383416e-08	0
HPSE	6.31702834080292e-08	0
SLC25A16	7.16638549892314e-08	0
LACTB2	7.437326593357828e-08	0
POLR3E	1.6771473711414017e-07	0
GTF3C1	2.5136708842673655e-07	0
SHISA5	2.856101053421657e-07	0
EI24	4.310889633545041e-07	0
SLC25A24	4.662670235641086e-07	0
PCSK7	5.460979274557473e-07	0
NPLOC4	6.198977046276201e-07	-1
BRAP	6.677505574733176e-07	0
CCDC50	6.791755710797828e-07	0
USP25	7.593743900137181e-07	0
GRHL3	7.958746533426015e-07	0
RASSF8	1.313107789001702e-06	0
PACS1	1.4226657366468451e-06	0
ZMAT3	1.652838142714732e-06	-1
PCSK4	1.901020094662e-06	0
ANXA4	2.177253259020181e-06	0
ADARB1	2.6049294297150345e-06	0
PHLDA1	2.684960159329861e-06	0
SLC25A25	2.7132380088857342e-06	-1
POLR3B	3.041746107779469e-06	0
RPS14	3.1156796232451067e-06	0
TEP1	3.7554153402383087e-06	0
POLR3F	4.112456790448847e-06	0
MAGEA10	5.226718581800072e-06	0
TIMM23	5.409249793917739e-06	0
PRDM1	5.647761816581651e-06	0
DST	6.140490122839956e-06	0
MKRN1	6.62427496971768e-06	0
INSIG2	7.057696618594688e-06	0
TBC1D32	7.215279709879192e-06	0
C9orf72	1.369869936209896e-05	0
POLR1D	1.4287617987427317e-05	0
COBL	1.814848380197584e-05	0
NDE1	1.889061791430243e-05	0
TTC8	2.534981164394498e-05	0
WDR41	2.639404920628713e-05	0
DCHS2	2.639829546328948e-05	0
SORCS1	2.9494294438579023e-05	0
GORAB	3.059125243106139e-05	0
POLR3A	3.210479635895083e-05	0
ROR1	3.2507517208044594e-05	0
VPS13A	3.79158669945963e-05	0
RASSF7	4.444439944097626e-05	0
SUSD1	4.460991990582048e-05	-1
DBR1	4.529467290736368e-05	0
TES	4.615539903273912e-05	0
POLR2F	4.624060749052745e-05	0
USP1	4.728815172715463e-05	0
UCP3	5.317498253853462e-05	0
G3BP1	7.199210444578452e-05	0
YTHDF1	9.084323577113384e-05	0
C11orf65	9.77409263014326e-05	0
SNAPC3	9.92334985754214e-05	0
CORO1B	0.0001010563480303	0
CALML3	0.0001072483302567	0
THAP11	0.000150788170393	0
MTCH2	0.000154239774679	0
TIMM17A	0.0001546101551011	0
PPP1R12C	0.0001570877388306	0
ANXA5	0.0001584023272073	0
NFE2L2	0.000162111362158	1
SNX11	0.0001728559589595	0
TBL2	0.0002176189983151	0
GGCT	0.0002540756300149	0
SLC25A36	0.000256725329366	0
SFN	0.0002579151509491	0
SLC25A14	0.0002654139449089	0
SLC25A30	0.0002719890321967	0
KCMF1	0.0002840182155282	0
HIGD1A	0.0002865367893919	-1
UBOX5	0.000289556953574	-1
TONSL	0.000301202409215	-1
GPR153	0.0003166756830638	0
ATAD5	0.0003359946538374	0
HES4	0.0003394463804533	0
PPP1R13B	0.0003417857564784	0
MAK16	0.0003448649513055	-1
POLM	0.0003849305513466	0
WDR7	0.0003997327882144	0
MAD2L2	0.0004276660075935	0
ZBTB20	0.0005063848034899	0
XRCC4	0.0005146749535744	0
NELL1	0.0005258106290515	0
TRMT1	0.0005483458338337	0
METTL3	0.0005742015923796	0
POLR3D	0.0005982514323895	0
RBMS2	0.0005988273837449	0
TM4SF19	0.0006025265177266	-1
CTSB	0.000621456829041	0
EEF1G	0.0006276167683514	0
SNAP47	0.000660954265674	-1
HOXC4	0.0006625157223779	0
PTOV1	0.0006684436856072	0
RPL41	0.0007380363470101	0
SCFD2	0.0007523281780306	0
FUT11	0.0007533388594985	0
ADAD2	0.0007791621639044	0
CHTF18	0.0007946949538518	0
THEM5	0.0008323489305146	0
FBXO3	0.0008437554902965	0
MGMT	0.0008677318948733	0
APBB2	0.0008906821702541	0
RPS29	0.0008909071032229	0
CCNDBP1	0.0009157374287367	0
FXR2	0.0009234786638428	0
UBR3	0.0009681440471304	0
RNF32	0.0010192820176359	0
