gene	p-value	label
NUTF2	6.1557701144097474e-18	-1
BIRC6	5.083437839407937e-17	0
CASK	1.0573806537565779e-16	0
EIF5	3.3521477218961955e-14	0
EPHA6	2.425456690302648e-13	0
HOMER3	2.532552904844516e-13	0
ARPC2	3.069612103839834e-13	0
EPB41L1	7.7033468790911e-13	0
MAP3K6	4.386769308932425e-12	0
CYCS	8.953665747690155e-12	0
MAP3K5	2.9705285961502536e-11	0
HOMER1	6.679765561129148e-11	0
EIF4A1	1.6045866332567279e-10	0
RPTOR	1.845489346572263e-10	0
CDC25C	1.019031597932613e-09	0
HNRNPH3	1.3216925967580778e-09	-1
SNRPG	1.478672655031183e-09	0
DCTN2	1.7476490962469531e-09	0
ACAD9	2.5145793132700007e-09	0
BAIAP2	5.053009094411372e-09	0
HSPE1	5.642444912153239e-09	0
RICTOR	1.1402169634529177e-08	0
DUSP4	2.1958679786000546e-08	0
PRKAA1	2.8754314727371747e-08	0
EXT2	3.090434022962568e-08	0
DUSP7	3.854400178887511e-08	0
LIN37	8.627013997452303e-08	-1
EPB41L2	8.87958832238948e-08	0
STK24	9.391336387843552e-08	0
CNOT10	1.0816617406699103e-07	-1
CNOT3	1.233111058144454e-07	0
WDR61	1.7978980464308645e-07	-1
POLR1A	1.933052756664747e-07	0
DUSP6	2.1096602170479762e-07	0
B3GAT3	2.454331026285261e-07	0
OPHN1	3.090600416579459e-07	0
HS2ST1	3.474879597397953e-07	0
DHODH	3.5784171427361335e-07	0
HS6ST1	5.838824640099505e-07	0
B4GALT7	5.863178341459845e-07	0
DDX39B	6.249272732984284e-07	0
MPHOSPH6	6.259015289528024e-07	0
GPC4	6.458507747410184e-07	0
CNOT6	7.682754431827626e-07	0
NDST1	7.695495356631498e-07	0
NLGN2	7.730879517087598e-07	0
STIM2	9.128521760860052e-07	0
HS3ST1	1.136959100917229e-06	0
SKIV2L	1.334142091103729e-06	0
EPB41L5	1.3393112295072e-06	0
TSTD2	1.365695701087366e-06	0
PAN3	1.4145041536085444e-06	0
DUSP8	1.6670859502958237e-06	0
HS3ST3B1	1.7372578473484284e-06	0
HS6ST3	1.8295987877479464e-06	0
NDUFAF6	2.0482701423460823e-06	0
CNOT4	2.5551016212607178e-06	0
GPC2	2.775075115960012e-06	-1
DUSP2	2.822522021417566e-06	0
PASK	2.9840010543423406e-06	0
HNRNPUL1	3.050743738231915e-06	0
CSTF2	3.189419767466889e-06	-1
DUSP16	3.272729533368772e-06	0
PATL1	3.295571552265999e-06	0
MED12	3.3136472938460507e-06	1
ARHGAP6	3.336530239119717e-06	0
CCNC	3.4614399493621125e-06	0
XYLT2	3.9023021394987145e-06	0
DUSP10	3.97417805334264e-06	0
LARS2	4.910234424099265e-06	0
LSM3	5.155802869224835e-06	0
PSMB5	5.562512154242007e-06	0
SDC3	5.658249124729169e-06	0
CNOT1	6.208889672914828e-06	0
DLGAP4	7.619426256924116e-06	0
LRRTM1	7.62679339724626e-06	0
HOMER2	7.983622833579641e-06	0
HS3ST5	9.132604428015723e-06	0
STX17	9.339890214465552e-06	0
HS3ST3A1	9.352385706687195e-06	0
HS3ST2	9.787994783435247e-06	0
NRXN2	9.900907420452945e-06	0
DDX1	1.0859739306837098e-05	0
LSM4	1.1289493633325335e-05	0
U2AF2	1.1796425351924478e-05	0
POLR1B	1.2332298985723347e-05	0
