gene	p-value	label
RAF1	5.212475558315902e-26	0
RAC1	2.2748796495384814e-22	0
SUMO1	5.81986287723612e-20	0
TGFBR1	1.9869386659135768e-19	0
PPP2CA	3.3978519486640583e-19	0
EGFR	5.87450554850169e-19	0
TRAF2	4.591680380111532e-18	0
CDK1	5.535172674921004e-18	0
RIPK1	1.0769907911977685e-17	0
HRAS	1.413131818718326e-17	1
GSK3B	7.628772450874575e-17	0
TP53	1.3764178409548866e-16	1
ATF2	2.5865380659130967e-16	0
PAK2	3.342529081938377e-16	0
PIK3CA	4.924853819127396e-16	1
TRADD	5.069166609849746e-16	0
DAXX	5.336685375380788e-16	1
FYN	1.6470998529420693e-15	0
CREB1	1.7175715079314288e-15	0
TNFRSF1A	1.9949628451534838e-15	0
IKBKB	2.043744230279082e-15	0
PLCG1	2.5112837872675445e-15	0
SP1	2.742923062348084e-15	0
PIK3CG	2.952934144059988e-15	0
STAT1	4.161869701515519e-15	0
MAP3K5	6.1346655407628095e-15	0
CCNB1	9.810906134829792e-15	0
CSNK1A1	1.8400747606417185e-14	0
SMAD1	5.462527708048566e-14	0
MAP2K4	9.458529804107905e-14	0
PPP3CB	1.3829955333063213e-13	0
CDKN1A	1.4152611607506406e-13	0
HSPB1	1.8837423223018681e-13	0
TNFRSF1B	1.9264965934347181e-13	0
SOS1	1.9408881810843249e-13	0
RPS6KA1	2.0177904841646097e-13	0
RHOA	2.0203104453007445e-13	0
CDK2	2.1239900931201562e-13	0
CALM2	2.2738965322482294e-13	0
MAP2K7	2.3439810028591137e-13	0
ITGB1	3.201547511170529e-13	0
MAX	3.9030349187203723e-13	0
E2F1	4.57065109811917e-13	0
FASLG	4.894763652296704e-13	0
LYN	6.398682099330555e-13	0
MAP2K6	8.205562969192433e-13	0
CCND1	1.3593849925696002e-12	1
CALM1	1.3933944373055309e-12	0
RARA	1.4085847017853972e-12	0
CDK5	1.5053411651986194e-12	0
CRK	1.5738816234388437e-12	0
PPP3CA	2.127584718699352e-12	0
NCOR2	2.328147263151362e-12	0
YWHAH	3.8150261290101255e-12	0
MET	5.282697920537257e-12	0
MAP2K2	5.626246255158943e-12	0
LCK	6.481824429668749e-12	0
CDK4	8.223829196826383e-12	0
HNF1A	1.0130060565007e-11	0
MKNK1	1.033896438564703e-11	0
MAP3K3	1.1933672826935424e-11	0
FAS	1.1992098321615396e-11	0
MAPKAPK2	1.3956069681976775e-11	0
PPP3CC	2.1221339942175723e-11	0
MAP2K3	2.912471413502523e-11	0
STAT3	3.112596244736827e-11	0
MAP4K4	3.819157479438252e-11	0
MAP4K2	4.4995685287081164e-11	0
SIN3A	4.5763401103300516e-11	0
PRKCD	6.126412657414462e-11	0
CARM1	1.0897514648640876e-10	0
MAPK7	1.1143878181307835e-10	0
CALR	1.1302802662948387e-10	0
CAV1	1.190907419435355e-10	0
PLA2G4A	1.205217560101853e-10	0
PRKCE	1.3108912159333204e-10	0
MAP4K1	1.3110544882047048e-10	0
BCL2	1.364788803952397e-10	0
MAP3K8	1.3786040565093448e-10	0
MAPKAPK5	1.4844760509790052e-10	0
STAT5A	1.5965680434048906e-10	0
ARRB1	1.801064465553484e-10	0
CD3E	1.8213143758801314e-10	0
SMURF2	1.9285075563204063e-10	0
IRAK2	2.0094912110740314e-10	0
MKNK2	2.0722770179986088e-10	0
CDKN1B	2.179644015327917e-10	1
GNAQ	2.542342342638424e-10	0
BTK	3.3616368048003556e-10	0
PTK2B	3.76202410470017e-10	0
MAPK9	4.548802131955068e-10	0
DNAJB1	4.626021008110585e-10	0
SYK	4.712039801982957e-10	0
NFATC2	4.71597875781195e-10	0
CASP9	4.93404788927344e-10	0
SOD1	5.680328298881126e-10	0
PTEN	6.836966690937995e-10	0
NFATC1	7.077332652556663e-10	0
GNAS	7.199784763466345e-10	0
BAD	7.397556743512475e-10	0
ETS1	7.433925374682886e-10	0
RAP1B	7.572150622339911e-10	0
HDAC5	8.330205999648306e-10	0
PTPN6	9.086715841152887e-10	0
VCL	9.567768809652123e-10	0
RPS6KA5	1.030916988926306e-09	0
CD247	1.058039158918031e-09	0
CDK6	1.1860331474239942e-09	0
PML	1.386752269994249e-09	0
CAPN1	1.4552267342206168e-09	0
ROCK1	1.6989234965336e-09	0
IRS1	1.7187366483656383e-09	0
ERBB2	1.8626457461809475e-09	1
MAP3K6	1.883191941529633e-09	0
TFDP1	2.039756747950174e-09	0
CBL	2.147298454099363e-09	0
