gene	p-value	label	index
ZBTB8A	1.134823475370286e-08	0	11482
PCID2	5.907089653699263e-06	0	7188
YY2	1.032363967768856e-05	0	11441
SMNDC1	1.4607221903627967e-05	-1	9511
GLE1	2.3599801570447084e-05	0	3966
PTHLH	6.11971002823018e-05	0	8060
RANBP1	8.325245823486754e-05	0	8257
FBXW2	9.998309912797308e-05	0	3514
TM4SF19	0.000106563512551	-1	10357
TTC27	0.0001102677585163	0	10832
SPATA20	0.0001186798832803	0	9654
MAP3K15	0.0002015025411046	0	5714
SRPX	0.0002125681939223	0	9760
TTC9C	0.0002171327162001	0	10852
BORA	0.0002303314702268	0	1091
RCOR3	0.0002458481478812	-1	8388
CNTNAP2	0.0002899885518548	0	2088
TTC9	0.0003026737207633	0	10850
ANKRD52	0.0003160139101582	0	479
BTLA	0.0003511417942466	0	1148
HECTD1	0.0003544940689231	0	4343
DCTPP1	0.0003580400330863	0	2524
PPP6R2	0.0003594508225271	0	7824
TRERF1	0.000360579229741	0	10663
PTTG1IP	0.0003704951838652	0	8103
CEP97	0.0004059470118898	0	1809
TTC9B	0.0004071805479174	0	10851
PLSCR4	0.0004355686324475	0	7594
TGFBRAP1	0.0004625157723398	0	10249
MIER1	0.0004757923428985	-1	5967
NET1	0.0005651268696627	0	6533
MRM1	0.0005717449367321	0	6105
SPAG1	0.0005725317369244	0	9639
GYS1	0.0005804555240548	0	4265
TTC13	0.000632489781513	0	10822
VPS18	0.0006352338059111	0	11214
ANAPC7	0.0006514235960012	0	428
BTBD9	0.0006570280791415	0	1140
TOE1	0.0007014484046785	0	10559
TMEM107	0.0007264961644264	0	10392
LBP	0.0007661601782358	1	5350
TTC16	0.0007683383473265	0	10824
TTC7B	0.0008404210805723	0	10848
APOL6	0.0008523650186975	0	583
DSTYK	0.0008895795540535	0	2860
FRG1	0.0008957602752827	0	3703
DNAJB7	0.0009784578836644	0	2740
C7orf25	0.0010222866242772	0	1276
ANKRD44	0.0010401147548372	0	474
PLCD1	0.0010745150959544	0	7537
NRL	0.0010944360157264	0	6767
SLFN11	0.001100542159645	0	9454
VPS33A	0.0012572496109254	0	11219
IPO5	0.0012615241218871	0	4816
NFIX	0.0013576485545018	0	6559
TTC28	0.0015100979369514	0	10833
FHOD1	0.0015569655363181	0	3593
CEP41	0.0015893292639756	0	1794
DNAJC2	0.0016426887088693	0	2750
SGSM2	0.001679814740767	0	9067
TSTD2	0.0016831444281639	0	10817
HSPB11	0.0017450093411628	-1	4581
BICD2	0.0018201233548084	0	1048
AP2S1	0.0018874668578483	0	530
NACA2	0.0019811579762812	-1	6373
TTC7A	0.0020805736972392	0	10847
TOP1MT	0.0021866168961893	0	10571
ARHGEF17	0.0022002195797962	0	660
TMEM214	0.0022007642240375	0	10433
ANAPC10	0.0022584668879757	0	423
BBS4	0.0022586139724003	0	979
MSL1	0.0024262085699974	0	6192
RPAP3	0.002444504401422	0	8628
STOML1	0.0025316547077587	0	9878
HMGB2	0.0025860155069903	0	4432
IFIT1B	0.0025970805909166	0	4650
NACAD	0.0026330625023875	-1	6374
SENP1	0.0026751261989753	0	8963
VIPR2	0.0026819089768356	0	11201
GABBR1	0.0026886919511086	0	3781
NXF1	0.0028687486753676	0	6877
IRF9	0.0029054213134869	-1	4848
TAF8	0.0029448409326106	-1	10040
RCOR2	0.0029570906167878	0	8387
INTS5	0.0029746962176917	0	4805
RGPD2	0.0029966276822554	0	8453
DUSP7	0.0032045845820901	0	2895
PPP4C	0.0033208133677349	0	7818
TIMM17B	0.0034551128450056	0	10314
IRAK4	0.0035030802963203	1	4837
DYRK3	0.003530542988019	0	2915
WDR20	0.0036205754319242	0	11280
CAMKK2	0.0037816770049397	0	1363
USP12	0.0038176447321779	0	11101
DDX59	0.0038270718738624	0	2569
INTS9	0.0039922492377634	0	4807
GTF3C3	0.0040244127076601	0	4242
RGPD3	0.0042698177088199	0	8454
RUSC2	0.0042898728856455	0	8768
USP37	0.0043362454732284	-1	11123
BRPF3	0.0044078728559373	0	1121
TNPO2	0.0044513271486841	0	10549
CNTNAP5	0.0045907897209474	0	2089
DDX47	0.00472091808451	0	2559
DUSP2	0.0048734302765052	0	2887
YTHDC1	0.0049616252977962	0	11428
CAPG	0.0050218232811427	0	1377
INTS10	0.0050807309245918	0	4800
TAF3	0.0051724600796002	0	10031
TEAD2	0.0051783776822655	0	10182
DDX55	0.0052196362521354	0	2566
DUSP4	0.0052376573586912	0	2892
BTF3	0.0053181494474475	-1	1143
TTC33	0.005410209917355	0	10839
ELL2	0.0055555649135075	0	3073
CUL9	0.0055814613412214	0	2364
FKBPL	0.0056605875068598	0	3619
OSBPL6	0.0057054543400897	0	6970
UBE2R2	0.0057790353485682	0	10975
DDX43	0.0057846526416005	0	2557
CAT	0.0058388482122528	0	1425
E2F8	0.00587585906095	0	2928
DUSP6	0.0059287307447935	0	2894
TGFBR2	0.0059535021038899	1	10248
DUSP8	0.0060575734776895	0	2896
FAM90A1	0.0062412689663162	0	3416
DUSP5	0.0064167711981712	0	2893
TFDP3	0.0064362066811629	0	10229
ARF5	0.0065761641801763	0	614
TLR4	0.0066005190027139	1	10348
LSM5	0.0067197462646994	0	5580
IFIT5	0.0067204666105103	0	4652
RBM27	0.0068226320752561	0	8341
USP39	0.0068535286484917	0	11125
USO1	0.0069532625262821	0	11097
GPR156	0.0070788375664934	0	4112
DUSP16	0.0070870815844814	0	2884
CNKSR3	0.0071438460872025	0	2053
FKBP10	0.0072238253475057	0	3608
GCM1	0.0074925635180223	0	3868
TLR9	0.0076617039810923	1	10351
NFE2L2	0.007747793823547	1	6555
USP54	0.0077649301979177	0	11139
TRAF3	0.0078443868058658	1	10628
ADPRH	0.0080700390261256	0	238
RGPD4	0.0081090292993571	0	8455
SLC30A7	0.0081367326194589	0	9316
MOK	0.0081426860796953	-1	6049
EGR1	0.008251101676655	0	3003
ARID2	0.0084057479194423	1	675
ANXA3	0.0086518168706943	0	508
KIF26B	0.0086927880626694	0	5128
SLFN13	0.0087328450921625	0	9456
KIF19	0.0090133669801693	-1	5116
HERC1	0.0090202622049404	0	4355
UFL1	0.0090309373638027	0	11023
ARL16	0.009114963466547	0	692
PASK	0.0091668559281106	0	7107
SCG2	0.0091974443308093	0	8856
GABBR2	0.0092722675555888	0	3782
ARL5A	0.0092887505804537	0	697
SIRT5	0.009363246265213	0	9151
PIK3R3	0.0093944304742872	0	7458
UVRAG	0.0094546747906837	0	11156
CNTNAP1	0.0095040839060122	0	2087
UBR3	0.0095352079484673	0	10999
ARSB	0.0096424297016994	0	737
INTS3	0.0096558979780521	0	4803
CHN1	0.0096560683308128	0	1882
WDR45B	0.0097836236386706	0	11294
PPEF2	0.0098107304320179	0	7742
PTBP2	0.0098233421044574	0	8030
KIF27	0.0099706040221367	0	5129
CTSC	0.0099796989819472	0	2340
TRAF6	0.0100464149253369	1	10634
PDE8B	0.0102481813308137	0	7246
PIK3CA	0.0102636037011011	1	7451
KIF26A	0.0103001481109334	0	5127
EPHB3	0.0104986576663288	0	3165
BANF1	0.0105355252949411	0	961
MYD88	0.0105356668406309	1	6290
FAM171A1	0.0105688381792236	1	3366
TWIST1	0.0107279343797152	0	10911
SRSF4	0.0107526291733631	0	9771
PTAR1	0.0109800900147775	0	8028
BRCC3	0.0110893159628606	0	1100
LRRIQ4	0.0111243838618996	0	5560
PHACTR2	0.011226006337477	0	7365
USH1G	0.011261171881511	-1	11094
GOLGA5	0.0112843581285253	0	4049
PTEN	0.0113230401878114	1	8042
SSTR1	0.011359371508951	0	9793
TEX35	0.0113948727510996	-1	10215
KPNA1	0.0114369107721487	0	5229
MAST3	0.0114799853965049	0	5764
KPNA7	0.0115051477087908	0	5235
DNAJC11	0.0115356087986721	0	2744
ERBB2	0.0115863214081882	1	3188
RSL1D1	0.0121477898288129	0	8731
CDC16	0.0121650276019444	0	1655
TERF1	0.0122341022885637	0	10199
PPM1A	0.0122951475540717	0	7760
CWC22	0.0123320429691022	-1	2369
EIF4EBP2	0.0123702940843716	0	3046
KIF4B	0.0124543070265298	0	5136
ANGEL1	0.0124774912160931	0	429
SPAG9	0.0125183093357914	0	9647
SRPK3	0.0125348955868917	0	9758
CERKL	0.012547885559579	0	1813
EXO1	0.0126634122698186	0	3258
HMG20A	0.0126778506001326	0	4427
WEE2	0.0127491448083873	0	11322
TIMP3	0.0127743883985244	0	10324
KIF15	0.0129026183488595	0	5112
ARL11	0.0130738990917935	0	687
ABCE1	0.0131005747382835	0	41
MUTYH	0.0131025412108919	0	6265
PRPSAP1	0.0131150793022286	0	7934
GPM6B	0.0133449236860364	0	4097
INTS12	0.0134119265600521	0	4801
ANKRD28	0.0134271101616934	0	467
EIF3G	0.0135444902186113	0	3035
FHDC1	0.0137900860316709	0	3588
VIPAS39	0.013844547249486	0	11200
THRSP	0.0138639852713937	0	10288
DNAJC22	0.0139831370970068	0	2752
RS1	0.0140142547211841	0	8724
LUC7L	0.0140418449207093	0	5597
TYW3	0.014074525219965	0	10937
HUS1	0.0142119381015032	0	4609
HECW1	0.0143504365821341	1	4345
AP2B1	0.0143558720392107	0	528
EDIL3	0.0144369135959637	-1	2961
RGPD8	0.0145867902812421	0	8456
KIF6	0.0147183902660809	0	5140
ISYNA1	0.0148487288116436	0	4862
BLOC1S2	0.0149338786914749	0	1060
TFDP2	0.0149504990215067	0	10228
GOLIM4	0.015021839541715	0	4054
ANGEL2	0.0150768948010078	0	430
DUSP23	0.0152052724918165	-1	2889
PCDH9	0.0152122221319922	1	7146
GREM2	0.0152278672272471	0	4165
TSR2	0.0152693979700861	0	10810
PCBP1	0.0153518291436037	0	7130
FXR2	0.015427296042776	0	3752
CDC27	0.0154280479265308	0	1662
CHRDL1	0.0157016506435363	0	1891
TMEM79	0.0157340311925948	0	10472
PIGG	0.0157447533706766	0	7429
PGAM5	0.0158604708909256	0	7344
EIF3M	0.0158775176876717	0	3041
TP53	0.0159808112124486	1	10585
BRPF1	0.0160113473530119	0	1120
MFGE8	0.0160285814072053	0	5926
EIF4E3	0.016085085507414	0	3045
INTS4	0.016155914391012	0	4804
CYTH3	0.0161656284208346	0	2455
RGS4	0.0161873304111363	0	8467
CREB3L1	0.0162932649728331	0	2242
GRPEL2	0.0164027754491419	-1	4202
MAGEA10	0.0165106788086895	0	5652
CRYM	0.0167201130947394	0	2278
NID2	0.0168560054149386	0	6590
MORF4L1	0.0170472425958191	0	6056
SH3PXD2A	0.0171876090480125	-1	9092
SNUPN	0.0172176532797253	-1	9569
EIF4G3	0.0172626482645182	0	3050
PARN	0.017338626045925	0	7091
VWCE	0.0174324673343353	-1	11254
C1orf54	0.0175226455381094	0	1230
CYTH1	0.0176824306017908	0	2453
ADAM22	0.0178312918345572	1	174
BRD9	0.0178456922361351	0	1106
IQCE	0.0179054845474894	0	4824
PATZ1	0.0179096913711203	0	7110
RAD9A	0.0180373510749874	0	8235
ARID1A	0.0180477453197539	1	673
TEAD3	0.0180492190243399	0	10183
NADK	0.0182304366733628	0	6376
ARL13A	0.0185648372324267	0	688
BCL7B	0.0187211239071004	0	1008
VPS16	0.0191049519118797	0	11213
CHN2	0.0192393857535702	0	1883
KIF3B	0.0192768304424907	0	5133
CUL3	0.0192945275632305	1	2359
DNAJC28	0.0192982825745114	0	2755
DDX10	0.0193617784991779	0	2540
EIF3I	0.0194284921526093	0	3037
ARL15	0.019833841170258	0	691
IK	0.0199616806749495	0	4695
SLC25A21	0.0200271221300664	0	9256
VPS33B	0.0200984346192966	0	11220
FAN1	0.0202389968412433	0	3422
CTCF	0.0203243025939479	0	2316
ERN2	0.0203393349179504	0	3213
DNAJB2	0.0204242612112549	0	2736
LGI3	0.0204604133917462	0	5401
SNX19	0.0206314807309478	0	9581
NUP188	0.0206838282335017	0	6855
ZNF423	0.0206974691143395	0	11725
KIF5A	0.0207121465141588	0	5137
INTS7	0.0207906468365983	0	4806
RPGR	0.020856292405139	0	8632
E2F7	0.0209045333662934	0	2927
TLE4	0.0209601362018405	0	10340
TFAP4	0.0210069728843922	0	10222
IL24	0.0210139069953677	0	4734
MYLK4	0.0210213874988565	0	6318
SLC1A7	0.0210246183768919	0	9221
SF3B5	0.021058567920306	0	9036
PTTG1	0.021298915454906	0	8102
GPAA1	0.0213596832190614	0	4068
GRID2	0.0214089718866665	0	4173
NMRK1	0.0215797444977769	0	6651
SRSF3	0.0216355613850085	0	9770
ORC1	0.0216453510797337	0	6954
CPNE7	0.0216944228337866	0	2212
EIF2AK3	0.0217249273401764	0	3022
MSANTD3	0.0217468135496199	0	6183
SLFN12	0.0217756452592672	0	9455
KIF3C	0.0218981324962641	0	5134
RTCA	0.021914999673139	-1	8745
MTCH1	0.0219522364457498	0	6210
SON	0.0220073688808644	0	9606
PIGY	0.0221072448288758	0	7443
B3GALT4	0.0221386893263535	0	922
DBF4	0.0223789211228267	-1	2476
ARID3C	0.0225624748413964	-1	678
ORC5	0.0227125727724795	0	6958
ING1	0.0227571217383298	0	4770
NADK2	0.0229254015760041	0	6377
NXPE4	0.0231188422926291	0	6885
TREX1	0.023170264098153	0	10664
EIF2B4	0.0234647347121613	0	3027
DYRK1B	0.0236825394994579	0	2913
RORC	0.0237603567704842	0	8619
KIFC3	0.0237618696190734	0	5143
PIGZ	0.0238191691456807	0	7444
CDC14B	0.0238409548273604	0	1654
HMGA1	0.0238460911972917	0	4429
BECN1	0.0240123554222522	0	1023
PDZD2	0.0241146596426086	0	7284
TEAD1	0.0241393647687416	0	10181
AKAP6	0.0244535982059441	1	328
PIGM	0.0245776411691844	0	7433
ARL3	0.0247291608133204	0	695
NNMT	0.0247822421514209	0	6657
SMPD2	0.0248317617092553	0	9515
PARP6	0.0249239900571076	0	7100
LYG2	0.0249602070546054	0	5613
ARL10	0.0249867300066171	0	686
AJUBA	0.0250303163637395	1	312
HSPG2	0.0252598587488182	1	4589
ANXA13	0.0252908409786214	-1	507
CREBBP	0.0253092643796489	1	2247
RBMX	0.0254236952135098	0	8362
PIGV	0.0256055408220361	0	7441
SYT6	0.02580100223659	0	10001
UACA	0.0258067102488563	0	10941
FLT4	0.0258078141585381	0	3635
FBP1	0.0258591469361383	0	3464
FANCE	0.0258814966721379	0	3426
EIF4A2	0.0258870935165924	0	3043
HMMR	0.0262415516760885	0	4442
UBA3	0.0263583111575791	-1	10946
DUSP10	0.0264475483282085	0	2880
POLE2	0.0265079617829815	0	7666
PCBP3	0.0265554952521413	0	7132
PXK	0.0265832078198422	0	8121
PLEKHA7	0.0266039247111773	0	7560
HSPA13	0.0266280443961506	-1	4570
B4GALNT3	0.0267468265848539	0	936
ENTPD5	0.0267681668601417	0	3137
HSPA14	0.0268279840840044	0	4571
PIM2	0.0269585513614162	0	7465
BAIAP2L1	0.0270288521617242	0	956
NFIA	0.0271121947146838	0	6557
SYNE1	0.0271184286802566	1	9976
STAG2	0.0271443400160781	0	9823
STYXL1	0.0272331371299693	0	9912
BTN1A1	0.0272782790753883	0	1149
CELF1	0.0273529505548838	0	1757
DDX18	0.0274657687421378	0	2543
CYTH4	0.027528619164956	0	2456
SPG21	0.0275455103132063	-1	9678
LRP8	0.0278082009261083	0	5519
PRPS2	0.0278401174588537	0	7933
ORC2	0.0279871653298897	0	6955
HABP4	0.0282208677448276	0	4274
NOTCH3	0.0285817922014179	1	6690
NPTX2	0.0286212922940867	0	6723
PIGL	0.0287668365002806	0	7432
AICDA	0.0288486022386512	0	301
VGLL1	0.0288586469055487	0	11194
DDX27	0.0288684128811003	0	2550
RIMS1	0.0289617488872006	1	8506
LLPH	0.0290091183297152	0	5447
LRP10	0.0290881998162765	0	5510
CORIN	0.0291068354152352	0	2177
KMT2D	0.0293220653571304	1	5224
SLFN5	0.0296760662626022	0	9458
RRAGC	0.0297150933232311	0	8706
CNOT8	0.0298170246039288	0	2070
DTX4	0.0298455898569182	0	2871
PDCL3	0.0299723304555082	0	7226
CYTH2	0.0300751241185718	0	2454
FBP2	0.0301243682528667	0	3465
TPR	0.0301744517308661	0	10610
ICOS	0.0301860215666472	0	4629
GOLGB1	0.030262596902758	0	4053
NMNAT2	0.0305670800685558	0	6649
CBLL1	0.0306617901846522	0	1438
HCCS	0.0307557112635511	0	4311
KRAS	0.0308251218773593	0	5238
ASXL1	0.0308779453448332	0	792
HMCES	0.0309258098395417	0	4425
PIGS	0.0309707330852029	0	7439
TAGLN2	0.0309719400396228	0	10045
CDC7	0.0310249844188226	-1	1676
HR	0.0310309485893101	0	4526
PTPRS	0.031049556505154	0	8096
IKZF2	0.03106686515452	0	4699
FAM98B	0.0310708374602803	0	3419
RANBP17	0.0310804060656321	0	8259
ITPA	0.0310906604492973	0	4904
DPF3	0.0311107713988417	0	2806
FEM1A	0.031189496490414	0	3543
PTCRA	0.0315315454255875	0	8039
ESRP1	0.0316389014651807	0	3225
CLSPN	0.031745897080325	-1	2018
TSSK4	0.0318733986749502	0	10815
CLK4	0.0318997497182632	0	2007
GINS1	0.0319524106226209	0	3931
GLP1R	0.032316202555801	0	3980
DDX1	0.0324701074398792	0	2539
HSPA6	0.0325389047588737	0	4577
DDX39A	0.0325860993888225	-1	2552
NIT1	0.032617356934591	0	6606
NUP214	0.0326553287356919	0	6859
SLC25A51	0.0328540990413814	-1	9279
DNAJC27	0.0328990293562658	0	2754
TLR7	0.0329299294352121	1	10349
DNAJC6	0.0331003138452684	0	2759
L3HYPDH	0.0331378932513187	0	5302
IFIT1	0.0332057725646706	0	4649
OXSM	0.0332715853880908	0	7001
NOSIP	0.0333429358924062	0	6689
NPAS2	0.0333788326182133	0	6700
PIK3R4	0.0335093206339466	0	7459
RAD1	0.0336815369179294	0	8219
ARPC4	0.03368944514596	0	724
C16orf70	0.0336956779602078	-1	1192
PARP8	0.033772111368125	0	7101
ELL3	0.0338389661142543	0	3074
RASD2	0.033949257246309	0	8292
WT1	0.0339610647520211	0	11362
TBC1D23	0.0340130349389338	0	10096
CLK2	0.0341070826856331	0	2005
DDX41	0.0341422434522613	0	2555
UBA5	0.0343880276826587	0	10947
FBXW7	0.034446722285707	1	3516
POMGNT2	0.0347255251483879	0	7705
KMT2C	0.0347396887581978	1	5223
TMEM108	0.0347819994443748	0	10393
FRMD5	0.0348460666541479	0	3708
YY1	0.0349216287754695	0	11439
ITCH	0.0349865497105728	0	4863
PGR	0.0351377946706999	0	7361
SLC25A3	0.0351650874400476	0	9263
GDI1	0.0353245224566756	0	3881
KIF2C	0.0355175029483971	0	5131
VSIG8	0.0355307127770231	-1	11241
STAG1	0.0358824842953301	0	9822
NKTR	0.0360063196349383	0	6616
INF2	0.0360479716955771	0	4769
PABPC5	0.0360702841913607	0	7026
SMARCA4	0.0361510285575666	1	9482
DGCR8	0.0361627416874336	0	2611
FANCF	0.0361693028118084	0	3427
EP300	0.0363520971304802	1	3143
LGR4	0.0363879428199702	0	5404
ATAD3C	0.0364108960554723	0	797
NUP210	0.0365037958592812	0	6857
DDX49	0.0365748701269452	0	2560
USF2	0.0366368086596181	0	11092
NABP2	0.0366492769569162	-1	6372
OTUD3	0.0366666388673772	0	6986
KNDC1	0.0366755222777781	0	5226
PIGQ	0.0367127818787429	0	7437
AP2A1	0.0369075020763614	0	526
SUMO1	0.0369745376680133	0	9931
DDX54	0.0369825697234942	0	2565
MYBBP1A	0.0370270672815713	0	6279
INTS2	0.0370283096775917	0	4802
RNF39	0.0371260149846559	0	8591
RIN3	0.0371393458379448	0	8511
FGFBP2	0.0373078465721439	0	3577
EIF2B1	0.0376264798304946	0	3024
ACTBL2	0.0377071978331765	0	141
AMOTL2	0.0378112681679518	0	414
RHEB	0.0378430687752798	0	8479
PIGA	0.0379079608975087	0	7427
POLE4	0.0379737400869887	0	7667
CWH43	0.0379971417671353	0	2374
TIRAP	0.0380543353988254	0	10328
PAGR1	0.038055051878722	0	7047
ORC4	0.0380885394120193	0	6957
SRSF6	0.0382927009157933	0	9773
RB1	0.0383179391928343	1	8315
MAP4	0.0383578809658253	0	5723
CDC25C	0.0386007239303352	0	1661
USP46	0.0386090615811473	0	11131
SLC25A27	0.0386140278229668	0	9261
RBPJ	0.0387084917305603	1	8370
