gene	p-value	label	index
RPS2	8.151813420712815e-11	0	8680
B2M	1.1828916697320694e-08	0	917
TBK1	1.3702188905211362e-08	0	10111
AP3S1	3.895366742047685e-08	0	535
SNRPD2	6.442879460938203e-08	0	9561
AP3B1	1.0196904429304809e-07	0	531
SLC7A8	1.3588487627145394e-07	0	9434
VCP	1.739909952679714e-07	0	11182
POLA2	1.957958597902147e-07	-1	7657
SNAPIN	1.9838335500878482e-07	0	9540
HSD17B4	2.461169255503369e-07	0	4553
USP7	2.753074044521525e-07	0	11142
EIF4A2	4.2680188416502694e-07	0	3043
KRT8	5.000595187442456e-07	0	5285
CCT7	5.165414405757341e-07	0	1585
TTBK2	5.640843547297904e-07	0	10819
PABPC1	5.68489239169341e-07	0	7022
CCT4	5.994189528638972e-07	0	1581
FTL	6.249193658858925e-07	0	3732
EIF4A1	6.44801049273303e-07	0	3042
DMPK	7.565586307057256e-07	0	2707
CD40	7.689015837864792e-07	0	1626
APC	8.337591113484359e-07	0	550
AXIN1	9.14050688233348e-07	0	911
RPS3	9.36957229986474e-07	0	8685
INPPL1	1.222896957062509e-06	0	4790
PDPK1	1.6556408189565212e-06	0	7273
PI4KA	1.7492230833937044e-06	0	7414
NOS2	1.8247055339132791e-06	0	6687
DTNBP1	1.8446847747825849e-06	0	2865
MED1	1.893763494611882e-06	0	5848
COPB2	1.900189198325004e-06	0	2156
EIF4G2	1.927513726461841e-06	0	3049
KIT	2.259406239706456e-06	0	5152
ACBD3	2.3111881540193344e-06	0	92
ILK	2.7742387013834537e-06	0	4754
WASF1	2.9630590789610034e-06	0	11260
ITK	3.2235574743556683e-06	0	4899
CBR1	3.244789098191561e-06	0	1442
AP4B1	3.4916905627758646e-06	0	536
FGFR4	3.659744400901072e-06	0	3582
DVL1	3.728273087407012e-06	0	2899
APOA1	3.951279722560719e-06	0	564
ERBB2	4.022190387897999e-06	1	3188
AP4E1	4.384542295279718e-06	0	537
SMG7	4.415098335494928e-06	0	9506
EIF3A	4.481599830936782e-06	0	3032
PTGS2	4.5032853773746346e-06	0	8057
SLC9A3R1	4.593366765970847e-06	0	9441
PCBP1	4.78597194259129e-06	0	7130
ACOX1	5.0577704989042615e-06	0	115
CSNK1A1	5.173839049867626e-06	0	2294
PTGES3	5.550570154344654e-06	0	8051
PTGIS	5.677317014375674e-06	0	8054
FGFR2	5.933669305606502e-06	0	3580
TTBK1	5.960251125014102e-06	-1	10818
WNT1	6.166431155545613e-06	0	11341
LYN	7.394839174118929e-06	0	5615
PKMYT1	7.445564032891369e-06	0	7503
FGFR1	7.816699639805467e-06	0	3578
GGT1	7.932639582265978e-06	0	3913
E2F6	8.183428642430726e-06	-1	2926
ELK1	8.272213359094867e-06	0	3069
RPS20	8.313128389597415e-06	0	8681
HSP90AA1	8.326251878080086e-06	0	4565
PDGFRB	8.353084867641619e-06	0	7252
RHOA	8.789208503951999e-06	1	8482
SMPD2	9.430023296466384e-06	0	9515
CALR	9.785046964239564e-06	0	1353
EIF4G3	9.94429519745144e-06	0	3050
ACTA1	1.0514801255904256e-05	0	139
MYD88	1.0518959081801138e-05	0	6290
MRPL11	1.0543053779212334e-05	0	6111
TP53	1.1588225606214e-05	1	10585
ABL1	1.1679907792365472e-05	0	66
EGFR	1.2634082428716e-05	1	3001
CITED2	1.2756894321188256e-05	0	1936
PPP3CB	1.3341217468374876e-05	0	7816
FZD1	1.3534922826252698e-05	0	3758
GRIN2B	1.3748759992370065e-05	0	4182
UXT	1.393150539546676e-05	0	11159
CALM2	1.3977741324087886e-05	0	1348
HPGDS	1.430619120829172e-05	0	4515
CALM1	1.491960586283821e-05	0	1347
SMPD1	1.510550435676239e-05	0	9514
