gene	p-value	label	index
PIK3R1	2.900569123609504e-32	0	7456
GRB2	2.867250410318784e-31	0	4161
ACTA1	1.3190490633183395e-25	0	139
MAP2K1	1.4800291211549665e-22	0	5702
MAP3K7	4.874147902496881e-20	0	5720
HRAS	2.2341131292465375e-19	0	4527
RAF1	1.3112476513781893e-18	0	8240
PIK3CG	3.478244871629768e-18	0	7454
MAPK3	1.0148219287341133e-17	0	5737
PIK3CA	1.6163235141241358e-17	1	7451
PRKCA	2.7080831685576706e-17	0	7883
MDM2	4.935676980847445e-17	0	5838
ABL1	1.3547238476140687e-16	0	66
RPS6KB1	1.889791107820496e-16	0	8694
APC	2.1041343931637807e-16	0	550
LCK	1.0140803509454628e-15	0	5355
FYN	1.1406265323833705e-15	0	3756
ELK1	1.1931184509182742e-15	0	3069
GSK3B	1.3066442441748898e-15	0	4212
TGFBR1	3.898719073374395e-15	0	10247
PLCG1	1.4069329783708321e-14	0	7540
CASP3	2.8182801615951162e-14	0	1414
MYC	6.5542813205666e-14	0	6286
CDK1	9.257978031291133e-14	0	1705
AKT1	1.270850524354566e-13	0	343
SP1	3.762429595878986e-13	0	9631
ITGB1	7.534495165581137e-13	0	4883
B2M	1.7534369964762608e-12	0	917
MAPK1	2.769983472415129e-12	1	5733
PAK2	4.751705179358898e-12	0	7053
SMAD1	4.915842749451884e-12	0	9473
NR3C1	5.1423857964542906e-12	0	6745
EGFR	5.596962761515153e-12	0	3001
IKBKB	6.0629026926882055e-12	0	4697
VARS2	7.2453015506676595e-12	0	11170
CD3E	8.315201479110842e-12	0	1624
HSP90AA1	1.109595132090657e-11	0	4565
DAXX	1.3796042139441498e-11	0	2474
LYN	1.8734117110241848e-11	0	5615
ATF2	2.7566556808069368e-11	0	803
STAT1	3.423149747973168e-11	0	9841
XIAP	3.5172751834907247e-11	0	11376
TP53	3.6878656410854296e-11	0	10585
RIPK1	3.7297975796979696e-11	0	8516
MAP2K4	5.085113488808068e-11	0	5705
PPP2CA	7.020092950583723e-11	0	7804
TNFRSF1A	7.857581294600441e-11	0	10521
PPP3CB	1.4066375638818946e-10	0	7816
SOS1	1.4948944859328424e-10	0	9615
CDKN1A	1.708001558709532e-10	0	1732
CALM2	1.7843651941852715e-10	0	1348
RHOA	2.2683584330739407e-10	0	8482
CD247	2.3257904041311848e-10	0	1606
BTRC	2.72207914517669e-10	0	1158
ZAP70	2.8096979008984056e-10	0	11444
CSNK1E	2.902532982004635e-10	0	2295
TRADD	3.11978698840661e-10	0	10625
FASLG	3.4240333567436907e-10	0	3442
CRK	3.95609350942055e-10	0	2259
CREB1	4.201230370547271e-10	0	2240
CALM1	5.353798128707331e-10	0	1347
MAP2K6	5.807808490274706e-10	0	5707
RPS6KA1	6.508104244245334e-10	0	8690
RB1	7.225332452691425e-10	0	8315
HSD17B4	7.29603835419261e-10	0	4553
CASP8	7.371657493562484e-10	1	1419
CSNK1A1	8.29158361937744e-10	0	2294
MAP3K5	8.34907755390691e-10	0	5718
RASA1	1.0339585892724503e-09	0	8285
CSNK1G2	1.0703261650095274e-09	0	2297
TGFBR2	1.2805017643516655e-09	1	10248
CASP7	2.200966697282309e-09	0	1418
