gene	p-value	label	index
ARAF	3.761717150257434e-17	0	604
DIRAS3	4.8227460519342816e-17	0	2666
DNAJC27	1.3663424149654893e-15	0	2754
CCT7	2.286401190222611e-15	0	1585
BTRC	4.634574432285144e-15	0	1158
SERPINB5	5.045793039530978e-15	-1	8991
RASSF2	6.4413756081958575e-15	0	8309
PHB	2.0064938694330402e-14	0	7368
EPB42	7.167101174271683e-14	0	3151
RASSF5	7.364797721348705e-14	0	8311
COL8A1	1.1629868965583694e-13	0	2135
TERF1	1.423319537688689e-13	0	10199
FNTB	2.57741866992076e-13	0	3664
QDPR	4.934985083188185e-13	0	8135
STX17	5.268100263754957e-13	0	9896
RIN1	1.080108734849902e-12	-1	8509
RAP1GDS1	1.629784631939259e-12	0	8270
RASGRP2	2.866335822205449e-12	0	8300
XRCC6	3.583235077945389e-12	0	11398
DEAF1	4.734811145548305e-12	0	2572
PDE6D	7.098645305475796e-12	0	7242
HNRNPC	1.0037583303881748e-11	0	4456
DNAJA3	1.0578126862102216e-11	0	2730
CDK8	1.1097021968197027e-11	0	1726
RANBP10	1.2664552347407859e-11	0	8258
XRCC5	1.4378891593488137e-11	0	11397
TNKS	1.3968034279581812e-10	0	10537
IGSF21	3.2983256299403277e-10	-1	4689
GRB14	5.118535355761816e-10	0	4160
AKT1	6.83289906226087e-10	1	343
RAF1	8.316150071190929e-10	0	8240
HSP90AA1	1.5222518227021803e-09	0	4565
ANGPT2	1.947863535626221e-09	0	432
TNFSF13	2.029830464533969e-09	0	10527
RGL2	2.3529964816378983e-09	0	8447
EGFR	2.524095635209797e-09	0	3001
NUP133	3.651542740242689e-09	0	6851
PRKCA	4.745697157658288e-09	0	7883
PIK3CG	4.9735123361353475e-09	0	7454
KRAS	6.127901750878196e-09	1	5238
IGFBP3	1.0485711424701948e-08	0	4683
RB1	1.073595927827126e-08	0	8315
TP53	1.1072627031403804e-08	1	10585
MYC	1.2526892686392638e-08	0	6286
ANGPT4	1.7620648440976602e-08	0	433
PIK3CA	2.446769467134565e-08	1	7451
BCL2	2.7631382220270614e-08	0	999
ZNF189	4.9404940817248224e-08	0	11621
PPP2CA	5.3009537145094326e-08	0	7804
HRAS	6.169759758718429e-08	0	4527
SPATA20	6.194923046352992e-08	0	9654
PGGT1B	6.275675005183989e-08	0	7352
THRSP	7.11975217951074e-08	0	10288
SGK1	1.289629024873101e-07	1	9057
ADAP1	2.0144176533430202e-07	-1	203
RALGDS	2.2126484838719535e-07	0	8251
MST1R	3.785557191697855e-07	0	6199
NRAS	4.178050437886774e-07	1	6754
TERT	5.205164670577162e-07	0	10201
APLP2	5.533361276776585e-07	0	562
ASAP2	1.1579947072518103e-06	-1	753
MAL	1.1979773526127646e-06	0	5673
DGKZ	1.3821530762490655e-06	0	2619
ADAMTS2	1.4029726977689114e-06	0	192
CABIN1	1.417072109696115e-06	0	1305
TYRO3	1.5119429191475936e-06	0	10934
TPSAB1	1.538665761463889e-06	0	10614
SLC23A1	1.6439620124865509e-06	0	9237
TICAM1	1.7459113209026318e-06	0	10299
ITGB3	1.8064302672617188e-06	0	4887
F2R	1.865673102845496e-06	0	3294
