gene	p-value	label	index
MRPL3	0.0001238436682589	0	6125
NDUFB6	0.0001627966987331	0	6485
MRPS16	0.0001843307535969	0	6150
MRPL49	0.0001900652526582	0	6137
MAP3K11	0.0002024768398111	0	5711
MRPL20	0.0002382371114104	0	6120
NDUFB4	0.0002570294916721	0	6483
CBX5	0.0003275896561285	0	1448
NSUN4	0.0003827642802567	0	6787
RBBP7	0.0004065865684562	0	8319
MRPS7	0.0004288251225499	0	6169
LRPPRC	0.0005500281371885	0	5520
MAP3K8	0.000562490817353	0	5721
CCNA2	0.0005790080399937	-1	1547
EIF4G2	0.0005995488763134	0	3049
SPAG5	0.000649950956077	0	9643
TADA2A	0.0008132034952119	-1	10020
HARS2	0.0008151108040695	0	4290
MRPL48	0.0008213836641522	0	6136
QRSL1	0.0008500844703387	0	8141
XRN1	0.0010332696342246	1	11399
MTA2	0.0011175253228951	0	6207
MRPL2	0.0011699782627706	0	6119
MAX	0.0012347522153618	0	5778
ZMYM2	0.0015207602897751	1	11583
FOXRED1	0.0015362983617765	0	3694
GTF2H1	0.0015519693330512	0	4235
RTN4IP1	0.0016843177442178	0	8754
PTEN	0.0017173786744577	1	8042
MRPL9	0.0018094639813449	0	6144
CARM1	0.0018563840567081	0	1404
SARS2	0.0018607323073638	0	8819
RUVBL1	0.0018917305313035	0	8769
CHEK1	0.0019349954259222	0	1857
GTF2F1	0.0020110643513334	0	4233
PPP2R1A	0.0020907560885495	1	7805
DAXX	0.00214144379238	0	2474
SUPT6H	0.0021924212196263	0	9940
CCT5	0.0022137849109762	0	1582
DDB2	0.0022221009933758	0	2531
FANCM	0.0023039199814325	1	3431
BNIP1	0.0023259607197588	0	1082
RPRD2	0.0023415135262349	0	8671
COQ7	0.0024496135597191	0	2175
CUL3	0.0025689120737697	1	2359
PSMA4	0.002662537060161	0	7985
RBFOX2	0.0026627760658467	0	8323
ATM	0.0027386639711524	1	830
INTS5	0.0027590511123359	0	4805
INTS10	0.002778082125204	0	4800
MAP4K4	0.0028426573563445	0	5727
PRMT5	0.0029052300830881	0	7901
PAXIP1	0.0029117462330652	0	7119
ELL2	0.0029715336617786	0	3073
PARS2	0.0030389414985714	0	7103
