gene	p-value	label	index
RAF1	5.212475558315902e-26	0	8240
RAC1	2.2748796495384814e-22	0	8216
SUMO1	5.81986287723612e-20	0	9931
TGFBR1	1.9869386659135768e-19	0	10247
PPP2CA	3.3978519486640583e-19	0	7804
EGFR	5.87450554850169e-19	0	3001
TRAF2	4.591680380111532e-18	0	10627
CDK1	5.535172674921004e-18	0	1705
RIPK1	1.0769907911977685e-17	0	8516
HRAS	1.413131818718326e-17	1	4527
GSK3B	7.628772450874575e-17	0	4212
TP53	1.3764178409548866e-16	1	10585
ATF2	2.5865380659130967e-16	0	803
PAK2	3.342529081938377e-16	0	7053
PIK3CA	4.924853819127396e-16	1	7451
TRADD	5.069166609849747e-16	0	10625
DAXX	5.336685375380788e-16	1	2474
FYN	1.6470998529420693e-15	0	3756
CREB1	1.7175715079314288e-15	0	2240
TNFRSF1A	1.994962845153484e-15	0	10521
IKBKB	2.043744230279082e-15	0	4697
PLCG1	2.5112837872675445e-15	0	7540
SP1	2.7429230623480838e-15	0	9631
PIK3CG	2.952934144059988e-15	0	7454
STAT1	4.1618697015155185e-15	0	9841
MAP3K5	6.1346655407628095e-15	0	5718
CCNB1	9.810906134829792e-15	0	1548
CSNK1A1	1.8400747606417185e-14	0	2294
SMAD1	5.462527708048566e-14	0	9473
MAP2K4	9.458529804107905e-14	0	5705
PPP3CB	1.3829955333063213e-13	0	7816
CDKN1A	1.4152611607506406e-13	0	1732
HSPB1	1.8837423223018681e-13	0	4580
TNFRSF1B	1.9264965934347181e-13	0	10522
SOS1	1.9408881810843249e-13	0	9615
RPS6KA1	2.0177904841646097e-13	0	8690
RHOA	2.0203104453007445e-13	0	8482
CDK2	2.1239900931201562e-13	0	1714
CALM2	2.2738965322482294e-13	0	1348
MAP2K7	2.3439810028591137e-13	0	5708
ITGB1	3.201547511170529e-13	0	4883
MAX	3.9030349187203723e-13	0	5778
E2F1	4.57065109811917e-13	0	2921
FASLG	4.894763652296704e-13	0	3442
LYN	6.398682099330556e-13	0	5615
MAP2K6	8.205562969192433e-13	0	5707
CCND1	1.3593849925696002e-12	1	1551
CALM1	1.3933944373055309e-12	0	1347
RARA	1.4085847017853972e-12	0	8280
CDK5	1.5053411651986194e-12	0	1720
CRK	1.5738816234388437e-12	0	2259
PPP3CA	2.127584718699352e-12	0	7815
NCOR2	2.328147263151362e-12	0	6449
YWHAH	3.8150261290101255e-12	0	11436
MET	5.282697920537257e-12	0	5894
MAP2K2	5.6262462551589426e-12	0	5703
LCK	6.481824429668749e-12	0	5355
CDK4	8.223829196826383e-12	0	1719
HNF1A	1.0130060565007e-11	0	4446
MKNK1	1.033896438564703e-11	0	5984
MAP3K3	1.1933672826935424e-11	0	5716
FAS	1.1992098321615396e-11	0	3441
