gene	p-value	label	index
RAC1	9.056909718846964e-31	0	8216
SUMO1	6.789095413510461e-28	0	9931
PIK3CG	1.5983725766884964e-25	1	7454
HRAS	1.563342824917815e-21	1	4527
PIK3CA	3.929154088551929e-21	1	7451
HSPB1	7.85989748111189e-17	0	4580
SIN3A	1.1530610070335076e-15	0	9138
TP53	6.045179633604093e-15	1	10585
CDK1	1.1496633271123084e-14	0	1705
IRAK2	4.402172825921255e-14	0	4835
TRAF2	6.166541785490632e-14	0	10627
RARA	1.029051819051894e-13	0	8280
PPP2CA	3.246467535993322e-13	0	7804
TNFRSF1A	4.4214196175922573e-13	0	10521
RIPK1	5.496859031500858e-13	0	8516
EGFR	6.639108701629799e-13	0	3001
ATF2	2.802511899385172e-12	0	803
PLCG1	8.633317527740821e-12	1	7540
TRADD	9.313855369558326e-12	0	10625
MAP3K5	9.991129083827247e-12	0	5718
MAPK3	1.2143419348124855e-11	0	5737
GSK3B	1.5127730124945498e-11	0	4212
PML	2.143363336725744e-11	0	7613
PIK3R1	2.3293140861326697e-11	1	7456
CCNB1	4.118103297124252e-11	0	1548
MAPK1	5.1785691743353596e-11	0	5733
DAXX	5.270153975556298e-11	0	2474
FYN	7.750181576707123e-11	0	3756
CAV1	1.2695819952904814e-10	0	1431
LCK	1.4943630880696446e-10	0	5355
SIRT1	1.6945610727130284e-10	0	9147
CSNK1A1	3.0640545886792715e-10	0	2294
TNFRSF1B	3.5205431843947166e-10	0	10522
SP1	4.0306620802438535e-10	0	9631
TGFBR1	4.132327497612328e-10	0	10247
ITGB1	5.4672605500044e-10	0	4883
ACTA1	8.860292045458337e-10	0	139
VARS2	9.10968068159073e-10	0	11170
EZR	1.0232942140219335e-09	0	3287
CSNK1E	1.642641197562697e-09	0	2295
PAK2	1.8035190569005635e-09	0	7053
DIRAS2	1.999130716137113e-09	0	2665
XIAP	2.5835808245299593e-09	0	11376
CREB1	2.672961206079286e-09	0	2240
LYN	2.8893865760569662e-09	0	5615
KRT18	3.1614305655004673e-09	0	5253
RHOA	3.803746942083878e-09	0	8482
IKBKB	4.058036897923245e-09	0	4697
GRB2	4.095543993749361e-09	0	4161
CALM2	4.302576929905989e-09	0	1348
SOS1	5.938839129959201e-09	0	9615
MAP2K4	6.379494368806486e-09	0	5705
PRKCE	6.506413496604173e-09	0	7885
CASP8	6.6825842828236815e-09	1	1419
CSNK1G2	7.285445339963878e-09	0	2297
GRIN1	7.475657602887421e-09	0	4180
BCL2	8.880465418834792e-09	0	999
RBL1	9.172724953430993e-09	0	8325
PRKCD	9.221048129896264e-09	0	7884
PPP3CB	9.767277782666874e-09	0	7816
STAT1	1.0276329115888711e-08	0	9841
RASA1	1.0914141072746402e-08	1	8285
ARRB1	1.101797341022052e-08	0	729
MAX	1.2137806574409324e-08	0	5778
MAP2K6	1.3643323546597306e-08	0	5707
APC	1.4161317544183112e-08	0	550
PTPRJ	1.4486418958857917e-08	0	8089
ARAF	1.4887531491774318e-08	0	604
MAP3K3	1.4897973566234845e-08	0	5716
RHOQ	1.5057726775047052e-08	0	8491
SIN3B	1.7287787467025705e-08	0	9139
CALM1	1.7747983813806233e-08	0	1347
MAP2K1	2.06163675550712e-08	0	5702
USP7	2.09519271778788e-08	0	11142
HDAC5	2.2077808739588263e-08	0	4326
INPPL1	2.3077412132283287e-08	0	4790
MAPKAPK2	2.5671430593208563e-08	0	5746
SOD1	2.6108681563484562e-08	0	9603
SP100	3.1878815659728665e-08	0	9632
CD3E	4.124553121959389e-08	0	1624
FASLG	5.035008255602341e-08	0	3442
NR3C1	5.981961665136828e-08	0	6745
CTNNA1	6.044142169126177e-08	0	2325
CASP3	6.066751906187778e-08	0	1414
MAP2K2	6.106759500810522e-08	0	5703
FTL	6.145564253518922e-08	0	3732
MKNK2	6.239934490881335e-08	0	5985
MLH3	6.623330595233276e-08	0	5997
MET	6.755656254095363e-08	0	5894
ETS1	7.48712573726979e-08	0	3238
CRK	8.112901362011711e-08	0	2259
CSNK1G3	8.221777968009553e-08	0	2298
B2M	8.3772934515829e-08	0	917
RPS6KA1	9.205115860646269e-08	0	8690
NOS3	1.0008136163571664e-07	0	6688
HSP90AA1	1.0378971322030625e-07	0	4565
PPP3CA	1.0836961819944182e-07	0	7815
MAPKAPK3	1.1598273223334125e-07	-1	5747
YWHAH	1.1727933449210409e-07	0	11436
MAP4K4	1.187645200731908e-07	0	5727
CAPN1	1.2462468839630657e-07	0	1378
E2F4	1.3070432541570118e-07	0	2924
FNTB	1.3673430357263564e-07	0	3664
WNK1	1.3769256413558768e-07	0	11337
PRKCI	1.470173686526447e-07	0	7887
FAS	1.8182082141413641e-07	0	3441
CD40	2.058618280485437e-07	0	1626
MAP2K7	2.1930407944830977e-07	0	5708
ITK	2.1941565294871085e-07	0	4899
RAB20	2.202788365868091e-07	0	8163
MAPKAPK5	2.202927019371766e-07	0	5748
RHOB	2.3388074011742493e-07	0	8483
