gene	p-value	label	index
VAV3	3.4776741254032104e-20	0	11178
SH2B3	1.1999791519054389e-18	0	9072
SH3BP2	1.755476326161053e-17	0	9081
SPSB3	2.925220876506177e-17	0	9722
PHLDA1	5.677183319330019e-17	0	7394
RRAS	1.8059400915502247e-16	0	8708
PDE6D	2.7137612973653593e-16	0	7242
SHC3	1.984849600469557e-15	0	9103
GAB2	3.5278749928433815e-15	0	3777
PTPRO	5.405571378761862e-15	0	8094
DBR1	6.211688610984833e-15	0	2481
HPN	1.3642264661404961e-14	0	4516
DAPK3	2.142169998584592e-14	0	2471
MUC20	3.5809409951167856e-14	0	6256
ARMC8	3.9926041588809774e-14	0	710
CAMK2D	4.1888559850246816e-14	0	1360
HFE	4.541141547362148e-14	0	4372
SHB	6.177708958298506e-14	0	9100
SLA2	7.360944011085905e-14	0	9167
SPINT1	1.379664804666336e-13	-1	9690
PLXNB1	1.4711715186936114e-13	0	7603
SH2B2	1.6140697779789438e-13	-1	9071
PLXNB3	2.060007237567452e-13	0	7605
ABL2	3.990418369733629e-13	0	67
SPRR1A	4.456218130225917e-13	0	9711
VPS13A	5.553129714025814e-13	0	11210
SEMA6D	7.59450738736572e-13	0	8961
TNFSF13	9.97258786887586e-13	0	10527
ZAP70	1.2728130863382285e-12	0	11444
SERPINB7	1.4733322685464136e-12	0	8993
DYRK4	2.7391756022566444e-12	0	2916
RND1	3.0789585782226694e-12	0	8543
PTPN12	3.668318664918971e-12	0	8070
MARK3	3.851757275648556e-12	0	5757
COL8A1	4.510158756645515e-12	0	2135
TTBK1	5.091265634951271e-12	-1	10818
HEY1	5.215879590217233e-12	0	4369
ITK	5.292362032659287e-12	0	4899
PKMYT1	5.325684048673242e-12	0	7503
INPP5D	6.464357374398618e-12	0	4787
SUSD1	1.0823556186922766e-11	-1	9946
TXK	1.218035323059712e-11	0	10913
TNS3	1.2299090902082707e-11	0	10555
SH2D2A	1.3766498597416936e-11	0	9073
FGR	1.7027990565152902e-11	0	3586
SOCS6	2.2808845314481088e-11	0	9601
DYRK2	2.4360432868136604e-11	0	2914
