gene	p-value	label
ARAF	3.761717150257434e-17	0
DIRAS3	4.8227460519342816e-17	0
DNAJC27	1.3663424149654893e-15	0
CCT7	2.286401190222611e-15	0
BTRC	4.634574432285144e-15	0
SERPINB5	5.045793039530978e-15	-1
RASSF2	6.4413756081958575e-15	0
PHB	2.00649386943304e-14	0
EPB42	7.167101174271683e-14	0
RASSF5	7.364797721348705e-14	0
COL8A1	1.1629868965583694e-13	0
TERF1	1.423319537688689e-13	0
FNTB	2.57741866992076e-13	0
QDPR	4.934985083188185e-13	0
STX17	5.268100263754957e-13	0
RIN1	1.080108734849902e-12	-1
RAP1GDS1	1.629784631939259e-12	0
RASGRP2	2.866335822205449e-12	0
XRCC6	3.583235077945389e-12	0
DEAF1	4.734811145548305e-12	0
PDE6D	7.098645305475796e-12	0
HNRNPC	1.0037583303881748e-11	0
DNAJA3	1.0578126862102216e-11	0
CDK8	1.1097021968197027e-11	0
RANBP10	1.2664552347407859e-11	0
XRCC5	1.4378891593488137e-11	0
TNKS	1.3968034279581812e-10	0
IGSF21	3.2983256299403277e-10	-1
GRB14	5.118535355761817e-10	0
AKT1	6.83289906226087e-10	1
RAF1	8.316150071190929e-10	0
HSP90AA1	1.5222518227021803e-09	0
ANGPT2	1.947863535626221e-09	0
TNFSF13	2.029830464533969e-09	0
RGL2	2.3529964816378983e-09	0
EGFR	2.524095635209797e-09	0
NUP133	3.651542740242689e-09	0
PRKCA	4.745697157658288e-09	0
PIK3CG	4.9735123361353475e-09	0
KRAS	6.127901750878196e-09	1
IGFBP3	1.0485711424701948e-08	0
RB1	1.073595927827126e-08	0
TP53	1.1072627031403804e-08	1
MYC	1.2526892686392638e-08	0
ANGPT4	1.7620648440976602e-08	0
PIK3CA	2.446769467134565e-08	1
BCL2	2.7631382220270614e-08	0
ZNF189	4.9404940817248224e-08	0
PPP2CA	5.3009537145094326e-08	0
HRAS	6.169759758718429e-08	0
SPATA20	6.194923046352992e-08	0
PGGT1B	6.275675005183989e-08	0
THRSP	7.11975217951074e-08	0
SGK1	1.289629024873101e-07	1
ADAP1	2.0144176533430202e-07	-1
RALGDS	2.2126484838719535e-07	0
MST1R	3.785557191697855e-07	0
NRAS	4.178050437886774e-07	1
TERT	5.205164670577162e-07	0
APLP2	5.533361276776585e-07	0
