gene	p-value	label
RAC1	9.056909718846964e-31	0
SUMO1	6.789095413510461e-28	0
PIK3CG	1.5983725766884964e-25	1
HRAS	1.563342824917815e-21	1
PIK3CA	3.929154088551929e-21	1
HSPB1	7.85989748111189e-17	0
SIN3A	1.1530610070335076e-15	0
TP53	6.045179633604093e-15	1
CDK1	1.1496633271123084e-14	0
IRAK2	4.402172825921255e-14	0
TRAF2	6.166541785490632e-14	0
RARA	1.029051819051894e-13	0
PPP2CA	3.246467535993322e-13	0
TNFRSF1A	4.4214196175922573e-13	0
RIPK1	5.496859031500858e-13	0
EGFR	6.639108701629799e-13	0
ATF2	2.802511899385172e-12	0
PLCG1	8.633317527740821e-12	1
TRADD	9.313855369558326e-12	0
MAP3K5	9.991129083827247e-12	0
MAPK3	1.2143419348124855e-11	0
GSK3B	1.5127730124945498e-11	0
PML	2.143363336725744e-11	0
PIK3R1	2.3293140861326697e-11	1
CCNB1	4.118103297124252e-11	0
MAPK1	5.1785691743353596e-11	0
DAXX	5.270153975556298e-11	0
FYN	7.750181576707123e-11	0
CAV1	1.2695819952904814e-10	0
LCK	1.4943630880696446e-10	0
SIRT1	1.6945610727130284e-10	0
CSNK1A1	3.0640545886792715e-10	0
TNFRSF1B	3.5205431843947166e-10	0
SP1	4.0306620802438535e-10	0
TGFBR1	4.1323274976123274e-10	0
ITGB1	5.4672605500044e-10	0
ACTA1	8.860292045458337e-10	0
VARS2	9.10968068159073e-10	0
EZR	1.0232942140219335e-09	0
CSNK1E	1.642641197562697e-09	0
PAK2	1.8035190569005635e-09	0
DIRAS2	1.999130716137113e-09	0
XIAP	2.5835808245299593e-09	0
CREB1	2.672961206079286e-09	0
LYN	2.8893865760569662e-09	0
KRT18	3.1614305655004673e-09	0
RHOA	3.803746942083878e-09	0
IKBKB	4.058036897923245e-09	0
GRB2	4.095543993749361e-09	0
CALM2	4.302576929905989e-09	0
SOS1	5.938839129959201e-09	0
MAP2K4	6.3794943688064864e-09	0
PRKCE	6.506413496604173e-09	0
CASP8	6.682584282823681e-09	1
CSNK1G2	7.285445339963878e-09	0
GRIN1	7.475657602887421e-09	0
BCL2	8.880465418834792e-09	0
RBL1	9.172724953430993e-09	0
PRKCD	9.221048129896264e-09	0
PPP3CB	9.767277782666874e-09	0
STAT1	1.0276329115888711e-08	0
RASA1	1.0914141072746402e-08	1
ARRB1	1.101797341022052e-08	0
