gene	p-value	label	index
IGSF21	3.581178269049574e-36	-1	4689
HNRNPC	1.0319444371070362e-35	0	4456
STX17	5.60214441959794e-35	0	9896
RASSF5	2.717062317290373e-34	0	8311
DEAF1	1.691472668269181e-33	0	2572
COL8A1	2.0482187823439656e-33	0	2135
RIN1	3.831649687675116e-32	-1	8509
RGL2	4.0402604267712976e-32	0	8447
GRB14	4.7498812588943135e-32	0	4160
DNAJC27	8.027468516089274e-32	0	2754
NUP133	1.0025271072364628e-30	0	6851
PDE6D	5.896391910818714e-30	0	7242
PGGT1B	7.965723518784252e-30	0	7352
ARAF	2.6853453522127983e-29	0	604
RANBP10	3.602248540108401e-29	0	8258
RAP1GDS1	8.852736020167664e-29	0	8270
PHB	1.621310753218314e-28	0	7368
RASGRP2	2.7963621300584848e-28	0	8300
RASSF2	4.578932525657213e-28	0	8309
QDPR	1.1238808521596642e-27	0	8135
DIRAS3	1.712322239437594e-27	0	2666
ANGPT2	3.0673015602459253e-27	0	432
BCAS3	3.206807166885821e-27	-1	989
CDK8	2.5371251916570244e-26	0	1726
TNKS	5.175365047847338e-26	0	10537
SPATA20	5.793658055959287e-26	0	9654
TEP1	1.8473474665996704e-25	0	10198
EPB42	2.0372358887121405e-25	0	3151
XRCC6	2.2413215442206445e-25	0	11398
FNTB	3.0418031828493737e-25	0	3664
SERPINB5	1.4401226086427795e-24	-1	8991
CCT7	2.963086255471831e-24	0	1585
XRCC5	3.351584871786144e-24	0	11397
SHOC2	4.34219662736895e-24	0	9113
ANGPT4	5.7774353422308646e-24	0	433
KRAS	1.782840700907989e-22	1	5238
GNB5	2.214543033280359e-22	0	4028
RALGDS	2.4415862638112143e-22	0	8251
NRAS	3.412568161766619e-22	0	6754
DNAJA3	6.019083899063765e-22	0	2730
IGFBP3	3.06302520378277e-21	0	4683
BTRC	8.3091255635798e-21	0	1158
GNB4	8.41654611922049e-21	0	4027
GNB3	2.288025363217713e-20	0	4026
TERT	3.097819650308065e-20	0	10201
ZNF189	3.0986788357949516e-20	0	11621
TNFSF13	3.634143598724545e-20	0	10527
GNGT2	6.887371884720758e-20	0	4032
GNG10	1.5871797250264872e-19	0	4030
THRSP	2.237926938964032e-19	0	10288
TERF1	2.2662088962328257e-18	0	10199
IL24	2.313671129313187e-18	0	4734
ARSH	3.2840661481645086e-18	0	740
GNB2	1.2377708998715864e-17	0	4025
RASGRF2	1.2459292487046997e-17	0	8298
LIN7B	1.3046083225593544e-16	0	5434
GNB1	2.5091674574614896e-16	0	4024
GNG13	7.544078099532249e-13	0	4031
BCL2	1.0657463598381097e-12	0	999
TP53	9.560392212099054e-12	1	10585
DLG1	1.971308743674699e-11	0	2681
RB1	6.850245519251765e-11	0	8315
PPP2CA	3.4913396429437724e-10	0	7804
HSP90AA1	9.198714549786571e-10	0	4565
MYC	1.6181662731715124e-09	0	6286
PIK3CA	2.2818556637657835e-09	1	7451
RAF1	3.840442863869698e-09	0	8240
BEX2	7.545661750049102e-09	0	1036
EIF2B4	1.0957769834208988e-08	0	3027
PIK3CB	1.2398861479285336e-08	0	7452
DLG4	1.258960251961243e-08	0	2684
AKT1	1.3442773700026088e-08	0	343
EGFR	1.6041126862200692e-08	0	3001
HRAS	1.7240646972292267e-08	0	4527
PIK3CG	1.93743127098764e-08	0	7454
CAT	5.7661669126166266e-08	0	1425
APLP2	1.2123456405849148e-07	0	562
PRKCA	1.25290405839457e-07	0	7883
INSL6	1.536298583732765e-07	0	4795
LBP	1.673694304675585e-07	0	5350
EIF1AX	1.701397444371083e-07	0	3018
ICOS	1.826965635605845e-07	0	4629
TWIST1	2.0124902448881378e-07	0	10911
BTLA	2.2078232928756385e-07	0	1148
AMBP	2.461361059491273e-07	0	397
UMPS	2.4933997219408604e-07	0	11047
IRS4	3.468271856288716e-07	0	4851
CHRNB1	5.13393805636689e-07	0	1901
IL7R	5.404029294854798e-07	0	4750
ADAP1	6.506594022188564e-07	-1	203
SGK1	9.579655132439772e-07	0	9057
TBX2	1.0101660411739471e-06	0	10123
PIK3CD	1.1809263549971283e-06	0	7453
IL7	1.2069017135217664e-06	0	4749
NEDD9	1.3890950538534167e-06	0	6507
CORIN	2.9860080543547786e-06	0	2177
POLR1D	3.0753312390506584e-06	0	7678
RASGRP3	3.544173890562857e-06	-1	8301
DGKZ	3.6823019399203418e-06	0	2619
ITGAV	4.174641585451457e-06	0	4881
PIK3R3	4.298544924699025e-06	0	7458
EIF3A	4.819901957349446e-06	1	3032
IKZF3	5.856404111025154e-06	0	4700
SPHKAP	5.978486833038293e-06	0	9680
GABRB1	6.170714836449686e-06	0	3788
EIF4G2	6.810810692504071e-06	0	3049
SLC9A3R2	7.0622299812024e-06	0	9442
S1PR1	7.266739202619976e-06	0	8790
EIF2B1	7.349119577862497e-06	0	3024
UBTF	7.532044853601476e-06	0	11005
EIF4G3	7.668863011819073e-06	0	3050
CHN1	7.809539263836293e-06	0	1882
IL6R	1.0030464512796612e-05	0	4747
ZBTB7A	1.0573755884546318e-05	0	11479
APPL1	1.080233437541197e-05	0	589
ELAVL1	1.0993100605139804e-05	0	3059
NPNT	1.099451493130352e-05	0	6715
PSMC3IP	1.112454300143582e-05	0	7998
TICAM1	1.1364337513068204e-05	0	10299
FOXO4	1.2729098152834174e-05	0	3689
ANXA1	1.400812030197485e-05	0	505
MRAS	1.7109398134814784e-05	1	6096
TRIO	1.7781013291765608e-05	0	10721
ARHGEF1	2.113074283045112e-05	0	653
DIAPH1	2.114688233712397e-05	0	2653
DPF2	2.2421485756380497e-05	0	2805
CD86	2.2657756010142733e-05	0	1644
ARFIP2	2.393068414355632e-05	0	621
GBF1	2.481266927304748e-05	0	3855
BEX1	2.753447796479598e-05	0	1035
CITED2	2.815783972488587e-05	0	1936
FOXO1	2.867431128878804e-05	0	3687
CTCF	3.5624240344386845e-05	0	2316
ACOX1	3.720140123246212e-05	0	115
GRB7	3.924740861121407e-05	0	4162
EIF2B2	4.038735596383813e-05	0	3025
DUT	4.222584384046563e-05	0	2898
PI4KB	4.353659393938473e-05	-1	7415
EIF2S1	4.3825432264700056e-05	0	3029
TFF2	4.466598790473929e-05	0	10232
RASD2	4.529017566198404e-05	0	8292
ARHGAP5	5.120887019177172e-05	0	648
GNA13	5.774663022249336e-05	0	4013
HAND2	6.18262718434613e-05	0	4283
ITIH1	6.276461261820781e-05	0	4894
F2RL3	6.279812004455724e-05	0	3297
PCBP1	6.283930825014532e-05	0	7130
GALNT12	6.71150774298228e-05	0	3812
NGF	6.869878159821167e-05	0	6577
FBP2	7.440578757086015e-05	0	3465
PTPN7	7.78884874682288e-05	0	8080
GNA12	7.842537925638148e-05	0	4012
HBEGF	7.881489987557993e-05	0	4307
PLD1	8.026213558447339e-05	0	7546
DOCK1	8.16660390389452e-05	0	2780
EIF2AK3	8.655943245535906e-05	0	3022
FLT4	8.867072913395202e-05	0	3635
EIF2S2	8.898918113334338e-05	0	3030
CSF2RB	9.757889602650587e-05	0	2287
SLC9A3R1	0.0001029349381682	0	9441
HAND1	0.0001094993142278	0	4282
FBXO42	0.0001144304576841	0	3502
HGF	0.0001173205132367	0	4375
FOXA1	0.0001256305337695	0	3671
CD28	0.0001288708761245	0	1611
SMPD1	0.0001299364408646	0	9514
SMPD2	0.0001450274228721	0	9515
WASL	0.0001544052906268	0	11263
BIRC5	0.0001586394157307	0	1054
EIF4A1	0.0001591817063026	0	3042
RAPSN	0.0001616775358072	0	8279
POLR1B	0.0001621986775367	0	7677
PI4K2B	0.0001667542655709	0	7413
PIK3R2	0.0001740475838111	0	7457
SRA1	0.0001749572064198	0	9736
SHISA5	0.0001840518160476	0	9109
PTGS2	0.0001966569705286	0	8057
NMI	0.0002140308245709	0	6647
IL18	0.0002191069417289	0	4719
FOXO3	0.0002191451379101	0	3688
GJA1	0.0002284717671225	0	3940
TSC2	0.0002348444047708	0	10766
TFDP1	0.0002456868983052	0	10227
DUSP1	0.0002734711360204	0	2879
FCER1A	0.0002807593551938	0	3520
PDK2	0.0003040199325777	0	7263
NTRK1	0.0003202456000441	0	6811
DNAJB6	0.0003356326311286	0	2739
CCT4	0.0003476670065377	0	1581
CAMK1G	0.0003534121479622	0	1358
IL6ST	0.0003619055836605	0	4748
NGFR	0.0003651029280548	0	6578
CABIN1	0.0003657276386036	0	1305
PI4KA	0.0003821879005348	0	7414
KIT	0.0003927339568595	0	5152
WASF1	0.0003940726254176	0	11260
EIF2B3	0.0004099476183372	0	3026
POLR1A	0.0004118296805657	0	7676
ANKRD2	0.0004647982914808	0	463
FZD1	0.0004750112765917	0	3758
ZNF514	0.000503160610108	-1	11762
SOCS3	0.000545380586677	0	9598
RALBP1	0.0005558806155713	0	8247
CAPG	0.0005917206078615	0	1377
EDN1	0.0006573491864875	0	2962
TP53INP1	0.000682196239459	0	10589
RHEB	0.0006850242422384	0	8479
BAX	0.0006876422650307	0	970
LSM14A	0.0007001270907415	0	5575
SRF	0.0007015471191803	0	9746
FGF2	0.0007580928888738	0	3570
GRIN2B	0.0007781843261786	0	4182
SMAD5	0.000806592858224	-1	9476
WDR5	0.0008135690144183	-1	11299
JAK3	0.000844889581658	0	4925
FTL	0.0008479879617227	0	3732
EIF2S3	0.0008497556446227	0	3031
ATR	0.0008520651004206	0	886
RAP1A	0.0008529185309355	0	8267
CCNE1	0.0008622855588745	0	1555
CXCR4	0.0008638256709841	0	2388
RPS20	0.0009076975476092	0	8681
FABP1	0.0009192585612131	0	3305
MS4A2	0.0009319140380789	0	6176
RALA	0.0009414827427548	0	8246
WNT1	0.0009452622829697	0	11341
ITGB3	0.0009499183106466	0	4887
AGT	0.0009556927189334	0	284
PDGFRB	0.0009568423558794	0	7252
SLC2A4	0.0009784600047303	0	9307
CDK6	0.0010216293979372	0	1724
TMOD1	0.0010318946667285	-1	10483
MUSK	0.0010845729149921	0	6264
ILK	0.0011151808837964	0	4754
CAMK1	0.0011341973589602	0	1356
TLN1	0.0011919949342364	0	10344
CD79A	0.0012102852546315	0	1640
MAP9	0.0012597668535341	-1	5732
EIF2AK2	0.0012604735539214	-1	3021
AIFM2	0.0012656323372758	-1	304
ERBB4	0.0012908920071535	0	3189
TGFBR2	0.0013265574822446	1	10248
EIF4G1	0.0013267152760879	0	3048
CDK4	0.0013671586687678	0	1719
F2R	0.0014010227911754	0	3294
HDAC5	0.0014213982077241	0	4326
IL2RG	0.0014978423099754	0	4738
PADI4	0.0015154860242543	0	7037
PLEKHG2	0.00157954662352	0	7566
LIMK1	0.0015811476830161	0	5425
CARM1	0.0015969124119325	0	1404
GATA4	0.0016091753545722	0	3846
EIF4A2	0.0016694810147309	0	3043
CAMK4	0.0017562925807379	0	1362
CUL9	0.0017959658103221	0	2364
ZNF385A	0.0017971766151302	0	11707
BAD	0.0018217605556359	0	949
GHR	0.0019118765751889	0	3918
DPH1	0.0019315082816405	0	2807
CABLES1	0.0019871241447725	0	1306
JMY	0.0019890214688392	0	4937
CD79B	0.0020969642780776	0	1641
PTEN	0.002105620397664	1	8042
SOD1	0.0021884710768661	0	9603
PRDM1	0.002251821747238	0	7837
CDKN1B	0.0022750113839023	0	1733
NKX2-5	0.0023009833367484	0	6618
USP7	0.002321830447009	0	11142
ARHGEF3	0.0023890214175417	0	666
CD40	0.0024073169143169	0	1626
GNAS	0.0024793449588477	1	4021
ANXA3	0.0025995058620048	0	508
ZBTB8A	0.0026173428693087	0	11482
MTOR	0.0027151624573971	1	6240
PDGFRA	0.0027273360839945	0	7251
NPPA	0.0027493893093543	0	6716
CABLES2	0.0028057171812031	0	1307
MYD88	0.0028549263038678	0	6290
CDK2	0.0028678014457242	0	1714
APAF1	0.0028866442398181	0	543
ITK	0.0029903687006154	0	4899
ZMIZ1	0.0030056939896228	0	11580
SLC2A12	0.003038385971373	0	9303
HIF1A	0.0030613726068776	0	4390
IL6	0.0032908368324281	0	4746
EGF	0.0033370829502712	0	2996
GAB1	0.0034017827054508	0	3776
CCND1	0.0034837995116789	0	1551
RPS6KA5	0.0036198419569286	0	8692
YY2	0.0037313244188739	0	11441
ROCK1	0.0037548642034134	0	8610
RAP1B	0.0039334663517975	0	8268
PHF20	0.0039373578624008	0	7380
NR1H3	0.0041277434910701	0	6736
BCAR1	0.0041409956175553	0	986
VARS2	0.0041628601192839	0	11170
NFATC3	0.0042341485277765	0	6551
TRMT11	0.0043019847054885	0	10732
ARNT	0.0043339030773512	0	717
MRPL11	0.0043877590493899	0	6111
NCOA1	0.0044592817108024	0	6442
E2F1	0.0045957503076013	0	2921
CASP9	0.0046394257397041	0	1420
ZMIZ2	0.0046538114515661	0	11581
BANP	0.004682839692112	0	962
LAT	0.0046965158243583	0	5345
ERBB2	0.0048379465712515	1	3188
CD3G	0.0049218203204371	0	1625
RRM2B	0.0049703537959993	0	8713
AXIN1	0.0052062167547276	0	911
NCF2	0.0054129240568789	0	6432
MTHFSD	0.0057452838636013	0	6224
MED1	0.0059911787129587	0	5848
ADCY1	0.0060558285284037	0	213
GNAQ	0.0060788717090464	0	4020
PPIF	0.0060910306037956	0	7753
CDK5	0.0061203911954688	0	1720
BRD1	0.0062636215880651	-1	1101
STAT5B	0.0062866127060384	0	9846
SMAD1	0.0064273622457885	0	9473
CRKL	0.0064889816926781	0	2260
MYH2	0.0065650946277529	0	6299
PTTG1IP	0.0066403410263377	0	8103
USH1C	0.0066423474153944	0	11093
NOS3	0.0066485516505752	0	6688
NPRL3	0.0068318021182778	0	6720
RHOA	0.0068649082895016	1	8482
FBXO11	0.0070205457308227	0	3483
DVL1	0.0072641522964438	0	2899
UBA3	0.0073008140102555	-1	10946
APTX	0.007510979921743	0	591
DMTF1	0.0075231316239098	0	2711
TADA1	0.0075654352855135	-1	10019
VAV1	0.0076959705092233	0	11176
CASP7	0.0077334334031864	0	1418
HNF1A	0.0078662400334114	0	4446
JAK1	0.0080326832504152	0	4924
CFLAR	0.0080443947015494	0	1826
NFATC4	0.0080547866969047	0	6552
GPATCH8	0.0082368577711127	0	4077
NQO2	0.008318762772458	0	6730
INSR	0.009056410657884	0	4797
CALR	0.0095470117950941	0	1353
MKNK1	0.0096893433658299	0	5984
TAX1BP3	0.009833678204582	0	10078
PPARA	0.0103860720537195	0	7733
PLA2G4A	0.0104281926576952	0	7519
INPPL1	0.0105169480323333	0	4790
MYO9B	0.0105996579450811	0	6340
F2	0.0106095831035426	0	3293
NCOR2	0.0108737086739363	0	6449
PATZ1	0.0108872780077562	0	7110
ARHGEF19	0.0110761255618675	0	662
RPS6KA1	0.0118471401469591	0	8690
HINFP	0.0118525202059201	0	4394
TIMP3	0.0118799659487136	0	10324
PADI1	0.0119152696763676	0	7034
IRS1	0.0120128835981477	0	4850
PTPN6	0.01238892858974	0	8079
ZBTB2	0.0124905127415592	0	11455
YWHAH	0.0129563129910752	0	11436
NUAK1	0.0130126669849739	0	6816
STAT3	0.0135226636458625	0	9843
PREX2	0.0137076251239038	0	7860
MAP4K1	0.0137262045110266	0	5724
CD247	0.0139358821053488	0	1606
ZAP70	0.0139877871590459	0	11444
NR0B2	0.0140104397847782	0	6732
FAS	0.0140917079559058	0	3441
IKBKB	0.0147959570547728	0	4697
RIPK4	0.0148077302855447	0	8519
TGFBR1	0.0148479323873194	1	10247
NFATC2	0.0151794183295624	0	6549
MAPK7	0.0154983328458632	0	5739
RASA1	0.015567295330722	1	8285
ITPKC	0.0156522809250273	0	4908
NFATC1	0.0157517884478694	0	6548
MDM2	0.0160224829107057	0	5838
STAT5A	0.0161633873818094	0	9845
ARHGEF17	0.0162232664850826	0	660
CBL	0.0163744775846741	0	1436
HOXB9	0.0164946000097833	0	4495
ZNHIT1	0.0169073914015374	0	11895
B2M	0.0170389261582759	0	917
BANF1	0.0173093545151512	0	961
HIC1	0.0187280800509557	0	4387
DUSP26	0.0187874850041114	-1	2890
CASP3	0.0188419736061006	0	1414
CDKN1A	0.019274502704858	0	1732
SYK	0.0192868677281312	0	9969
ARHGEF18	0.0194679544850278	0	661
MET	0.0199957645727396	0	5894
ABL1	0.0200290391546548	0	66
RGS11	0.0201230490970658	-1	8460
CD3E	0.020285011135523	0	1624
PPP3CC	0.0203996526273944	0	7817
MAP2K3	0.020423161643475	0	5704
APC	0.0205579344081567	1	550
PDPK1	0.021294359383917	0	7273
SOX4	0.0213358999465571	0	9625
XIAP	0.0216901956741481	0	11376
MAP2K2	0.0220012259981787	0	5703
NR3C1	0.0220633377094328	0	6745
PTK2B	0.0223626440389463	0	8062
CUL7	0.0231853918184813	0	2363
HPCA	0.0235465696670785	0	4510
APOA1	0.0237836229270013	0	564
RNF34	0.0244217947995062	0	8589
HSD17B4	0.0248547295011764	0	4553
NOS2	0.0249391795826466	0	6687
STAT1	0.0252060019814548	0	9841
CALM1	0.025240585806818	0	1347
PRAM1	0.0253228197617366	0	7831
SEMA4G	0.0253842746584386	-1	8955
