gene	p-value	label	index
BSDC1	3.944938312789519e-16	0	1125
POLR3G	2.562998601541117e-15	0	7696
TRAM1	9.957388472954291e-15	-1	10640
RNF34	1.0605667795729785e-14	0	8589
BRF2	8.568696955762474e-14	0	1109
BRF1	4.5289671251033243e-13	0	1108
GTF3C5	2.7661013658221747e-12	0	4244
TMX1	2.8542546531180152e-11	-1	10501
GTF3C6	3.6632934122237547e-11	0	4245
GTF3C2	3.7478489085772286e-11	-1	4241
C1orf198	5.222156213004789e-11	0	1223
DENND2C	8.413634895284552e-11	0	2588
BDP1	2.1568619036930468e-10	0	1022
LGALS7B	2.5589581710522877e-10	0	5395
SAMD3	3.9907880248741085e-10	0	8810
KCNJ3	1.8403119765988182e-09	0	5013
POLR3C	2.5355666042746e-09	0	7692
POLR3GL	3.210405964692202e-09	0	7697
SLC25A42	1.6951491471424027e-08	0	9274
RPRM	2.371215768056012e-08	0	8672
ARPC5	4.0414710880581886e-08	0	725
KLHL23	5.9029818620444746e-08	0	5187
TCHP	6.011331986383416e-08	0	10155
HPSE	6.31702834080292e-08	0	4523
SLC25A16	7.16638549892314e-08	0	9251
LACTB2	7.437326593357828e-08	0	5309
POLR3E	1.6771473711414017e-07	0	7694
GTF3C1	2.5136708842673655e-07	0	4240
SHISA5	2.856101053421657e-07	0	9109
EI24	4.310889633545041e-07	0	3015
SLC25A24	4.662670235641086e-07	0	9259
PCSK7	5.460979274557473e-07	0	7207
NPLOC4	6.198977046276201e-07	-1	6712
BRAP	6.677505574733176e-07	0	1098
CCDC50	6.791755710797828e-07	0	1500
USP25	7.593743900137181e-07	0	11114
GRHL3	7.958746533426015e-07	0	4167
RASSF8	1.313107789001702e-06	0	8313
PACS1	1.4226657366468451e-06	0	7029
ZMAT3	1.652838142714732e-06	-1	11578
PCSK4	1.901020094662e-06	0	7205
ANXA4	2.177253259020181e-06	0	509
ADARB1	2.6049294297150345e-06	0	206
PHLDA1	2.684960159329861e-06	0	7394
SLC25A25	2.7132380088857342e-06	-1	9260
POLR3B	3.041746107779469e-06	0	7691
RPS14	3.1156796232451067e-06	0	8674
TEP1	3.7554153402383087e-06	0	10198
POLR3F	4.112456790448847e-06	0	7695
MAGEA10	5.226718581800072e-06	0	5652
TIMM23	5.409249793917739e-06	0	10317
PRDM1	5.647761816581651e-06	0	7837
DST	6.140490122839956e-06	0	2859
MKRN1	6.62427496971768e-06	0	5986
INSIG2	7.057696618594688e-06	0	4792
TBC1D32	7.215279709879192e-06	0	10100
C9orf72	1.369869936209896e-05	0	1288
POLR1D	1.4287617987427317e-05	0	7678
COBL	1.814848380197584e-05	0	2095
NDE1	1.889061791430243e-05	0	6455
TTC8	2.534981164394498e-05	0	10849
WDR41	2.639404920628713e-05	0	11291
DCHS2	2.639829546328948e-05	0	2503
SORCS1	2.9494294438579023e-05	0	9609
GORAB	3.059125243106139e-05	0	4060
POLR3A	3.210479635895083e-05	0	7690
ROR1	3.2507517208044594e-05	0	8615
VPS13A	3.79158669945963e-05	0	11210
RASSF7	4.444439944097626e-05	0	8312
SUSD1	4.460991990582048e-05	-1	9946
DBR1	4.529467290736368e-05	0	2481
TES	4.615539903273912e-05	0	10202
POLR2F	4.624060749052745e-05	0	7683
USP1	4.728815172715463e-05	0	11098
UCP3	5.317498253853462e-05	0	11021
G3BP1	7.199210444578452e-05	0	3771
YTHDF1	9.084323577113384e-05	0	11430
C11orf65	9.77409263014326e-05	0	1178
SNAPC3	9.92334985754214e-05	0	9539
CORO1B	0.0001010563480303	0	2179
CALML3	0.0001072483302567	0	1349
THAP11	0.000150788170393	0	10263
MTCH2	0.000154239774679	0	6211
TIMM17A	0.0001546101551011	0	10313
PPP1R12C	0.0001570877388306	0	7778
ANXA5	0.0001584023272073	0	510
NFE2L2	0.000162111362158	1	6555
SNX11	0.0001728559589595	0	9574
TBL2	0.0002176189983151	0	10113
GGCT	0.0002540756300149	0	3907
SLC25A36	0.000256725329366	0	9269
SFN	0.0002579151509491	0	9040
SLC25A14	0.0002654139449089	0	9249
SLC25A30	0.0002719890321967	0	9264
KCMF1	0.0002840182155282	0	4973
HIGD1A	0.0002865367893919	-1	4392
UBOX5	0.000289556953574	-1	10992
TONSL	0.000301202409215	-1	10569
GPR153	0.0003166756830638	0	4110
ATAD5	0.0003359946538374	0	798
HES4	0.0003394463804533	0	4364
PPP1R13B	0.0003417857564784	0	7779
MAK16	0.0003448649513055	-1	5672
POLM	0.0003849305513466	0	7673
WDR7	0.0003997327882144	0	11307
MAD2L2	0.0004276660075935	0	5644
ZBTB20	0.0005063848034899	0	11456
XRCC4	0.0005146749535744	0	11396
NELL1	0.0005258106290515	0	6529
TRMT1	0.0005483458338337	0	10729
METTL3	0.0005742015923796	0	5912
POLR3D	0.0005982514323895	0	7693
RBMS2	0.0005988273837449	0	8360
TM4SF19	0.0006025265177266	-1	10357
CTSB	0.000621456829041	0	2339
EEF1G	0.0006276167683514	0	2971
SNAP47	0.000660954265674	-1	9536
HOXC4	0.0006625157223779	0	4499
PTOV1	0.0006684436856072	0	8067
RPL41	0.0007380363470101	0	8657
SCFD2	0.0007523281780306	0	8855
FUT11	0.0007533388594985	0	3743
ADAD2	0.0007791621639044	0	167
CHTF18	0.0007946949538518	0	1917
THEM5	0.0008323489305146	0	10276
FBXO3	0.0008437554902965	0	3492
MGMT	0.0008677318948733	0	5946
APBB2	0.0008906821702541	0	548
RPS29	0.0008909071032229	0	8684
CCNDBP1	0.0009157374287367	0	1554
FXR2	0.0009234786638428	0	3752
UBR3	0.0009681440471304	0	10999
RNF32	0.0010192820176359	0	8588
SMURF1	0.0010958233431838	0	9524
IPO4	0.0011204452134861	-1	4815
RPS3A	0.00112522548625	0	8686
SSH2	0.001145516094831	0	9784
UPF2	0.0011578866712743	0	11067
GSPT2	0.0011912087696285	0	4215
HLTF	0.0012197758254636	-1	4421
USP50	0.0012729136405703	0	11136
PERP	0.0012789435974163	0	7309
CUL2	0.001309409769886	0	2358
NEXN	0.0013225220650759	0	6543
DSCC1	0.0013239259057125	0	2850
BNIPL	0.0013539416797593	0	1085
KAT7	0.0014186841269175	0	4961
LUZP1	0.0015424620181812	0	5601
MKRN3	0.0015804778787632	0	5988
BAZ1A	0.0016019238421549	0	971
SNAPC1	0.0016391426327957	0	9538
TRIM29	0.0016590439600781	0	10686
RANBP3	0.0017398026336194	0	8261
KHDRBS3	0.0017479518620033	0	5084
EMC8	0.0017827099294704	0	3097
SYNPO	0.0017893628735016	0	9984
HDAC10	0.0018254335249612	-1	4322
EOMES	0.0019697104510115	0	3142
FAM118B	0.0021147979423931	0	3332
PRDX4	0.00221116075327	0	7850
KRAS	0.0022213630199158	1	5238
DAZAP1	0.0022417768428808	0	2475
FAT4	0.0023264541221724	1	3451
DSC3	0.0023443994961745	0	2847
CCDC85B	0.0023721594449718	-1	1515
MYO5C	0.0023798927302118	0	6335
VANGL1	0.0024755434091603	0	11166
FAM200B	0.0024797357545543	0	3380
RPL32	0.0025666935048982	-1	8653
STOX2	0.0025756132644134	0	9882
GTSE1	0.0025772313905297	-1	4251
HORMAD1	0.0026168696316586	0	4478
AIRE	0.0026526283302742	0	310
ZYG11B	0.0026632943415075	0	11934
RPL22	0.0027025076813264	0	8644
RPL31	0.0028220563584381	0	8652
DIABLO	0.002898498568623	-1	2652
RPS15A	0.0029973292938387	0	8676
MTSS1	0.0030093000233911	0	6247
GSPT1	0.0030797805524007	0	4214
RPS20	0.0030841183160432	0	8681
RPS12	0.0031101499479979	0	8673
MCM9	0.0031856712410964	0	5818
MPZL2	0.0032314477287166	0	6093
UPF1	0.0032591649491026	0	11066
GDAP1L1	0.003269190643315	0	3871
GORASP2	0.003350220324248	-1	4061
HCCS	0.0033650968806289	0	4311
ZBTB17	0.003451012870239	0	11453
MAST1	0.0035125237716629	0	5763
RUNDC1	0.0035213597734334	0	8761
CDC20	0.003594616395016	0	1656
HNRNPK	0.0036052999805523	0	4463
RUSC2	0.0036717343046177	0	8768
CHST3	0.0037025163107616	0	1910
TACSTD2	0.0037471337346468	0	10018
ADARB2	0.003786801892106	0	207
CHMP2A	0.003899388502211	0	1876
UBN2	0.0040843322087414	0	10991
SMTN	0.0041088443830486	0	9521
DQX1	0.0042164321369571	-1	2832
CAPG	0.0042231993669984	0	1377
TSG101	0.0043166225739464	0	10775
TP53I3	0.0043272362125939	0	10588
STEAP3	0.0044514694147828	0	9852
CAND2	0.0044893117365019	0	1372
ZFAND4	0.0045063032697207	0	11537
RPS18	0.0045734018442716	0	8678
RPS4X	0.0046447743535938	0	8687
PALM	0.0046563354040011	0	7060
CUL4B	0.0047899819469813	0	2361
PSMB1	0.004847315702756	0	7989
TPT1	0.004858052068983	0	10618
ELF3	0.0048694075103993	0	3065
CDAN1	0.0049168927152427	0	1652
GTF3C4	0.0049792074545989	-1	4243
TNPO1	0.0049865224283987	0	10548
TP53BP2	0.0051175149333549	0	10587
BDKRB2	0.0051193281945283	0	1020
RPL23A	0.0051534721223959	0	8647
RPL13A	0.0051816371134657	-1	8638
LRRFIP2	0.005211110889365	0	5558
FRMD6	0.0053221334854003	0	3709
OPHN1	0.0054123535013182	0	6938
HUWE1	0.005468318767935	0	4611
NAGLU	0.0055256677764089	0	6382
DNM1L	0.0056495188925892	0	2770
VCP	0.0056913879777048	0	11182
USP38	0.0058651163655709	0	11124
PSMD12	0.006001468393806	0	8005
FAM120B	0.0060033937761598	0	3334
TSKU	0.0060190030500363	0	10781
ANKRD11	0.006051888240373	0	456
ANTXR2	0.0061606391575142	0	504
TECR	0.0062094409749691	0	10188
RECQL	0.0062202207844296	0	8400
NCAPD3	0.00625048134001	0	6422
OPLAH	0.0063958762393965	0	6939
XPO5	0.0064101283507125	0	11389
MRPL53	0.006512248351426	0	6141
USP20	0.0065659531425401	0	11110
RNF41	0.0065756394056817	-1	8593
ACACA	0.0066196234830826	0	77
TMEM107	0.0066562061215972	0	10392
MCC	0.0066647805335802	0	5803
SNX16	0.0066866675923568	0	9578
FCF1	0.0066988069408067	-1	3522
MEF2B	0.0067249136620579	0	5872
IPO9	0.0067700704629343	-1	4819
GOSR1	0.0067774794473151	0	4062
COPS2	0.0068244074513727	-1	2160
SH3GLB1	0.0068359696386623	-1	9089
RPL21	0.0068785267411722	0	8643
WIPI1	0.0069387010434663	-1	11334
DPH1	0.0070489693976262	0	2807
SFMBT1	0.0070609894392383	0	9038
CANT1	0.0070726096172955	0	1373
GLE1	0.0071409685684725	0	3966
ZBTB1	0.0071419158527607	0	11448
TP63	0.0072980330559264	0	10591
DHTKD1	0.0073049059940767	0	2635
RPLP0	0.0073257381419208	0	8661
MED12L	0.0074171273839365	0	5851
GPX4	0.0074394776578481	0	4154
FLYWCH2	0.0075328019018811	0	3639
SCD5	0.007600996105436	-1	8852
PPP2R3A	0.0076197425523937	-1	7808
PSMA5	0.0076454335673951	0	7986
PHF20L1	0.007791269556467	0	7381
OSBPL11	0.0078308851591046	0	6966
SERPINB7	0.007929456229443	0	8993
TRUB1	0.0082244010714546	0	10764
BHMT	0.0082272437573511	0	1045
LRSAM1	0.0083139620077245	0	5567
ADAR	0.0084074763991182	0	205
RUFY2	0.0084552452561201	0	8760
INSRR	0.0085054160971983	0	4798
TNKS	0.0085078400496684	0	10537
MYO5A	0.0085521659176256	0	6333
NOX5	0.0086303289771802	0	6696
DVL2	0.0086739850589975	0	2900
POLR3K	0.0087940962747395	0	7698
XRCC5	0.0088741741283561	0	11397
DNAJA4	0.0088944199779203	-1	2731
PAN2	0.0089496520370085	0	7065
SATB2	0.0093233877600496	0	8827
CHD1L	0.0093483878736676	0	1849
PTEN	0.0093629999174479	1	8042
SIPA1	0.0093967481417167	0	9140
UBC	0.0094563649555884	0	10957
USF1	0.0097806499818737	0	11091
TRIM4	0.0098169871441153	-1	10695
SLC25A31	0.0099719011637288	0	9265
CCS	0.0101018895540713	0	1577
CUL5	0.0101787436476485	0	2362
FAM110B	0.0101911293470902	0	3325
SERPINB5	0.0103394619895093	-1	8991
AICDA	0.0104757883409706	0	301
ING1	0.0104902492056586	0	4770
ETF1	0.0105778733081214	0	3230
ZNF709	0.0108039326607166	0	11842
LAGE3	0.0108699961964494	0	5311
CPA4	0.0108860035941188	0	2196
KIF1A	0.0109608165794203	0	5117
IAH1	0.0110335571205405	0	4618
HYAL2	0.0111942722713485	0	4613
ALAS1	0.0111963980046469	0	349
RPL27	0.0112050710974094	0	8650
TMEM67	0.0112069388197652	0	10467
TRAIP	0.0113038848656666	0	10637
TCF7L2	0.0113178756762682	0	10152
RNF8	0.011396814601574	0	8597
UBN1	0.0115328250113752	0	10990
HMGA1	0.0117307463218506	0	4429
RPS2	0.0117521210628727	0	8680
PRICKLE3	0.0117659731813341	0	7866
ITFG1	0.011828088275039	0	4864
RNF7	0.011856087612213	0	8596
DHX32	0.0118583998689871	0	2640
ASCC1	0.0119243120075957	0	765
UNC119	0.0120769302005362	0	11048
KATNB1	0.0121434669691769	0	4965
PAK6	0.0122273727431448	0	7056
PRDX3	0.0122696368015474	0	7849
UBE2A	0.0122864164650373	0	10959
JMJD6	0.0123567015994478	0	4934
TAGLN3	0.0124351251110689	0	10046
TASP1	0.0125989474330116	0	10072
CPSF4	0.0127936007895315	0	2221
PPIF	0.0128354840473475	0	7753
XRCC3	0.0128417237896058	0	11395
YWHAG	0.0131819467699082	0	11435
G3BP2	0.013184372999132	-1	3772
CUL4A	0.0131989146556567	0	2360
GNL3L	0.0133684708535695	0	4035
UBE2W	0.0134094521269231	0	10978
LACRT	0.0134263329308193	0	5307
POLR2E	0.0134498735864952	0	7682
NUDT2	0.0135897918125701	0	6835
ANXA1	0.013713962036685	0	505
TSN	0.0139449915199137	0	10783
RPS15	0.0140307825682854	0	8675
ADAT1	0.0142230442711224	0	208
PIK3CG	0.0142619389677181	1	7454
FAM81A	0.0143549024601899	0	3407
FAM83D	0.0144875220385035	-1	3411
EMP1	0.0144967010176569	0	3111
RBBP4	0.0145293802332431	-1	8317
KCNK15	0.0145697069984637	0	5021
RNF123	0.0146732617006316	0	8552
GAS2L2	0.0149160606857686	0	3840
OSBP	0.0149526716345516	0	6964
ALOXE3	0.0151681790275276	0	390
RNF31	0.0151995031460209	0	8587
CCNE2	0.0152332422153325	0	1556
AFAP1	0.0152600679970849	0	252
RPL19	0.0153043207479407	0	8642
GCH1	0.0154543618187066	0	3865
FAF1	0.0155216218387246	0	3312
ATG4B	0.0156604627025161	0	820
TMEM126A	0.0157064326216614	0	10396
SERPINB3	0.0157560716095181	0	8990
