gene	p-value	label	index
CDK1	2.73448994678951e-45	0	1705
NOA1	1.6374595000123367e-36	0	6659
CCNB1	5.020522097509704e-31	0	1548
BTRC	1.4520965633250491e-27	0	1158
RAD23B	1.1815636819999076e-26	0	8225
FAS	7.139587020099706e-26	0	3441
PDE12	1.464506397868236e-25	0	7229
FAF2	4.045630236254089e-25	0	3313
TOB1	4.573442616471061e-24	0	10557
PHC2	4.7968940013704936e-24	0	7371
CREBBP	6.6148852673754816e-24	0	2247
PCNA	1.9770674409690044e-23	0	7196
PDLIM5	6.962860061544562e-23	-1	7270
FOS	1.2227846004173825e-22	0	3667
BPTF	2.108694560937916e-22	0	1097
MAP3K1	2.1915823860134466e-22	0	5709
UBA2	4.72949469965883e-22	0	10945
ADSL	5.718087240419983e-22	0	249
NFKBIA	5.495348213424829e-21	0	6562
MAP2K4	3.084908036505521e-20	0	5705
TSG101	5.776926469227769e-19	0	10775
MAP2K1	7.141841848339425e-19	0	5702
RASA1	1.0174501165764961e-18	0	8285
ELK1	1.085409149561286e-18	0	3069
RFC2	8.097005614212028e-18	0	8427
PPP3CC	9.029253371337473e-18	0	7817
RPRD1B	9.123705552467085e-18	0	8670
RAC1	1.0970803143452905e-17	0	8216
TOB2	3.134661152994403e-17	0	10558
RPRD1A	4.5843722811861415e-17	0	8669
PRKACB	4.922252329913957e-17	0	7875
UBQLN2	1.9906170812283358e-16	0	10995
MAP2K6	2.4516133584186677e-16	0	5707
ITGA4	3.282998152046463e-16	0	4872
LPP	1.3078227641480353e-15	0	5491
CAMK4	1.5958003535925297e-15	0	1362
SOS1	1.6279074374898479e-15	0	9615
RFC3	3.962987906427656e-15	0	8428
PLCG1	4.33205345821364e-15	0	7540
EPHA4	5.608110402721224e-15	0	3159
RFC4	7.414481451086813e-15	0	8429
SPRTN	8.398654940276613e-15	0	9714
TGFBR2	1.513104976239591e-14	0	10248
EZR	1.9407189666083582e-14	0	3287
POLH	1.9541972757287224e-14	0	7670
VAV1	3.467434976878436e-14	0	11176
RAF1	4.713527456046479e-14	0	8240
ULK2	5.4622825336638333e-14	0	11044
NFKB1	5.983909341505055e-14	0	6560
UBXN6	6.362673282138465e-14	0	11012
TGFB3	7.51742472240434e-14	0	10245
JUN	1.4177551336309934e-13	0	4946
CEP135	1.7964193856310948e-13	0	1784
GLRX3	2.785783703836117e-13	0	3989
RFC1	2.8328891060828764e-13	0	8426
TYK2	4.4054513623335883e-13	0	10930
NFATC4	4.579742849248993e-13	0	6552
PPP3CA	6.244476762770885e-13	0	7815
PRKAR1A	1.0114911157297128e-12	0	7879
PPP3CB	1.7304940219437598e-12	0	7816
ATXN3	4.117780140062046e-12	0	895
CDC25A	5.907470881159564e-12	0	1659
NFATC2	6.488644446593611e-12	0	6549
NFATC3	8.467311983539143e-12	0	6551
PRKAR1B	1.1647772478335408e-11	0	7880
SYVN1	2.6272522009114928e-11	0	10008
ADCY1	2.7933039648118105e-11	0	213
MAPK14	3.7437554900006064e-11	0	5734
NFATC1	4.458615122395271e-11	0	6548
HSPA5	4.6687720439733806e-11	0	4576
RFC5	5.72961144068426e-11	0	8430
ITGB1	5.938233078587037e-11	0	4883
ZAP70	9.318505536841483e-11	0	11444
ICAM1	1.0092380771447452e-10	0	4624
HRAS	1.220293720902764e-10	0	4527
ZMYM4	1.9899091963859462e-10	0	11585
RELA	2.0728365912170407e-10	0	8407
MAPK8	2.8192504527711536e-10	0	5740
RPA2	3.2452527986432137e-10	0	8624
KRI1	3.8695978583260805e-10	0	5243
RAP1B	4.3017985437418977e-10	0	8268
VCAM1	4.6213630435895886e-10	0	11179
PTPN7	5.89372624785744e-10	0	8080
TGFB1	7.927030682157523e-10	0	10242
FASLG	9.369508307192366e-10	0	3442
TGFB2	1.0444709957046427e-09	0	10244
METTL1	1.238771762090132e-09	0	5899
CALM2	1.283966770601567e-09	0	1348
NPLOC4	1.633133221150947e-09	-1	6712
DR1	1.6623549815897003e-09	0	2833
MAPK3	1.8875039893926804e-09	0	5737
PRKAR2A	2.618440434774869e-09	0	7881
ESF1	2.8087587891673123e-09	-1	3222
TAP1	3.5934278803145323e-09	0	10056
SCML2	4.129928910671586e-09	0	8868
SAE1	5.157223649713001e-09	0	8797
IL6	6.359794964852361e-09	0	4746
PRKAR2B	6.61686354627775e-09	0	7882
CEP350	7.446530645249371e-09	0	1793
CD44	7.705132259106456e-09	0	1627
UBXN1	1.0127889092021758e-08	0	11006
VCPIP1	1.19182938652968e-08	-1	11183
NEK4	1.2130014924969185e-08	0	6519
SMAD3	1.389250678773422e-08	0	9475
WDR4	1.6891485877670292e-08	0	11290
PRF1	2.328057513985242e-08	0	7861
PIK3CA	3.0507468675117016e-08	1	7451
TGFBR1	3.2450408643516394e-08	0	10247
KIF20B	6.43159060187433e-08	-1	5121
CALM1	6.64286308520267e-08	0	1347
