gene	p-value	label	index
AGBL2	1.373171028791332e-17	0	266
TWSG1	1.5276086335710826e-15	0	10912
PTTG1IP	6.446610493383147e-14	0	8103
NPRL3	4.921323518169188e-12	0	6720
ARHGEF17	8.448675113854e-12	0	660
TRMT11	2.284098495793498e-11	0	10732
TOP1MT	9.618466387653834e-10	0	10571
IGSF21	3.935124815873716e-09	-1	4689
MTHFSD	6.04257059352128e-09	0	6224
CHRNB1	2.4526436782310773e-07	0	1901
KRAS	3.218510927800461e-07	1	5238
ITIH1	4.330896678102819e-07	0	4894
NRAS	5.492940474663256e-07	1	6754
ZNF189	1.037743840262859e-06	0	11621
TANC2	3.1442646670247075e-06	0	10050
CMIP	3.3778570868243683e-06	0	2030
PGGT1B	3.861813851080728e-06	0	7352
UBE3B	9.11164027260002e-06	0	10980
IL24	1.3569793538815514e-05	0	4734
ANKRD2	1.5885990255947586e-05	0	463
PADI1	1.867239764465477e-05	0	7034
RASGRF2	2.427748660960176e-05	0	8298
SLC30A4	2.504665554484512e-05	0	9313
MR1	3.251733098940557e-05	0	6094
OR51B4	3.292298021042571e-05	0	6951
PXK	3.4706262273711046e-05	0	8121
RPS20	3.971290815493942e-05	0	8681
CABLES1	5.46975838084162e-05	0	1306
BSDC1	6.122112935105563e-05	0	1125
SHISA5	7.459654887214897e-05	0	9109
ZBTB8A	8.372253257204519e-05	0	11482
PIK3R3	8.799230556441402e-05	0	7458
RCN1	0.0001301961170764	0	8385
SPATA20	0.0001491660463971	0	9654
DENND2C	0.0001668324061175	0	2588
RASGRP2	0.0001781998992396	0	8300
HSDL2	0.0001830696822851	-1	4559
PNRC1	0.0001956087895721	0	7642
ANXA3	0.0002192592674861	0	508
ZMIZ2	0.0002331907360342	0	11581
PPARA	0.0002513867008421	0	7733
DNAJC27	0.0002793896177197	0	2754
KIR2DL1	0.0002902205482337	0	5145
DPH1	0.0003104323800591	0	2807
TUBB4B	0.0003187899359984	0	10888
PIK3CA	0.0003422686183598	1	7451
ERI1	0.0003526669387397	-1	3204
HMSD	0.0003658001870323	0	4445
RPLP2	0.0003672601174512	0	8662
IGFBP3	0.0003784852309647	0	4683
SMIM14	0.0003874467474587	-1	9509
TNFSF13	0.0004194451590511	0	10527
ANGPT4	0.0004209685769668	0	433
CAPG	0.0004328089369688	0	1377
COL8A1	0.000436713742021	0	2135
FAM216A	0.0004391408331928	0	3389
DCK	0.0004409758295365	0	2504
S1PR1	0.0004517370009714	0	8790
SERPINB1	0.0004567412031956	-1	8988
NQO2	0.0005020034328527	0	6730
PDE6D	0.0005432538380522	0	7242
BEX2	0.0005754906912916	0	1036
PPP1R3D	0.0005946679950038	0	7798
QDPR	0.0005958250180036	0	8135
CCR2	0.0006005404073197	0	1571
RNF34	0.0006727749001702	0	8589
C10orf90	0.0006840201225452	0	1170
PHACTR2	0.0006934809368068	0	7365
RALGDS	0.000694767339484	0	8251
EIF2B1	0.0007121203515414	0	3024
CTCF	0.0007129353212199	0	2316
YY2	0.0007666317887395	0	11441
TUBB2A	0.0008009700673244	0	10884
RAP1GDS1	0.0008050107570164	0	8270
SERPINI1	0.0008167553678274	0	9003
REEP4	0.000825544296867	0	8405
SPPL3	0.0008260605167626	0	9706
SERPINB6	0.0008261821620853	0	8992
GGH	0.0009267778283493	0	3909
