gene	p-value	label	index
DIRAS3	2.2032727491015132e-13	0	2666
ARAF	1.851224258887028e-12	0	604
DNAJC27	2.3699190592692094e-12	0	2754
DNAJA3	7.593508952051265e-12	0	2730
HNRNPC	1.6134694663400017e-11	0	4456
QDPR	2.130382468782741e-11	0	8135
FNTB	2.186622259278145e-11	0	3664
COL8A1	5.042612887610664e-11	0	2135
PHB	5.397004995590244e-11	0	7368
SERPINB5	9.899533987855044e-11	-1	8991
EPB42	7.269381458831324e-10	0	3151
PKM	9.896304583993935e-10	0	7502
RASSF2	9.99292261476941e-10	0	8309
PNO1	1.053732724861053e-09	-1	7632
NUP133	1.514150756403611e-09	0	6851
CCT7	1.830353498532804e-09	0	1585
RANBP10	1.865514008920815e-09	0	8258
IGSF21	1.9482730378589007e-09	-1	4689
GPSM3	1.986659337404381e-09	0	4149
STX17	2.0002244509087366e-09	0	9896
FUBP1	4.3929270478511774e-09	0	3734
CDK8	6.770891129131773e-09	0	1726
PCBP4	7.105610213408603e-09	0	7133
TERF1	9.115828641935366e-09	0	10199
ACP1	9.912166229948456e-09	0	119
IGFBP3	1.2312532988206334e-08	0	4683
TNFSF13	1.3620909915011622e-08	0	10527
FUBP3	1.4994756230460266e-08	0	3735
XRCC6	1.710977040744326e-08	0	11398
NOVA2	1.9976680029326727e-08	0	6694
ANGPT2	2.1386465692036952e-08	0	432
TRIP6	2.1606928287302e-08	0	10727
THRSP	2.518849898885872e-08	0	10288
TIAL1	2.6480512684900012e-08	0	10297
FLNA	2.900752769265456e-08	0	3625
BTRC	4.253503416782138e-08	0	1158
ANGPT4	4.34967591734981e-08	0	433
PCBP1	4.9498582175157696e-08	1	7130
PTBP1	4.993304755743306e-08	0	8029
QKI	5.50728167273684e-08	0	8136
KRR1	6.026202198278411e-08	0	5245
PDLIM7	6.236963300491291e-08	0	7271
TUBB2A	6.386120038174168e-08	0	10884
RALY	7.447215077781337e-08	-1	8254
TCERG1	8.148433550519181e-08	1	10143
PCGF2	8.528730604949434e-08	-1	7184
PAICS	9.31509134426277e-08	0	7049
FSCN1	1.0242638979660566e-07	0	3719
PGGT1B	1.05087334605176e-07	0	7352
DDX43	1.0575726269986581e-07	0	2557
ERG	1.0608709447091637e-07	0	3200
DEAF1	1.1102089142116757e-07	0	2572
UGP2	1.1430709121800672e-07	0	11029
KHDRBS2	1.1615578740578445e-07	0	5083
ZNF189	1.2245198969987434e-07	0	11621
SPATA20	1.243028051339935e-07	0	9654
SRPK3	1.2961325485836742e-07	0	9758
FRK	1.2981315268272446e-07	0	3704
TDRKH	1.3189849878330808e-07	-1	10180
GNB2	1.406984059298641e-07	0	4025
PPIG	1.5509179226143522e-07	0	7754
RGL2	1.8111704917240168e-07	0	8447
EWSR1	2.025473747669761e-07	0	3254
PCBP3	2.2078534994160166e-07	0	7132
SNRPA	2.229339884358201e-07	0	9557
WBP11	2.253394582683735e-07	0	11265
TNKS	2.572136658552239e-07	0	10537
TP53	3.354077832673403e-07	1	10585
METTL3	3.39898500832065e-07	0	5912
BCAS3	3.465003276959437e-07	-1	989
PIK3CA	3.553956954998297e-07	1	7451
SRSF3	3.752606789705703e-07	0	9770
AKT1	3.798519829410039e-07	0	343
MATR3	3.894334215052088e-07	0	5775
TKT	4.3954433352390986e-07	0	10332
XRCC5	4.62896284436455e-07	0	11397
KHDRBS1	4.827018876987479e-07	0	5082
