gene	p-value	label
IGSF21	3.581178269049574e-36	-1
HNRNPC	1.0319444371070362e-35	0
STX17	5.60214441959794e-35	0
RASSF5	2.717062317290373e-34	0
DEAF1	1.691472668269181e-33	0
COL8A1	2.0482187823439656e-33	0
RIN1	3.831649687675116e-32	-1
RGL2	4.040260426771298e-32	0
GRB14	4.749881258894314e-32	0
DNAJC27	8.027468516089274e-32	0
NUP133	1.0025271072364628e-30	0
PDE6D	5.896391910818714e-30	0
PGGT1B	7.965723518784252e-30	0
ARAF	2.6853453522127983e-29	0
RANBP10	3.6022485401084006e-29	0
RAP1GDS1	8.852736020167665e-29	0
PHB	1.621310753218314e-28	0
RASGRP2	2.7963621300584848e-28	0
RASSF2	4.578932525657213e-28	0
QDPR	1.1238808521596642e-27	0
DIRAS3	1.712322239437594e-27	0
ANGPT2	3.0673015602459253e-27	0
BCAS3	3.206807166885821e-27	-1
CDK8	2.5371251916570244e-26	0
TNKS	5.175365047847338e-26	0
SPATA20	5.793658055959287e-26	0
TEP1	1.8473474665996704e-25	0
EPB42	2.0372358887121405e-25	0
XRCC6	2.2413215442206445e-25	0
FNTB	3.0418031828493737e-25	0
SERPINB5	1.4401226086427795e-24	-1
CCT7	2.963086255471831e-24	0
XRCC5	3.351584871786144e-24	0
SHOC2	4.34219662736895e-24	0
ANGPT4	5.7774353422308646e-24	0
KRAS	1.782840700907989e-22	1
GNB5	2.214543033280359e-22	0
RALGDS	2.4415862638112143e-22	0
NRAS	3.412568161766619e-22	0
DNAJA3	6.019083899063765e-22	0
IGFBP3	3.06302520378277e-21	0
BTRC	8.3091255635798e-21	0
GNB4	8.41654611922049e-21	0
GNB3	2.288025363217713e-20	0
TERT	3.097819650308065e-20	0
ZNF189	3.0986788357949516e-20	0
TNFSF13	3.634143598724545e-20	0
GNGT2	6.887371884720758e-20	0
GNG10	1.5871797250264872e-19	0
THRSP	2.2379269389640318e-19	0
TERF1	2.2662088962328257e-18	0
IL24	2.3136711293131867e-18	0
ARSH	3.2840661481645083e-18	0
GNB2	1.2377708998715864e-17	0
RASGRF2	1.2459292487046997e-17	0
LIN7B	1.3046083225593544e-16	0
GNB1	2.5091674574614896e-16	0
GNG13	7.544078099532248e-13	0
BCL2	1.0657463598381097e-12	0
TP53	9.560392212099054e-12	1
DLG1	1.971308743674699e-11	0
RB1	6.850245519251765e-11	0
PPP2CA	3.4913396429437724e-10	0
HSP90AA1	9.198714549786571e-10	0
MYC	1.6181662731715124e-09	0
PIK3CA	2.2818556637657835e-09	1
RAF1	3.840442863869698e-09	0
BEX2	7.545661750049102e-09	0
EIF2B4	1.0957769834208988e-08	0
PIK3CB	1.2398861479285336e-08	0
DLG4	1.258960251961243e-08	0
AKT1	1.3442773700026088e-08	0
EGFR	1.6041126862200692e-08	0
HRAS	1.7240646972292267e-08	0
PIK3CG	1.93743127098764e-08	0
CAT	5.7661669126166266e-08	0
APLP2	1.2123456405849148e-07	0
PRKCA	1.25290405839457e-07	0
INSL6	1.536298583732765e-07	0
LBP	1.673694304675585e-07	0
EIF1AX	1.701397444371083e-07	0
ICOS	1.826965635605845e-07	0
TWIST1	2.0124902448881378e-07	0
BTLA	2.2078232928756385e-07	0
AMBP	2.461361059491273e-07	0
UMPS	2.4933997219408604e-07	0
IRS4	3.468271856288716e-07	0
CHRNB1	5.13393805636689e-07	0
IL7R	5.404029294854798e-07	0
ADAP1	6.506594022188564e-07	-1
SGK1	9.579655132439772e-07	0
TBX2	1.0101660411739471e-06	0
PIK3CD	1.1809263549971283e-06	0
IL7	1.2069017135217664e-06	0
NEDD9	1.3890950538534167e-06	0
CORIN	2.9860080543547786e-06	0
POLR1D	3.0753312390506584e-06	0
RASGRP3	3.544173890562857e-06	-1
DGKZ	3.6823019399203418e-06	0
ITGAV	4.174641585451457e-06	0
PIK3R3	4.298544924699025e-06	0
EIF3A	4.819901957349446e-06	1
IKZF3	5.856404111025154e-06	0
SPHKAP	5.978486833038293e-06	0
GABRB1	6.170714836449686e-06	0
EIF4G2	6.810810692504071e-06	0
SLC9A3R2	7.0622299812024e-06	0
S1PR1	7.266739202619976e-06	0
EIF2B1	7.349119577862497e-06	0
UBTF	7.532044853601476e-06	0
EIF4G3	7.668863011819073e-06	0
CHN1	7.809539263836293e-06	0
IL6R	1.0030464512796612e-05	0
ZBTB7A	1.0573755884546318e-05	0
APPL1	1.080233437541197e-05	0
ELAVL1	1.0993100605139804e-05	0
NPNT	1.099451493130352e-05	0
PSMC3IP	1.112454300143582e-05	0
TICAM1	1.1364337513068204e-05	0
FOXO4	1.2729098152834174e-05	0
ANXA1	1.400812030197485e-05	0
MRAS	1.7109398134814784e-05	1
TRIO	1.7781013291765608e-05	0
ARHGEF1	2.113074283045112e-05	0
DIAPH1	2.114688233712397e-05	0
DPF2	2.2421485756380497e-05	0
CD86	2.2657756010142733e-05	0
ARFIP2	2.393068414355632e-05	0
GBF1	2.481266927304748e-05	0
BEX1	2.753447796479598e-05	0
CITED2	2.815783972488587e-05	0
FOXO1	2.867431128878804e-05	0
CTCF	3.5624240344386845e-05	0
ACOX1	3.720140123246212e-05	0
GRB7	3.924740861121407e-05	0
EIF2B2	4.038735596383813e-05	0
DUT	4.222584384046563e-05	0
PI4KB	4.353659393938473e-05	-1
EIF2S1	4.3825432264700056e-05	0
TFF2	4.466598790473929e-05	0
RASD2	4.529017566198404e-05	0
ARHGAP5	5.120887019177172e-05	0
GNA13	5.774663022249336e-05	0
HAND2	6.18262718434613e-05	0
ITIH1	6.276461261820781e-05	0
F2RL3	6.279812004455724e-05	0
PCBP1	6.283930825014532e-05	0
GALNT12	6.71150774298228e-05	0
NGF	6.869878159821167e-05	0
FBP2	7.440578757086015e-05	0
PTPN7	7.78884874682288e-05	0
GNA12	7.842537925638148e-05	0
HBEGF	7.881489987557993e-05	0
PLD1	8.026213558447339e-05	0
