gene	p-value	label	index
NUTF2	6.1557701144097474e-18	-1	6872
BIRC6	5.083437839407937e-17	0	1055
CASK	1.0573806537565779e-16	0	1408
EIF5	3.3521477218961955e-14	0	3052
EPHA6	2.425456690302648e-13	0	3161
HOMER3	2.532552904844516e-13	0	4474
ARPC2	3.069612103839834e-13	0	723
EPB41L1	7.7033468790911e-13	0	3146
MAP3K6	4.386769308932425e-12	0	5719
CYCS	8.953665747690155e-12	0	2404
MAP3K5	2.9705285961502536e-11	0	5718
HOMER1	6.679765561129148e-11	0	4472
EIF4A1	1.6045866332567279e-10	0	3042
RPTOR	1.845489346572263e-10	0	8700
CDC25C	1.019031597932613e-09	0	1661
HNRNPH3	1.3216925967580778e-09	-1	4462
SNRPG	1.478672655031183e-09	0	9562
DCTN2	1.7476490962469531e-09	0	2520
ACAD9	2.5145793132700007e-09	0	82
BAIAP2	5.053009094411372e-09	0	955
HSPE1	5.642444912153239e-09	0	4588
RICTOR	1.1402169634529177e-08	0	8501
DUSP4	2.1958679786000546e-08	0	2892
PRKAA1	2.8754314727371747e-08	0	7870
EXT2	3.090434022962568e-08	0	3280
DUSP7	3.854400178887511e-08	0	2895
LIN37	8.627013997452303e-08	-1	5430
EPB41L2	8.87958832238948e-08	0	3147
STK24	9.391336387843552e-08	0	9861
CNOT10	1.0816617406699105e-07	-1	2062
CNOT3	1.233111058144454e-07	0	2065
WDR61	1.7978980464308645e-07	-1	11305
POLR1A	1.933052756664747e-07	0	7676
DUSP6	2.1096602170479762e-07	0	2894
B3GAT3	2.454331026285261e-07	0	925
OPHN1	3.090600416579459e-07	0	6938
HS2ST1	3.474879597397953e-07	0	4534
DHODH	3.5784171427361335e-07	0	2626
HS6ST1	5.838824640099505e-07	0	4541
B4GALT7	5.863178341459845e-07	0	943
DDX39B	6.249272732984284e-07	0	2553
MPHOSPH6	6.259015289528024e-07	0	6074
GPC4	6.458507747410184e-07	0	4083
CNOT6	7.682754431827626e-07	0	2067
NDST1	7.695495356631498e-07	0	6461
NLGN2	7.730879517087598e-07	0	6623
STIM2	9.128521760860052e-07	0	9855
HS3ST1	1.136959100917229e-06	0	4535
SKIV2L	1.334142091103729e-06	0	9163
EPB41L5	1.3393112295072e-06	0	3150
TSTD2	1.365695701087366e-06	0	10817
PAN3	1.4145041536085444e-06	0	7066
DUSP8	1.6670859502958237e-06	0	2896
HS3ST3B1	1.7372578473484284e-06	0	4538
HS6ST3	1.8295987877479464e-06	0	4543
NDUFAF6	2.0482701423460823e-06	0	6479
CNOT4	2.5551016212607178e-06	0	2066
GPC2	2.775075115960012e-06	-1	4081
DUSP2	2.822522021417566e-06	0	2887
PASK	2.9840010543423406e-06	0	7107
HNRNPUL1	3.050743738231915e-06	0	4469
CSTF2	3.189419767466889e-06	-1	2310
DUSP16	3.272729533368772e-06	0	2884
PATL1	3.295571552265999e-06	0	7108
MED12	3.3136472938460507e-06	1	5850
ARHGAP6	3.336530239119717e-06	0	649
CCNC	3.4614399493621125e-06	0	1550
XYLT2	3.9023021394987145e-06	0	11404
DUSP10	3.97417805334264e-06	0	2880
LARS2	4.910234424099265e-06	0	5342
LSM3	5.155802869224835e-06	0	5578
PSMB5	5.562512154242007e-06	0	7992
SDC3	5.658249124729169e-06	0	8898
CNOT1	6.208889672914828e-06	0	2061
DLGAP4	7.619426256924116e-06	0	2688
LRRTM1	7.62679339724626e-06	0	5565
HOMER2	7.983622833579641e-06	0	4473
HS3ST5	9.132604428015723e-06	0	4540
STX17	9.339890214465552e-06	0	9896
HS3ST3A1	9.352385706687195e-06	0	4537
HS3ST2	9.787994783435247e-06	0	4536
NRXN2	9.900907420452945e-06	0	6776
DDX1	1.0859739306837098e-05	0	2539
LSM4	1.1289493633325335e-05	0	5579
U2AF2	1.1796425351924478e-05	0	10939
POLR1B	1.2332298985723347e-05	0	7677
DLG4	1.4528134795229216e-05	0	2684
PDCD10	1.4686202694442283e-05	0	7216
GLCE	1.470071425422713e-05	0	3963
DDX42	1.5406552065380486e-05	0	2556
MED10	1.6189063925446988e-05	0	5849
RBFOX2	1.6265478044099105e-05	0	8323
SHANK1	1.631948255527483e-05	0	9097
ARHGAP1	2.023364637628861e-05	0	626
PKN1	2.1484943899531537e-05	0	7504
KANSL1	2.1899072337004613e-05	0	4953
RELB	2.4395372347293944e-05	0	8408
DIAPH1	2.751868504699976e-05	0	2653
ACVR2A	2.7704603521723022e-05	0	161
NLGN3	2.8440933410436223e-05	0	6624
CDC25A	2.93742536965775e-05	0	1659
UBFD1	3.580879221750457e-05	0	10985
DUSP5	3.834912137495668e-05	0	2893
NDST3	3.857706311101053e-05	0	6463
PSMB1	4.201734523962635e-05	0	7989
ABCF1	4.4600296158722966e-05	0	42
XPO1	4.571602919862038e-05	0	11387
NDUFS1	4.644695624523671e-05	0	6489
NELFB	4.92237483692751e-05	-1	6526
MED8	5.406004676796735e-05	0	5870
AP2A1	5.435964478512711e-05	0	526
GPC5	5.808968656364527e-05	0	4084
ZCCHC7	5.90881367814704e-05	-1	11507
PIP5K1B	6.005769764027661e-05	0	7472
MLLT6	6.396898372046699e-05	0	6001
SDC4	6.41948124245264e-05	0	8899
AGO4	7.278638870875894e-05	0	278
PEBP1	7.468543648481474e-05	0	7294
BLOC1S6	8.369587683388958e-05	0	1062
TOR1A	8.813335862233425e-05	-1	10577
MAP3K4	8.8895090926636e-05	0	5717
GPC3	9.254734205916682e-05	0	4082
BTG1	9.469481137075528e-05	0	1144
NXT1	9.595820284547762e-05	0	6886
SHANK2	9.926661022790344e-05	0	9098
ABCE1	9.976875718874214e-05	0	41
TMPO	0.0001080657154149	0	10487
LMAN1	0.000114070662326	0	5448
NDST2	0.0001148288165288	0	6462
WDR48	0.0001165157805254	0	11297
DLGAP1	0.000120046254215	0	2686
CNOT2	0.0001243783038922	0	2064
BRD8	0.0001245555363882	0	1105
FAM83D	0.0001284518265554	-1	3411
RAD23A	0.0001361670948204	0	8224
CDK2AP1	0.0001453558861327	0	1716
CTPS1	0.0001542015862991	0	2332
DLG2	0.0001546261515145	0	2682
EDC3	0.0001555460763639	0	2955
DYRK1B	0.0001684566484477	0	2913
HNRNPL	0.0001780233491146	0	4464
DNAJB4	0.0001816957106978	0	2737
SREBF2	0.0002028894670562	0	9744
TRMT2A	0.0002038139943621	0	10737
DIS3L	0.0002051531167279	0	2668
AKAP9	0.000212291095371	1	332
PTPN23	0.0002287631501413	0	8076
DDX5	0.0002299022578039	0	2561
SMC4	0.0002300856251649	0	9497
TADA2A	0.000234996377503	-1	10020
EIF2S2	0.0002457008843481	0	3030
AP2S1	0.0002640958754117	0	530
SPOP	0.0002708193055302	1	9701
NANS	0.0002729558234426	0	6388
GYS1	0.0002838394377135	0	4265
NLGN4X	0.0002871144461196	-1	6625
UCK2	0.0002996577470664	0	11016
TOP3B	0.0003128045962121	0	10575
CHST12	0.0003378589755583	0	1906
ATM	0.0003642316679935	1	830
POLQ	0.0003814043446414	0	7675
DCPS	0.0003828048298726	0	2513
POLR1D	0.0004115120985999	0	7678
HS3ST4	0.0004159685389758	0	4539
STK38	0.0004210810112585	0	9871
TCERG1	0.0004305699623177	0	10143
LSM6	0.0004311577600006	0	5581
EIF4G2	0.0004381906957139	0	3049
DUSP1	0.0004407027097981	0	2879
DCTN4	0.0004452297532558	0	2521
ZFP36	0.0004545833070289	0	11544
DCP1B	0.0004579241578856	0	2511
ARF1	0.0004589600233728	0	612
SCAF4	0.0004783844078584	0	8838
HNRNPA3	0.0004790541149433	-1	4454
IRAK2	0.0004885290245283	0	4835
SLCO3A1	0.000502074135207	0	9451
DNAJC17	0.0005158667664755	0	2748
ZNF687	0.0005159789288246	0	11830
CDK13	0.0005264646566566	0	1709
UST	0.0005753818600768	0	11146
SEC24C	0.0006139124689624	0	8930
WDTC1	0.0006204021060383	0	11320
UXS1	0.0006256626207012	0	11158
UCKL1	0.0006329657797685	0	11017
YBX1	0.0007094596743086	0	11409
GPC6	0.0007462610296605	0	4085
AKR1A1	0.0007540425939017	0	336
PREB	0.0007646359374063	0	7853
IGF2BP2	0.0007745552137457	0	4678
KMT2A	0.0007788624025022	1	5221
ENGASE	0.0007915518690843	-1	3122
ACTR2	0.0007924868464962	0	153
TOP3A	0.0008027311579619	0	10574
CDC25B	0.0008089314835372	0	1660
PPM1L	0.0008814978174595	0	7769
MED15	0.0008885758972486	0	5855
MAP3K8	0.0009457435574001	0	5721
DYNC2LI1	0.0009651497061785	0	2910
NFKB2	0.0009697353131601	0	6561
DLGAP3	0.0009853605575807	-1	2687
GRM1	0.001000410843941	0	4193
TMEM38B	0.0010627217128351	0	10451
CPSF3	0.0010756998009931	-1	2220
PPP6R3	0.0010924050689016	-1	7825
GRM5	0.0011663166983917	0	4197
DYNC1LI2	0.0011821357146152	-1	2908
PPP1CB	0.0012124492775713	0	7774
NFYA	0.001242107826194	0	6572
GADD45G	0.0012468644186635	0	3797
DDX39A	0.0012515130513532	-1	2552
TFDP1	0.0012552493417373	1	10227
CPSF6	0.0012555238363807	0	2222
MDH1	0.0012781071079888	0	5833
PIAS4	0.0013554064665445	0	7419
NEDD8	0.0013610825761003	0	6506
RNPS1	0.0013987514621661	0	8605
MTO1	0.0014018198990193	0	6239
SARS2	0.0014394414911819	0	8819
RPS21	0.0014447264290932	0	8682
FUBP1	0.0014791432344403	0	3734
ASB7	0.0014909616239563	0	763
LSM5	0.0015042444026347	0	5580
AZI2	0.0015261245774739	0	915
CHEK1	0.0015696962145913	0	1857
EIF3H	0.0015788655741504	0	3036
KMT2D	0.0015863837400518	1	5224
DDX6	0.0015998978198628	0	2570
ARHGAP4	0.0016076662811401	0	646
POMP	0.0016221409223376	0	7707
EHMT1	0.0016406740220787	0	3013
SEC23IP	0.0016921893687217	0	8927
ZBTB7A	0.0017031262075962	0	11479
FUS	0.0017062221444128	0	3741
ZNF592	0.0017162966288728	0	11794
EXT1	0.0017615223431406	0	3279
LRRTM2	0.0017835453620081	0	5566
SEC13	0.0017859707817713	-1	8917
MCM3	0.0017900920586387	0	5811
MPST	0.0018281040341021	0	6088
TMTC4	0.0018872845943662	0	10499
PRKAG1	0.0018951881115553	0	7876
RPL18A	0.0019300135875027	0	8641
MCRS1	0.0019399321692393	0	5825
ACTR3	0.0019565054968888	0	154
PER1	0.0020856674588735	0	7306
KLC1	0.0021029777854664	0	5155
MAPKAP1	0.0021111439804247	0	5745
PRMT5	0.0021181147207046	0	7901
MYB	0.0021354205941954	0	6278
PNP	0.0022609718006062	0	7633
RPS29	0.0022730142383297	0	8684
SEC16A	0.0022808789136219	0	8922
DDX23	0.0022919869317168	0	2548
XAB2	0.0023020522312175	0	11370
TTC37	0.0023354734846035	0	10840
RALGDS	0.0023440255352373	0	8251
POLR3F	0.0023768739249704	0	7695
MED27	0.0024138142111539	0	5865
ARID5B	0.0024242879028987	0	682
DNAJC8	0.0024283196615898	-1	2760
MDH2	0.0024497727866876	0	5835
DCTN1	0.0024649575032896	0	2519
IL6ST	0.0025159493538974	0	4748
GSK3A	0.0025567375133807	0	4211
AKT1	0.0025926845088806	1	343
KMT2C	0.0026138248879761	1	5223
SNRPD2	0.0026198169386312	0	9561
NGRN	0.0026322833593783	0	6580
ARHGEF11	0.0026372727324456	-1	656
TSHR	0.002658898212878	0	10776
EDC4	0.0026665811931411	0	2956
SPRY2	0.0027229526519975	0	9716
GIPC1	0.002742934578591	-1	3935
ARAF	0.002839574707256	0	604
RTCB	0.002841447185102	0	8746
SORD	0.0029105457656647	0	9612
EIF2S1	0.0029591206268053	0	3029
E2F6	0.0029954932718062	-1	2926
FEN1	0.0030467814884042	0	3546
CAP1	0.0030551428600413	0	1375
XRN1	0.0030797274268039	0	11399
RBBP4	0.0031339562082257	-1	8317
CHD3	0.0031541815671473	0	1851
NSUN4	0.0031917722570572	0	6787
CSNK1G2	0.0032058837657557	0	2297
SSBP1	0.0032644335938238	0	9779
N6AMT1	0.0033119633576508	0	6358
LRPPRC	0.0033297502010982	0	5520
FBXL17	0.0033376911425007	0	3471
USP8	0.0033634723803575	0	11143
RMI1	0.003391460492706	0	8530
SFPQ	0.0034190011316498	0	9041
SUPT16H	0.0034745959352612	0	9936
ADRM1	0.003508284236038	0	248
UBTF	0.0035393134808956	0	11005
CNOT8	0.0035937997641064	0	2070
CTPS2	0.0036232393921952	0	2333
RBBP5	0.0038001248319905	0	8318
DCP2	0.0038192786299186	0	2512
TRIB1	0.0038565460803492	0	10668
GNPDA1	0.0038601399391866	0	4038
PARN	0.0038616514266583	0	7091
AS3MT	0.0038785925652938	0	750
HS6ST2	0.0038922549587321	0	4542
MED4	0.0039193111408202	0	5868
RUFY1	0.00399473539392	0	8759
AKAP11	0.003997225771326	0	322
TOP2A	0.0040159234689408	0	10572
PSME1	0.0040750882005498	0	8016
EEF2	0.0040788663013437	0	2972
ATP6V1B1	0.004139279230543	-1	869
EXTL2	0.0041664521120685	0	3281
SH3PXD2A	0.004320844252758	-1	9092
POLA2	0.0043371348526192	-1	7657
PPWD1	0.0043794019793023	0	7829
BCL7C	0.0044315322916383	0	1009
MRPL50	0.0044504354111175	0	6138
SOD1	0.0045068057785127	0	9603
LSM2	0.0045753931667934	0	5577
MEN1	0.0046018839654667	0	5886
VAMP2	0.0046424107898963	0	11162
CCT2	0.0046795759081367	0	1580
PCF11	0.004789353103654	0	7182
ORMDL1	0.00480601423021	0	6961
GMPPB	0.0048254797935222	0	4008
GFM1	0.0048309032720496	0	3898
PRKRA	0.0048655956962177	0	7895
PAXIP1	0.0048988725715958	0	7119
ILK	0.0049324108604562	0	4754
FANCI	0.0050492959587243	0	3429
EIF3K	0.0051202386343673	0	3039
MED23	0.0051588297630904	0	5862
SEC61B	0.0051679275487691	0	8935
PTPN13	0.0053456675929845	0	8071
RPS8	0.0054731351761971	0	8698
CNOT6L	0.0055492896253084	0	2068
EXOSC3	0.0055960509930486	0	3272
CKS1B	0.0057139615795312	0	1947
RUVBL1	0.0057737012623634	0	8769
IL6R	0.0058088677547773	0	4747
IDH1	0.0058461980528482	1	4633
FBL	0.0058511528896573	0	3456
PI4KB	0.0060230215729903	-1	7415
PAAF1	0.0061089414741155	-1	7021
PIK3C2A	0.0061181675722531	0	7448
SSU72	0.0061504172730905	0	9797
MARS2	0.0062089967835987	0	5759
SUPT6H	0.0062159291737316	0	9940
CDC20	0.0062982941741945	0	1656
CDKN1B	0.0063482152513723	1	1733
DDX24	0.0064511605727032	0	2549
ST6GAL2	0.0065722881353555	0	9807
TTC1	0.0065889480592843	0	10820
BLM	0.0066270096000846	0	1057
PPIL1	0.0066732998245395	0	7755
RPL24	0.0067325917571864	0	8648
UAP1	0.0067587847090187	0	10942
MED31	0.0067935847467228	-1	5867
EIF3B	0.0068338681796609	0	3033
LMTK2	0.0069413453059182	0	5465
DIMT1	0.0069493952260143	-1	2658
CDK1	0.0069885459689211	0	1705
NFRKB	0.0070274090499481	0	6567
EIF3L	0.0071860557330393	-1	3040
LATS2	0.0071918842371994	0	5347
CIAO1	0.007213261914071	0	1921
PGM3	0.0072542176566694	0	7360
PGM2L1	0.0073406856041194	0	7359
PAK4	0.0075649502065121	0	7055
FOSL1	0.0076336648529921	0	3669
PGAM5	0.0076577569206782	0	7344
SPHK2	0.0077335684903292	0	9679
SNW1	0.0077852183433312	-1	9571
RPL13A	0.0078063659524131	-1	8638
XYLT1	0.0078595754875866	0	11403
MAP4K2	0.0079384471672698	0	5725
IPPK	0.0079544208807527	-1	4821
DYNC1I2	0.0079865787080042	0	2906
IFT122	0.0080281672631669	0	4663
WDR83	0.0080928671104982	0	11313
COX15	0.0081431490859334	0	2186
RPL3	0.0082403027118683	0	8651
HAUS2	0.0084901742367262	0	4296
EIF2B2	0.0085070902679012	0	3025
DCP1A	0.0086180351980074	0	2510
DDX56	0.0086330431809459	0	2567
DNAJC13	0.0086815786532408	0	2745
PHF12	0.0087237062691464	-1	7376
PABPC1	0.0087840698343638	0	7022
KIF5B	0.0088530335363103	0	5138
EXOSC10	0.0088962058279306	0	3271
